No,Sourced Statements,Type of source,Name of Source,Title of Source,Source Justification
1,"Voting, King said in an interview, gives “a little bit of your strength back and a little bit of your voice back. Being able to vote, being able to have a say in what happens in your society, in your state, is extremely important.”",Named Person,TJ King,"Outreach specialist,  Nebraska AIDS Project",King’s first chance to vote will be in the 2024 presidential election season -- unless a legislative proposal introduced in January that would remove the two-year requirement passes and becomes law.
2,Several of them said they were confused by the arrests because they had been allowed to register to vote.,Unnamed Group of People,,,after a new election police unit championed by Republican Gov. Ron DeSantis arrested 20 former felons.
3,"At least 14 states have introduced proposals this year focused on restoration of voting rights, according to the Brennan Center for Justice. An Oregon proposal would allow felons to vote while incarcerated. A Tennessee bill would automatically restore voting rights once a sentence is completed, except for a small group of crimes. Texas legislation would restore voting rights to those on probation or parole.",Named Organization,Brennan Center for Justice.,,
4,"“Restoring voting rights really is an issue where we’ve seen bipartisan momentum,” said Patrick Berry, counsel for the Democracy program at the Brennan Center.
",Named Person,Patrick Berry,"Counsel, Democracy program at the Brennan Center",
5,"More than 4.6 million people are disenfranchised in the United States because of felony convictions, according to the Sentencing Project, which studies the issue and advocates for restoration of voting rights for former felons.",Named Organization,Sentencing Project,,which studies the issue and advocates for restoration of voting rights for former felons.
6,"In Nebraska, nearly 18,000 people are unable to vote because of felony convictions, said the Sentencing Project’s director of advocacy, Nicole Porter. That includes 7,072 who fall under the two-year wait requirement and are currently unable to cast a ballot. The rest have not completed their full sentences.",Named Person,Nicole Porter,"Director of advocacy, Sentencing Project",
7,"Steve Smith of Civic Nebraska, part of a large coalition of groups supporting the measure, said the wait creates a group of taxpayers who can’t choose their representatives.
",Named Person,Steve Smith,Civic Nebraska,"Steve Smith of Civic Nebraska, part of a large coalition of groups supporting the measure"
8,"“You’re civically dead and you can’t vote for the people who are levying those taxes,” he said.
",Named Person,Steve Smith,Civic Nebraska,
9,"At the time Nebraska was in step with other states. Now, while a few states require wait times for specific offenses or define completion of a sentence as including things such as fines and restitution, Nebraska is alone in requiring a general waiting period beyond imprisonment and release from parole or probation, said Margaret Love, co-founder and director of the Collateral Consequences Resource Center, which keeps a 50-state database on restoration of rights.",Named Person,Margaret Love,"Co-founder and director, Collateral Consequences Resource Center",which keeps a 50-state database on restoration of rights.
10,"The bill’s author, Democratic state Sen. Justin Wayne, said he was going door to door in his first election in 2016 and was told by would-be constituents that they could not vote. Much of the reason was confusion over the law’s waiting period, he said.",Named Person,Justin Wayne,Democratic state Sen.,The bill’s author
11,"Wayne, who represents parts of Omaha with strong minority populations, said reconnecting people to the voting process is integral to successful reentry.",Named Person,Justin Wayne,Democratic state Sen.,
12,"“When people get out of our system, they’ve got to feel engaged in their community, and the number one way for a person to feel engaged in their community is to be able to vote for the leadership of that community,” he said.",Named Person,Justin Wayne,Democratic state Sen.,
13,"Wilcot stressed she was speaking as an individual and not on behalf of the university.
",Named Person,Kathy Wilcot,"Member, University of Nebraska Board of Regents",was the lone dissenter from among the nearly 20 witnesses who spoke on Wayne’s bill.
14,"“I do think that hopefully the waiting period reinforces the fact that voting is something very special, and hopefully that will be part of the things that an individual would consider if they’re tempted to break the law again,” she said.",Named Person,Kathy Wilcot,Member of the University of Nebraska Board of Regents,
15,"Three of the witnesses with criminal records who spoke in favor of the legislation said in later interviews the waiting period is not a deterrent to future crime, but rather a barrier for those who have served their sentences.
",Unnamed Group of People,,,Three of the witnesses with criminal records
16,"King works in the HIV/AIDS field and volunteers at various organizations, but said voting is still the most direct way to be involved and became tearful when talking about being unable to vote.
",Named Person,TJ King,"Outreach specialist, Nebraska AIDS Project","King, 51, fought addiction for years and spent five years in prison after being convicted;  volunteers at various organizations;"
17,"“I felt so hopeless and helpless not being able to have my voice heard in this last election,” King said. “There are a lot of things that were on the ballot here in Nebraska that hit home with a lot of things that I advocate for.”",Named Person,TJ King,"Outreach specialist, Nebraska AIDS Project","King, 51, fought addiction for years and spent five years in prison after being convicted;  volunteers at various organizations;"
18,"For the people she works with, being able to register to vote provides a sense of acceptance, especially when there are so many barriers on where they can live, jobs they can work and who they can associate with, she said.",Named Person,Demetrius Gatson,"executive director, Q.U.E.E.N.S Butterfly House","Demetrius Gatson is among the more than 10,000 people in Nebraska who has no right to vote because they haven’t completed their sentences. Because of her probation, she will have to wait until 2030 to vote.

Since her 2018 release, she has obtained graduate degrees and served in a variety of volunteer roles. Now 48, Gatson has set up her own nonprofit and is executive director of Q.U.E.E.N.S Butterfly House, a safe house for women trying to reenter society."
19,"Gatson said there are critical issues she cares about, including education and criminal justice, but said, “I don’t have a say in anything that goes on in my country because I’m a felon.”",Named Person,Demetrius Gatson,"executive director, Q.U.E.E.N.S Butterfly House",
20,,,,,
21,"“You can’t harm society by voting,” he said. “You can only help it.”",Named Person,Steven Scott,,"Steven Scott, 33, was paroled in 2015 after serving more than four years on assault and other charges.  He also has regained voting rights and cast ballots for Republican candidates in his first elections, including 2020. He sees the two-year wait period as one link in a long chain of barriers for those trying to reenter society."
