No,Sourced Statements ,Type of source,Anomynity? (Y/N),Name of Source,Title of Source,Source Justification
1,"About nine months ago, the two men agreed he could withhold rent until repairs were made, he said.",Named Individual,,Bryant Woods,,"One day last fall, Bryant Woods’ rotted-out flooring opened up beneath his 11-year-old daughter. Major leaks in the rental home had allowed mold to thrive and rot to set in. In the winters, he was forced to use space heaters or his electric oven to stay warm since the heat didn’t work; For years, Woods’ relationship with his longtime landlord has been deteriorating."
2,"He couldn’t prove his missed rent payments were part of a verbal agreement, so the judge granted the property owner’s request and told Woods his family had 10 days to move.",Unnamed Person,,Judge,,
3,"The cash didn’t make it to MALS until February 2024, due to problems with how the County Commission resolution was originally drafted, Henderson said. ",Named Individual,,Deborah Henderson,Judge,"To reduce such evictions, one of the court’s judges, Deborah Henderson; Shelby County Commissioner Erika Sugarmon; and Cindy Ettingoff, then-CEO of Memphis Area Legal Services, last summer secured $240,000 in the county budget to pilot a pre-litigation mediation program for landlord-tenant disputes.
"
4,But Henderson has been happy with the results since then.,Named Individual,,Deborah Henderson,Judge,
5,"Recently, MALS worked with a woman who was living in a house that “should not be lived in by anyone” and was starting to fall behind on rent, Henderson said. ",Named Individual,,Deborah Henderson,Judge,
6,Though the program has only helped a couple of tenants so far — not 300 — Henderson believes it’s already proving its value. ,Named Individual,,Deborah Henderson,Judge,
7,"There are no income limits or income requirements, If you’re a tenant who is having trouble with your landlord, you need to give us a call. … If you’re a landlord and you have a troublesome tenant … give us a call.",Named Individual,,Deborah Henderson,Judge,"To drum up more business, Henderson and MALS attorney Cedric Harris, who is leading the program, have been spending a few nights and weekends this summer speaking to churches, on radio shows and at other events. 
"
8,"Nicole Grida, the new MALS CEO, said her team has started creating marketing materials for the program, building partnerships with local nonprofits and screening folks who call in for other services to see if they will fit the program’s criteria, which has resulted in many promising leads.
",Named Individual,,Nicole Grida,"CEO, MALS",
9,"For the program to succeed, Grida said raising greater awareness will be key, as most Memphians it could help don’t yet know it exists. 
",Named Individual,,Nicole Grida,"CEO, MALS",
10,"Woods’ case, for instance, sounded like a perfect fit for mediation, Henderson said, if only they’d found him before the eviction was filed. ",Named Individual,,Deborah Henderson,Judge,
11,"“We could have drafted a document that ensured the landlord (followed the verbal agreement),” she said. 
",Named Individual,,Deborah Henderson,Judge,
12,"Thankfully, he found something just in time — a three-bedroom townhouse in Whitehaven with an “undesirable” exterior but is “fairly nice” inside. ",Named Individual,,Bryant Woods,,
13,"Meanwhile, Grida said MALS is looking for other funders interested in backing the effort.
",Named Individual,,Nicole Grida,"CEO, MALS","Its leaders are scheduled to present to the County Commission at the end of 2024, in hopes they can receive additional county funding after this first $240,000 runs out in February 2025."
14,"Henderson believes the program will require a much longer pilot period before it’s able to produce the proof necessary to create a housing court. But, despite the rough start, she remains “very hopeful” for its future.
",Named Individual,,Deborah Henderson,Judge,
