No,Sourced Statements ,Type of source,Anomynity? (Y/N),Name of Source,Title of Source,Source Justification
1,"Campa’s next goal? To get her son, Sergio, who has been diagnosed with autism spectrum disorder, enrolled in kindergarten.",named individual,,Juanita Campa,,
2,"“He’s a very smart kid,” Campa said. “He listens.”",named individual,,Juanita Campa,,
3,Campa also hopes to move her family into a more permanent living situation.,named individual,,Juanita Campa,,
4,"Since 2020, the number of homeless students in Santa Clara County has almost doubled, according to the California Department of Education.",named organization,,California Department of Education,,among the rapidly growing ranks of unhoused students in South Bay schools.
,"About 1,200 students in the East Side Union High School District and Alum Rock Union School District were reported to be homeless in 2024 — three times the number of homeless students in 2020.",named organization,,California Department of Education,,among the rapidly growing ranks of unhoused students in South Bay schools.
5,"Three other counties in the Bay Area — Alameda, Contra Costa and San Mateo — had
between 2,100 and 4,700 homeless students enrolled in their schools in 2023. According to
the state, 10% to 12% of those students were living in temporary shelters that year.",named organization,,California Department of Education,,
6,"In the Alum Rock district, Superintendent Imee Almazan said the COVID-19 pandemic exacerbated multiple economic issues that were out of the parents’ and the school district’s control, leading to the increase in homeless youth.",named individual,,Imee Almazan,"Superintendent, Alum Rock District",
7,"“It goes back to economic hardships, loss of jobs, displacement. There’s just a number of reasons why our families are growing in our (homeless youth) population,” Almazan said. “And some of our families haven’t bounced back from that yet.”",named individual,,Imee Almazan,"Superintendent, Alum Rock District",
8,"Maryam Adalat, director of student services at East Side Union High School District, said many families have lost stable housing, their jobs or loved ones who were the family’s main provider since the COVID-19 pandemic.",named individual,,Maryam Adalat,"director of student services, East Side Union High School District",
9,"Adalat said district staff have seen many families facing unstable housing and multiple families living in a household. “We have students who are living in shelters. We actually have foster youth that are unhoused as well,” she said.",named individual,,Maryam Adalat,"director of student services, East Side Union High School District",
10,"Out of the 1,974 homeless students enrolled at East Side in 2022-2023, 488 were living in temporary shelters, according to the state education department, while 75 students were living in hotels and motels, and 33 students were temporarily unsheltered or living in abandoned buildings, campgrounds, vehicles, trailer parks or train and bus stations.",named organization,,California Department of Education,,
,"That same year, a majority of homeless students in the district were unable to pass the Smarter Balanced Summative Assessments, standardized tests for mathematics and language arts. Around 78% of homeless students were unable to meet the standards for mathematics, while 51% were unable to meet the standard for language arts.",named organization,,California Department of Education,,
11,"Annya Artigas, the director of Social Emotional Learning at the Alum Rock district, said homelessness can affect students inside and outside the classroom. For example, many homeless children struggle to find timely transportation to school, and once they arrive at school, the only meal they may eat is their school lunch.",named individual,,Annya Artigas,"director of Social Emotional Learning, the Alum Rock district",
12,"“There are a number of kids that we knew who were homeless who would show up late. Before we brought them to the classroom, we bring them to the cafeteria and grab them something to eat and grab them some milk so that they can have something in their stomach before they went into the classroom,” she said.",named individual,,Annya Artigas,the director of Social Emotional Learning at the Alum Rock district,
15,"As a result of these different stressors, homeless children may also struggle to stay mentally present in school, Artigas said. Many come to school sleepy, tired and hungry, impacting their ability to function in the classroom.",named individual,,"Annya Artigas,",the director of Social Emotional Learning at the Alum Rock district,
16,"“Whenever a child presents inside a classroom, all of those things come with that child. And all of those things are impacting their ability to engage, their ability to receive information and process it and retain it,” Artigas said.",named individual,,"Annya Artigas,",the director of Social Emotional Learning at the Alum Rock district,
17,"Maureen Smith, a professor who teaches childhood adolescent development at San Jose State University, said children experiencing homelessness without a guardian are also less likely to be enrolled in school. She said some children are forced to leave their homes because of domestic violence or because of their gender or sexual identity.",named individual,,Maureen Smith,"Professor, San Jose State University", professor who teaches childhood adolescent development
18,"“They leave the home really traumatized to begin with, and then they end up on the streets,” Smith said.",named individual,,Maureen Smith,"Professor, San Jose State University", professor who teaches childhood adolescent development
19,"Back on the East Side, Campa said Sergio will be able to go to school soon, but she doesn’t
know when. She’s waited for more than two months to get a phone call back from the
McKinley-Franklin and San Jose Unified school districts. She started filing Sergio’s
paperwork over a year ago.",named individual,,Juanita Campa,,
20,"“I felt like I wasn’t doing my job as a mom because we’re homeless,” she said “We were working but it wasn’t enough. ... I don’t want to be back here.”",named individual,,Juanita Campa,,She doesn’t like to think about how her family used to live in the Jungle. Now she has less than 90 days remaining at the hotel.
