No,Sourced Statements ,Type of source,Anomynity? (Y/N),Name of Source,Title of Source,Source Justification
1,"Her neighbors call her “the crazy Democrat,” although it’s more a term of endearment than derision.",Unamed Group of People,,Neighbors,,"In some far reaches of rural America, Democrats are flirting with extinction. In Niobrara County, Wyoming, the least-populated county in the least-populated state, Becky Blackburn is one of just 32 left."
2,"But Niobrara County’s Democrats, who account for just 2.6% of registered voters, are the most outnumbered by Republicans in the 30 states that track local party affiliation, according to Associated Press election data.",Named Organization,,Associated Press,,
3,"“Normally I just roll my eyes and walk away because I’m fighting a losing battle and I’m fully aware of that,” she said. “Maybe that is why I’m well-liked, because I keep my mouth shut 10 times more than I want to.”
",Named Person,,Becky Blackburn ,,"A paralegal for the Republican county attorney, Blackburn hears a lot of right-wing views around town."
4,"She speaks approvingly of policing reform, taxation for government services and the transgender social media celebrity Dylan Mulvaney.
",Named Person,,Becky Blackburn ,,
5,"“I won two elections here. Even though that’s nonpartisan, people still knew I had left-leaning values,”",Named Person,,Becky Blackburn ,,"Maybe because she’s open about those views — and far too outnumbered to put them into action — Blackburn really does seem well-liked in Lusk, where she recently served nine years on the Town Council.
"
6,"You feel skeevy and dirty when you do it. But you do it anyway and you change it back as soon as you can, because you don’t want to start getting the Republican mailings,”",Named Person,,Becky Blackburn ,,"many Democrats have been switching their registration to vote in more competitive Republican primaries, then changing back for the general election.
"
7,"Party-switching had “undermined the sanctity of Wyoming’s primary process,” Wyoming’s Republican secretary of state, Chuck Gray, said in a statement of approval.",Named Person,,Chuck Gray,Wyoming Secretary of State,"Wyoming’s Republican secretary of state, Chuck Gray, said in a statement of approval.
"
8,"“How far are they going to go to limit one’s ability to vote? If it really comes down to purifying the party, on a voting level all the way up to the elected officials, pretty soon there isn’t going to be anyone left who’s pure enough to be in the party,” Diercks said.
",Named Person,,Ross Diercks,Former Democratic state representative,"The new law keeping Diercks and others from switching their registration so easily has him exasperated with the GOP.
"
9,"Truck driver Pat Jordan supports many left-leaning goals, including universal healthcare, but said he only registers as a Republican.
",Named Person,,Pat Jordan,,Truck driver Pat Jordan supports many left-leaning goals
10,"“The best way to participate in meaningful change is to try to sway the dominant party,” said Jordan, who lives in Niobrara County. “You know, we need to have a government that serves the people, all of them, not just Republicans and not just rural and not just urban and not just Democrats — and definitely not just the rich and the wealthy.”
",Named Person,,Pat Jordan,,
11,"He said people know his views but rarely put him on the spot about politics.
",Named Person,,Ed Fullmer,high school boys basketball team coach,"Last winter, dozens of locals gathered outside to honk and cheer as one Democrat left town. But they weren’t cheering as Ed Fullmer was headed off for good.
"
12,"“Most people don’t want to dive into those type of discussions,” he said. “They respect you for what you do, how you work.”
",Named Person,,Ed Fullmer,high school boys basketball team coach,
13,"“I am who I am, and I have the views that I have,” she said. “And I don’t care if it bothers people or not.”
",Named Person,,Becky Blackburn ,,"Blackburn, for one, intends to hold her political ground, even as it shrinks around her.
"
