No,Sourced Statements ,Type of source,Anomynity? (Y/N),Name of Source,Title of Source,Primary or Secondary Source,Secondary Source Link,Source Justification
1,Fifty-two percent of 170 respondents said they need more information about what will happen to asylum,"Unnamed group
",,Spanish-speaking readers,,P/S,https://documentedny.com/2023/08/15/using-whatsapp-for-journalism-beyond-just-distribution/,"As a newsroom that serves NYC immigrants, we asked our Spanish-speaking readers "
2,Trump has falsely claimed asylum seekers have contributed to a surge in “migrant crime” and has vowed to restrict asylum and the border. ,"Named individual
",,Donald Trump,Former President,P,,
,"As Documented covered in the past, this led to the expulsion of more than 2.8 million people. 
",Named Organization,,Documented,,,,
3,"Brian Manning, a political asylum lawyer and former government asylum officer, said that asylum could be impacted by a second Trump presidency more drastically than before. 
",Named individual,,Brian Manning,"political asylum lawyer, former government asylum officer",P,,
3,"During his 2024 presidential campaign, Trump has on multiple occasions falsely claimed an increase in migrant crime, tying it to the arrival of asylum seekers. During a Bronx rally in May, Trump emphasized the need for a border wall and increased border security. 
",Named individual,,Donald Trump,Former President,P/S,https://documentedny.com/2024/05/24/immigrant-new-yorkers-debate-trump-rally-bronx/,
4,"“There is concern that they’ll [asylum restrictions] actually be implemented more effectively. Last time, he didn’t expect to win and didn’t have a professional class built around him that could actually get things done in government in general,” Manning said. He added that now Trump could surround himself with people who can push for policies that would stand in court, as opposed to the executive actions that were challenged during the first administration. 
","Named individual
",,Brian Manning,"political asylum lawyer, former government asylum officer",P,,
,"“It is safe to assume that after the many missteps of his first presidency, that his administration would be better equipped to learn from their past mistakes and more effectively attack immigrant communities from the White House,” Marlene Galaz, Director of Immigrant Rights Policy, New York Immigration Coalition, said. 
",Named individual,,Marlene Galaz,"Director of Immigrant Rights Policy, New York Immigration Coalition",,,
,"Another possible impact of Trump’s second administration on asylum depends on whether or not Trump goes along with Project 2025, Manning said. ","Named individual
",,Brian Manning,"political asylum lawyer, former government asylum officer",,,
,"“The stuff about immigration is pretty severe. There are talks around the Project 2025 crowd about eliminating work authorization for asylum seekers, getting rid of TPS, Temporary Protected Status,” Manning said. 
","Named individual
",,Brian Manning,"political asylum lawyer, former government asylum officer",,,
,"“We anticipate the president, Trump, to use its executive authority to implement these policies — but again, we anticipate we should be able to challenge,” Nils Kinuani, Federal Policy Manager at African Communities Together (ACT), said. He added that in the past ACT and other partner organizations have successfully challenged Trump’s policies through litigation. 
",Named individual,,Nils Kinuani,"Federal Policy Manager, African Communities Together (ACT)",,,
,"Kinuani also explained that if Trump were to pass policies through Congress that limit asylum, which he said is unlikely, then it is harder to challenge. “It is not impossible but it becomes harder to challenge that. But, again … it is very unlikely given the current political climate.”
",Named individual,,Nils Kinuani,"Federal Policy Manager, African Communities Together (ACT)",,,
