No,Sourced Statements ,Type of source,Anomynity? (Y/N),Name of Source,Title of Source,Source Justification,,,,,,,,,,,,,,,,,
1,"Now, officials at the plant told Morning Edition that the army is producing 36,000 shells a month, up from 24,000 just six months ago.",Unnamed group of people,,Officials,,"The U.S. Army was making 14,000 artillery shells a month prior to the conflict.",,,,,,,,,,,,,,,,,
2,"“We’re all about quality jobs, and that’s a quality organization,” Bob Durkin, the president and chief executive officer of the Scranton Chamber of Commerce said. “So the infusion of additional funding to support is important to us.”",Named individual,,Bob Durkin,President and chief executive officer of the Scranton Chamber of Commerce,,,,,,,,,,,,,,,,,,
3,"“It’s not $277 million that stays here. But, you know, it’s a good chunk of it,” Cartwright said. “And it’s important that we keep that work coming.”",Named individual,,Matt Cartwright,Congressman,who sits on the House Appropriations Committee and represents Scranton and other parts of Northeastern Pennsylvania,,,,,,,,,,,,,,,,,
4,"“I don’t really think that people dwell or concentrate on anything that’s going on outside of their sphere of influence,” Rich Hansen, the Commander’s Representative at the Scranton Army Ammunition Plant, said. we’re kind of busy concentrating on what’s going on in Scranton.”",Named individual,,Rich Hansen,Commander’s Representative at the Scranton Army Ammunition Plant,"But at the Scranton Army Ammunition Plant, politics are hardly a concern:",,,,,,,,,,,,,,,,,
5,"“We had a job fair in the middle of a heat wave and there was still a line going out of the door,” Danielle Weinschenk, the lead Public Affairs Specialist at the Tobyhanna Army Depot said. “We had another one when it was pouring rain, and the same thing happened.”",Named individual,,Danielle Weinschenk, Lead Public Affairs Specialist at the Tobyhanna Army Depot,"The Tobyhanna Army Depot, which specializes in logistics support and radar equipment for foreign allies such as Ukraine, estimates that the company has a $2.4 billion dollar impact on the area and that it is the largest industrial employer in the region.",,,,,,,,,,,,,,,,,
6,"“With the Ukraine support, you know, one day I was sitting there thinking about what needs to be done, and it kind of hit me that what we were doing directly affects whether people live or die,” said Jim Jarick, a senior technology center engineer at the Tobyhanna Army Depot. “If we aren’t doing our job correctly, people could die tomorrow. And that just put this whole thing in perspective for me.”",Named individual,,Jim Jarick,Senior technology center engineer at the Tobyhanna Army Depot,,,,,,,,,,,,,,,,,,
7,"“If we aren’t doing our job correctly, people could die tomorrow. And that just put this whole thing in perspective for me.”",Named individual,,Jim Jarick,Senior technology center engineer at the Tobyhanna Army Depot,"But for some who work here, these jobs aren’t just about money.",,,,,,,,,,,,,,,,,
8,"Mark Cancian, a senior advisor at the Center for Strategic and International Studies, told Morning Edition that Ukraine receives around 90,000 artillery shells a month, but that’s still not enough to keep up with Russia’s firing power.",Named individual,,Mark Cancian,Senior advisor at the Center for Strategic and International Studies,"But keeping up with the Ukraine’s needs isn’t easy: it’s estimated that Russia produces 250,000 artillery shells a month – three times more than the U.S. military’s goal.",,,,,,,,,,,,,,,,,
9,"“At the height of last year’s counteroffensive, the Ukrainians were firing about 6,000 a day, ” Cancian said. “The Russians are [firing] probably about 10,000 a day.”",Named individual,,Mark Cancian,Senior advisor at the Center for Strategic and International Studies,,,,,,,,,,,,,,,,,,
10,"Col. Olksandr Popov, the commander of a Ukrainian artillery unit, estimates that they need about 30 to 40 shells to take out one Russian target, which is why these artillery shells are at the top of Ukraine’s list of needs.",Named individual,,Olksandr Popov,Colonel,"the commander of a Ukrainian artillery unit, ",,,,,,,,,,,,,,,,,
11,"“Our first task is to save our people,” Popov said. “Without artillery, we cannot do this.”",Named individual,,Olksandr Popov,Colonel,,,,,,,,,,,,,,,,,,
