No,Sourced Statements ,Type of source,Anomynity? (Y/N),Name of Source,Title of Source,Source Justification
1,"""Housing policy is inherently local, and federal legislators should encourage local solutions to local problems,"" reads the press release on the bill.",Document,,Press release,,"Unlike the slew of federal YIMBY (Yes in my backyard) bills that have been introduced in recent years, Scott's bill doesn't try to poke, prod, or bribe local and state governments into liberalizing their zoning codes. "
2,"Nevertheless, the bill does include at least one idea to increase housing supply. That includes a repeal of the federal regulation requiring that manufactured housing sit on a permanent steel chassis.",Document,,Renewing Opportunity in the American Dream (ROAD) to Housing Act,,
3,"Housing wonks have long singled out HUD's requirement that manufactured homes sit on a permanent steel chassis, even once they're delivered, as a major headwind on manufactured home productions.",Unnamed Group of People,,Housing Wonks,,"Manufactured housing, which is built off-site and shipped to its destination, is regulated by the U.S. Department of Housing and Urban Development."
4,"Scott's bill would also repeal the cap on the number of public housing units that can be ""converted"" to other types of subsidized affordable housing under HUD's Rent Assistance Demonstration (RAD) program.",Document,,Renewing Opportunity in the American Dream (ROAD) to Housing Act,,
5,"A detailed Los Angeles Times investigation published in November 2023 reported a number of issues at AHF-owned properties, including apartments infested with cockroaches, exploding radiators, water shut-offs so regular that tenants had to defecate in wastebaskets, violent crime and drug dealing left unaddressed, and months-long elevator shut-offs that left disabled tenants stuck on upper floors or forced to sleep in the lobby.",Named Organization,,Los Angeles Times,,"HUD's decision to give this grant to AHF is highly questionable, given the organization's track record of managing its own residential properties."
6,"While many of these problems are common at residential hotels on Skid Row, AHF-managed properties were more frequently hit with code complaints and emergency calls than similar properties, reported the Times.",Named Organization,,Los Angeles Times,,
7,"A former AHF employee described the living conditions at foundation properties as ""inhumane.""",Named Organization,,Los Angeles Times,,
8,"HUD told me in a statement that AHF ""is part of a team that applied for these awards. The team is not only eligible, but the best qualified applicant.""
",Named Organization,,U.S. Department of Housing and Urban Development (HUD),,
9,"According to HUD, that's not the case.
",Named Organization,,U.S. Department of Housing and Urban Development (HUD),,"One would think that a nonprofit that hadn't been accused of leaving their tenants in ""inhumane"" conditions would be more qualified to help tenants fight for better living conditions. "
10,City staff warned that fewer projects would be feasible under the costs of the MHA's affordable housing mandates.,Unnamed Group of People,,City staff,,
11,"""We find that new construction differentially declined in the upzoned, affordability-mandated areas,"" they write. ""Developers intentionally avoided MHA-zoned areas – despite their upzoning– opting instead to build on nearby blocks without affordability requirements.""",Document,,new study,,"Earlier this month, researchers Jacob Krimmel and Betty X. Wang published a new study confirming the complaints of MHA's critics."
12,"The difference in construction rates between MHA and non-MHA blocks is as much as 70 percent, they found.",Document,,new study,,
13,"The vast majority of subsidized housing units in Washington, D.C., aren't making enough money to cover their operating expenses, reports BisNow. ",Named Organization,,BisNow,,
14,"More than 80% of housing properties that have received D.C. funding aren't bringing in enough rental income to pay their mortgages and maintenance costs, according to the District's Department of Housing and Community Development.",Named Organization,,BisNow,,
15,"The scale of the crisis is viewed as existential: 22,000 units that house 48,000 vulnerable residents are at risk of foreclosure today, according to DHCD.",Named Organization,,BisNow,,
16,"Delinquencies have risen dramatically, the report [ by Apartment and Office Building Association] concludes, because of D.C.'s pandemic-era policies that have tripled the length of the legal process required to evict nonpaying tenants.",Document,,Report by Apartment and Office Building Association,,"Landlords are blaming the situation on a mix of higher operating costs and the housing court delays caused by D.C.'s pandemic-era eviction policies, which have allowed tenants to stay for years in their units without paying rent."
