No,Sourced Statements ,Type of source,Anonymity? (Y/N),Name of Source,Title of Source,Source Justification
1,"U.S. Customs and Border Protection plans to spend about $67.8 million acquiring 277 new surveillance towers and upgrading 191 existing towers along the entire 2,000-mile-long border over the next 14 years, the most recent federal contracts show. ",Document,,Federal contracts,,The spending comes as the Biden Administration is facing increased political pressure — from leaders in the Republican and Democratic parties — to take action at the border after illegal crossings soared to record highs last year. 
2,"The agency has received more than $700 million in funding for surveillance since fiscal year 2017, according to a 2021 report by the Office of Inspector General. ",Document,,2021 report,,according to a 2021 report by the Office of Inspector General. 
3,"Border advocates are urging the state and federal governments to spend more on humanitarian aid, but state officials say they can’t afford to while facing a budget deficit.
",Unamed group of people,,Border Advocates,,
4,"Privacy and human rights advocates also are asking for more transparency about the capabilities of the towers and are questioning why so much money is going toward monitoring migrants. 
",Unamed group of people,,Privacy and human rights advocates,,Some of the towers can track movement miles away.  
5,"Customs and Border Protection says the surveillance equipment is necessary to monitor remote, rugged areas like Jacumba Hot Springs and the Otay Mountain Wilderness in San Diego County, which are increasingly becoming destinations for migrants from around the world to cross into the United States. ",Named Organization,,Customs and Border Protection,,
6,Border Patrol says capacity and personnel restraints at its facilities can cause delays in processing. ,Named Organization,,Border Patrol,,
7,"The Department of Homeland Security, its parent organization, says the equipment is necessary to detect illegal crossings, keep up with smugglers’ movements and protect the safety of Border Patrol agents. ",Named Organization,,Dept of Homeland Security,,parent organization
8,"The Department of Homeland Security “has also acknowledged the need for better coordination, communication, and oversight,” it said in its 2021 report on its border technology.",Named Organization,,Dept of Homeland Security,,it said in its 2021 report on its border technology.
9,"Activists say they are concerned with the militarization of California’s border, especially because the state already has one of the most heavily-equipped sections of the U.S. southern border.",Unamed group of people,,Activists,,
10,"“That’s where we’ve seen a huge number of these towers go up,” said Dave Maass, the nonprofit’s director of investigations. The foundation has built an interactive map tracking border surveillance from San Diego to Brownsville, Texas. A few dozen more recently discovered towers in Texas will be added to the map over the next couple of weeks, he said. ",Named Person,,Dave Maass,"director of investigations, Electronic Frontier Foundation","San Francisco-based Electronic Frontier Foundation, a nonprofit that advocates for digital privacy, has been tracking the rapid expansion of installations of Anduril and other towers in the remote regions of eastern San Diego and Imperial counties."
11,"Customs and Border Protection describes them on its website as “a partner that never sleeps, never needs to take a coffee break, never even blinks.” ",Named Organization,,Customs and Border Protection,,"Powered by solar panels, the autonomous surveillance towers can detect humans from a mile and a half away and operate around the clock."
12,"According to an Anduril promotional video, the system alerts border agents on their devices when it detects an object and shows them an image highlighting the item. ",Named Organization,,Anduril,,
13,"In the San Diego area, border agents have been telling migrants who are waiting to be processed in open-air detention areas that the system will detect anyone who tries to walk away, advocates say. ",Unamed group of people,,Border agents,,
14,Privacy and human rights advocates say the towers pick up more than just the movement of migrants; some are pointed directly into residents’ backyards. Advocates said they’re concerned  about the potential monitoring of some 7.3 million people who live on both sides of the 150-mile international border between California and Baja California.,Unamed group of people,,Privacy and human rights advocates,,
15,"“These towers aren’t checking people’s papers,” Maass said. “People have lived on the border longer than the United States has been a country. Just being somebody who lives on the border, whose family are on both sides of the border, doesn’t make you a criminal and shouldn’t put you under suspicion.”",Named Person,,Dave Maass,"director of investigations, Electronic Frontier Foundation",nonprofit that advocates for digital privacy
16,An Anduril official said in its promotion video that its autonomous towers on private property can be programmed to exclude a person’s home or farm from monitoring.,Named Organization,,Anduril,,
17,"“The towers deployed in California have 360-degree, AI-fueled visual and auditory surveillance capabilities,” said Erika Pinheiro, executive director of Al Otro Lado, a nonprofit that provides legal and humanitarian support to refugees, deportees, and other migrants in the U.S. and Tijuana. ",Named Person,,Erika Pinheiro,executive director of Al Otro Lado,"a nonprofit that provides legal and humanitarian support to refugees, deportees, and other migrants in the U.S. and Tijuana."
18,"“If they wanted to, the government could track the movements of any individual living on the California border,” Pinheiro said. ",Named Person,,Erika Pinheiro,executive director of Al Otro Lado,"a nonprofit that provides legal and humanitarian support to refugees, deportees, and other migrants in the U.S. and Tijuana."
19,"At least one state agency, the California Coastal Commission, has approved Customs and Border Protection’s request to erect temporary surveillance towers in Del Mar, an affluent coastal town about 35 miles away from the border, and on the Vandenberg Air Force Base in Santa Barbara County, about 295 miles from the San Ysidro border crossing. The agency noted those towers were “intended to detect and track illegal border activities.” ",Named Organization,,California Coastal Commission,,"In recent years, Customs and Border Protection has requested to install border surveillance equipment in areas away from the border. "
20,"Customs and Border Protection says the surveillance equipment is necessary to monitor remote, rugged areas that are increasingly becoming destinations for migrants from around the world to cross into the United States.",Named Organization,,Customs and Border Protection,,
21,"Other advocates noted that migrants sometimes huddle under the towers for protection from the elements, while nonprofits are the only groups providing food, water and blankets amid dropping temperatures. ",Unamed group of people,,Advocates,,
22,"“There’s just such a lack of accountability with those billions of dollars,” said Pinheiro. ",Named Person,,Erika Pinheiro,executive director of Al Otro Lado,"The Department of Homeland Security has a budget of $103.2 billion, with an extra $4.7 billion in a Southwest border contingency fund, for fiscal 2024. "
23,"On a recent episode of The Border Chronicles podcast, Pinheiro questioned how some $1.4 billion allocated by the federal government to border agencies at the end of Title 42 was spent. ",Named Person,,Erika Pinheiro,executive director of Al Otro Lado,On a recent episode of The Border Chronicles podcast
24,"“We saw this too under the Trump administration,” Pinheiro said. “When additional funding was allocated for humanitarian support, diapers and formula and things to help the families crossing the border, we saw that Border Patrol spent that money on ATV’s and other surveillance toys that they deployed on the border.",Named Person,,Erika Pinheiro,executive director of Al Otro Lado,
25," “Where is this money going, if we have babies sitting out in the desert for up to a week at a time without any food or water?” she asked. ",Named Person,,Erika Pinheiro,executive director of Al Otro Lado,
