No,Sourced Statements ,Type of source,Anomynity? (Y/N),Name of Source,Title of Source,Source Justification
1,"An average of two months passed between when Oakland schools were tested for lead this spring and when those school communities were notified of high lead levels in August, according to a report from this week’s Oakland Unified school board meeting.",Document,,Oakland Unified School Board ,,
2,"In an update at Wednesday’s school board meeting, parents, students and school staff demanded transparency and answers about why they were kept in the dark.","Unnamed group of People
",,"Parents, students, school staff",,
3,"“This mistake has caused families stress, anxiety and panic, further limiting our community’s trust in this district,” said Max Simmons, one of OUSD’s student directors.","Named individual
",,Max Simmons,OUSD Student Director,
4,"“How can our schools be a safe place and support students in our district if we can’t even keep our water clean? When I hear that something as major as lead contamination reports getting lost in the system or not being communicated to the appropriate school or staff, it is absolutely horrifying and heartbreaking.”","Named individual
",,Max Simmons,OUSD’s student directors,
5,"District leadership — including Superintendent Kyla Johnson-Trammell, chief systems and services officer Preston Thomas, and risk management officer Rebecca Littlejohn — committed to transparency going forward and said a personnel investigation is underway to determine how communication broke down. ","Named Organization
",,Oakland Unified School District,,
6,"As soon as OUSD staff learned about the test results in August, they closed access to the impacted water sources, Johnson-Trammell said. ","Named individual
",,Kyla Johnson-Trammell,Superintendent,
7,"“I sincerely apologize for the stress and concern this has caused our school sites, students and families. We understand the gravity of this situation and we are fully committed to taking immediate, transparent and corrective action,” she said.","Named individual
",,Kyla Johnson-Trammell,Superintendent,
8,"Community members, many of whom raised concerns two weeks ago, were skeptical.","Unnamed group of People
",,Community members,,
9,"Teachers from Frick United Academy of Language demanded to know why, if testing took place in April, fountains weren’t shut down until August.","Unnamed group of People
",,Teachers from Frick United Academy of Language,,"The school hosted students for summer programming when fountains would have still been in use.
"
10,"“There is so much trust rebuilding that has to be done for our community. We have failed. And when I say ‘we’ I mean OUSD has failed at its most basic job of not poisoning our students,” said Stuart Loebl, a sixth-grade science teacher at Frick.","Named individual
",,Stuart Loebl,"Sixth-grade science teacher, Frick United Academy of Language",
11,"“To start, we need an independent audit. It is not enough for Oakland Unified School District to do an internal investigation because we need to know what has happened.”
","Named individual
",,Stuart Loebl,"Sixth-grade science teacher, Frick United Academy of Language",
12,The district’s safe drinking water policy states that any water sources showing lead at above 5 parts per billion must be taken offline and repaired. ,Document,,District's safe drinking water policy,,
13,"District leaders on Wednesday said the lead came from the water fixtures, such as a sink faucet or water fountain spigot, and denied that it was an issue with pipes or the water source.","Named Organization
",,Oakland Unified School District,,
14,Community members pointed out that other districts have lower thresholds for remediation. ,"Unamed group of People
",,Community members,,"In Berkeley Unified, water fixtures testing above 1 part per billion are taken offline and repaired."
15,"“Why didn’t you do your job? You knew months ago that the water was contaminated. You didn’t act, and you let those kids come back to school and drink poisoned water,” said Marina Muñoz, a parent at Madison Park Academy and an organizer with Communities for a Better Environment. ""Now who is going to cover our medical bills? I demand you test all the kids in the district. I want to find out which kids are sick with lead poisoning!”","Named individual
",,Marina Muñoz,"Marina Muñoz, organizer, Communities for a Better Environment. ",parent at Madison Park Academy and an organizer with Communities for a Better Environment. 
16,Alameda County recommends that any families who were notified that their schools had elevated lead levels should get their child a blood lead test.,"Named Organization
",,Alameda County,,
17,"School sites will continue to be tested in five stages, district leaders said","Named Organization
",,Oakland Unified School District,,
18,"At the 40 schools that were tested in the spring, fixes are underway for 186 fountains and faucets that had elevated lead levels. In stage two, 15 elementary schools were tested between Aug. 17 and Aug. 22, requiring six fixtures to be repaired, according to the report.",Document,,Oakland Unified School Board ,,
19,"Stage three includes schools with older and newer buildings that have not been tested, and at those sites students will be directed not to use water fountains in the older buildings or to use FloWater water bottle filling stations until they can be tested. Schools with buildings constructed after 2010 will be tested as part of the fourth stage in November and December, and in stage 5 OUSD’s early childhood centers will be tested every five years.",Document,,Oakland Unified School Board ,,
20,"More of the FloWater stations are being delivered to schools this week, and schools will be prioritized based on the percentage of fountains that are out of service and the number of students that attend the school, Thomas said. ","Named individual
",,Preston Thomas,chief systems and services officer ,
21,"In 2017, when OUSD was considering its clean drinking water policy, the cost to upgrade all the pipes would have been $38 million, Thomas said. Today, that number could be $50 or $60 million. OUSD’s deferred maintenance budget, which is supposed to be for facilities repairs, has $3 million in it.
","Named individual
",,Preston Thomas,chief systems and services officer ,
22,"Director Valarie Bachelor, the chair of OUSD’s facilities committee, said lead abatement will continue to be a topic at every facilities meeting until the issue is resolved. ","Named individual
",," Valarie Bachelor,",Director,chair of OUSD’s facilities committee
23,"“This is not new to Oakland, but it is something that we need to tackle as an entire city, and we need to have community partners, philanthropic partners, as well as our county and state folks to support us in dealing with this issue,” she said","Named individual
",," Valarie Bachelor,",Director,chair of OUSD’s facilities committee
24,"As we talk about budget adjustments and what we need to be funding … I will be pushing to make sure that we have a robust deferred maintenance budget so that we don’t have these issues, and so that we can tackle these issues as they happen, versus when tragedies like this occur.”","Named individual
",," Valarie Bachelor,",Director,chair of OUSD’s facilities committee
25,"OUSD also committed to redesigning its water quality website and publishing a dashboard by Jan. 1 for community members to view test results.

","Named Organization
",,Oakland Unified School District,,
