No,Sourced Statements ,Type of source,Anonymity? (Y/N),Name of Source,Title of Source,Source Justification
1,"“With all the struggling I was doing, my attitude took a hit,” Kahlia said. “The more you witness yourself being down and out, the more you feel down and out, and the more stuck you feel.”",Named Person,,Kipp Kahlia,Guitarist,"Her health deteriorated and visits to doctors drained her savings. Recently she decided to start a business performing social justice songs at events. But with no extra funds or time, she had to pause the venture. "
2,"The pilot program will allow researchers to track its impact in a large, diverse region, said Sean Kline, director of the Stanford Basic Income Lab, which studies guaranteed income programs across the country. ",Named Person,,Sean Kline,"Director, Stanford Basic Income Lab",director of the Stanford Basic Income Lab. Which studies guaranteed income programs across the country. 
3,"“Whenever L.A. city or county or Chicago or New York do something bold like this, it’s a really important signal that this big policy idea found its footing during COVID and represents a possible way forward in terms of supporting low income people across America,” Kline said.  ",Named Person,,Sean Kline,"Director, Stanford Basic Income Lab",director of the Stanford Basic Income Lab. Which studies guaranteed income programs across the country. 
4,"One question the Breathe program raises, Kline said, is what does it mean to have extra money for months versus several years?  “If you knew the money was coming for three years, it’s a much longer runway. Can you go back to school? Can you quit your job now and look for a new one? Can you care for your aging parents?” ",Named Person,,Sean Kline,"Director, Stanford Basic Income Lab",director of the Stanford Basic Income Lab. Which studies guaranteed income programs across the country. 
5,"Every six months, program participants and members in the control group receive the same survey questions about their wellbeing, financially and mentally,  said Amy Castro, director of Penn’s Center for Guaranteed Income Research.",Named Person,,Amy Castro ,"Director, Penn's Center for Guaranteed Income Research","Researchers at the University of Pennsylvania are surveying the 1,000 Breathe participants, along with a control group of people not receiving funds."
6,"While there were positive impacts on mental health and wellbeing the first year, when the pandemic broke out, the benefits were less pronounced, according to Penn’s research. ",Named Organization,,Penn's Center for Guaranteed Income Research,,That pilot is one of the only experiments with published study results. 
7,"Interest nevertheless grew in the last few years as COVID-19 exacerbated income inequality throughout California, researchers said. ",Unnamed Group of People,,researchers,,https://calmatters.org/california-divide/2022/02/california-income-inequality/
8,Advocates point to the expansion of the federal child tax credit as proof that direct cash payments to families reduce poverty. ,Unnamed Group of People,,Advocates ,,In 2021 child poverty decreased to 9% from 17.6% in 2019. 
9,"Still some opponents said these types of programs discourage participation in the labor market, are too costly and fail to sufficiently reform the welfare system to bring working people out of poverty. ",Unnamed Group of People,,Opponents,,some opponents
10,"“There is so much we don’t know yet,” Castro said. “We don’t know how long people need to receive cash to create what level of change.” ",Named Person,,Amy Castro ,"Director, Penn's Center for Guaranteed Income Research",
11,"More than halfway through the Breathe program, Kahlia said she and her business remain a work in progress, but the funds have given her an ability to move forward in a way she hadn’t before. ",Named Person,,Kipp Kahlia,Guitarist,"Kahlia was selected as one of 1,000 participants in L.A. County’s guaranteed income program, called Breathe. "
12,"“It’s taking me from always putting out fires to being able to actually make some moves to advance, not just being stuck,” Kahlia said. ",Named Person,,Kipp Kahlia,Guitarist,"Kahlia was selected as one of 1,000 participants in L.A. County’s guaranteed income program, called Breathe. "
13,"“I didn’t expect to be accepted,” to the Breathe program, Kahlia said. “When I was, I was really, really pleasantly surprised. It definitely took the edge off.” ",Named Person,,Kipp Kahlia,Guitarist,"The money came at the perfect time. Because of the pandemic, Kahlia had stopped teaching guitar lessons in person at parks and recreation centers and transitioned to virtual teaching. But one by one, her clients dropped off. "
14,"Kahlia said she doesn’t keep track of how she spends the Breathe money. A lot of it has gone to health expenses, and some has gone to her business. But she also spends it on day-to-day things like groceries, or a taco night out with friends, she said. ",Named Person,,Kipp Kahlia,Guitarist,
15,"Kahlia thought if she was going to meet clients for her business, showing up in an old, dinged up car wouldn’t do a lot for her image. ",Named Person,,Kipp Kahlia,Guitarist,Her biggest expense has been a new car she leased after her 28-year-old Toyota Corolla started breaking down.
16,"“I’m probably getting more comfortable with spending money,” she said. “Just learning to say yes to stuff. There’s some stuff that, at the beginning of the program I felt was, you know, almost extravagant. And now I’m like ‘Oh my god, I really needed that for my business to move forward.’”",Named Person,,Kipp Kahlia,Guitarist,"Under other circumstances, Kahlia would have thought twice before spending that money.  "
17,"The lab found, in general, that food and groceries are the top way participants are spending money, making up 35% of the funds spent. Retail sales and services are a close second at 31%.",Named Organization,,Stanford Guaranteed Income Lab,,"Though data from the L.A. County guaranteed income program is limited, the Stanford Guaranteed Income Lab tracks 31 pilot programs throughout the country, including the Breathe pilot. "
18,"Participants also spent the money on transportation (10%) and housing and utilities (8%). They spend a smaller percentage on educational expenses, miscellaneous expenses and health care or medical expenses. ",Named Organization,,Stanford Guaranteed Income Lab,,"Though data from the L.A. County guaranteed income program is limited, the Stanford Guaranteed Income Lab tracks 31 pilot programs throughout the country, including the Breathe pilot. "
19,"There’s also anecdotal evidence that participants are spending some on things that may help them build wealth, like starting a business or saving for a down payment on a home, said Brian Arredondo, a coach for program participants. ",Named Person,,Brian Arredondo,Coach,a coach for program participants.
20,"He said participants come to him with a huge variety of needs, from questions about investing and money management to how to find a good mechanic. ",Named Person,,Brian Arredondo,Coach,Arredondo regularly checks in with about 300 participants. 
21,"“People need help with normal, everyday interactions that may be easy for some individuals,” he said. “But for others, they don’t have any prior experience with them.”",Named Person,,Brian Arredondo,Coach,"When Kahlia wanted to lease a new car, she went to Arredondo, who helped her research the used car market. He has helped other participants look for new cars and accompanied them to dealerships.  "
22,"Researchers and advocates stress how no-strings-attached cash not only improves peoples’ financial situations, but gives them peace of mind and improves mental health. ",Unnamed Group of People,,Researchers and advocates,,
23,"Participants report feeling more free to spend money on self care, outings with family members or sharing their wealth with community members.",Unnamed Group of People,,participants ,,
24,"It’s those hard-to-measure impacts that are key, said Ely Fournier, who oversees the program coaches at Strength Based Community Change.  ",Named Person,,Ely Fournier,"Director, Strength Based Community Change",who oversees the program coaches at Strength Based Community Change.  
25,"“It can’t just be the money,” Fournier said. “It’s the opportunity and the access to experiences sometimes that really make a big difference when there is even a little bit more resources folks can have. ”",Named Person,,Ely Fournier,"Director, Strength Based Community Change",who oversees the program coaches at Strength Based Community Change.  
26,"The program funds have given her time, she said. ",Named Person,,Kipp Kahlia,Guitarist,"But she’s made some progress. Normally she’d be stuck in a cycle of teaching guitar lessons to make money, but wouldn’t have time for her business. "
27,"“I haven’t gotten to the sexy part yet,” Kahlia said. “I had to get stronger and healthier, clear space, and lay a foundation first. Pulling yourself out of a hole often doesn’t look dramatic. For me it’s been the ability to do some fairly tedious stuff over an extended period of time, over and over again.” ",Named Person,,Kipp Kahlia,Guitarist,Now Kahlia is taking a step back from teaching and spending time writing new arrangements of music to perform for clients. She’s working on updating her website and making calls to potential clients. 
