No,Sourced Statements,Type of Source,Name of Source,Title of Source,Source Descriptors,Source Justification
1.0,“No Frick’n way”: Neighbors oppose transforming former Irish Centre into high-end apartments,Unnamed Group of People,neighbors,,,
2.0,"Billed as the Frick Park Friends, a collective of disgruntled neighbors cite environmental, safety, and aesthetic concerns with the 160-unit structure proposed to replace the former Irish Centre of Pittsburgh in Squirrel Hill South near its border with Swisshelm Park. As of Thursday, the group said they've collected more than 1,700 signatures opposing the development.",Named Organization,Frick Park Friends,,,
3.0,"""I believe the next month is going to be a propaganda arms race,"" Sean Crist, a Frick Park Friends supporter, tells Pittsburgh City Paper.",Named Person,Sean Crist,,,a Frick Park Friends supporter
4.0,"Among them, Christina Cerkevich, says she moved to Swisshelm Park around 2014 after several years in Nashville. While living in Tennessee's state capital, she says she witnessed housing prices soar as its population surged and homebuilders constructed frantically.",Named Person,Christina Cerkevich,,,moved to Swisshelm Park around 2014 after several years in Nashville
5.0,"""I see this as the start of that here,"" Cerkevich says of the Irish Centre proposal.",Named Person,Christina Cerkevich,,,moved to Swisshelm Park around 2014 after several years in Nashville
6.0,"""My concern is that someone will get hurt if they build this,"" Sarah Bartholomew-Fisher of Swisshelm Park tells City Paper.",Named Person,Sarah Bartholomew-Fisher,,,of Swisshelm Park
7.0,"Bartholomew-Fisher also points to nearby developments, including Walnut Tower and Summerset townhouse development, where landslides have occurred after construction.",Named Person,Sarah Bartholomew-Fisher,,,of Swisshelm Park
8.0,"""It's like putting a big apartment building in the middle of Yellowstone,"" Vicki Yann, a lifelong Swisshelm Park resident tells CP.",Named Person,Vicki Yann,,,a lifelong Swisshelm Park resident
9.0,"Representing Craft, attorney Ray Baum argues many of the groups' concerns are misguided. He notes there are environmental and traffic issues with the site, but argues these can only be remedied if a developer steps in and takes ownership.",Named Person,Ray Baum,attorney,,Representing Craft
10.0,"""It's a bad situation now, but it needs to be improved regardless,"" Baum tells CP. ""So I don't think it will be improved unless this goes ahead.""",Named Person,Ray Baum,attorney,,Representing Craft
11.0,"Baum says the apartment complex will include green roofs and underground storage tanks that would mitigate runoff into the creek during intense rainfall. He says his client has also offered to fund traffic improvements, and points to a preliminary traffic report stating the development would not ""materially"" add to the surrounding traffic issues.",Named Person,Ray Baum,attorney,,Representing Craft
12.0,"A hearing had initially been set for July, however, Baum says his client is working to secure the support of the Squirrel Hill Urban Coalition beforehand, so requested a delay. Coalition members met earlier this week and agreed to support two of the three variance requests, but withheld support for a variance concerning building density.",Named Person,Ray Baum,attorney,,Representing Craft
13.0,"David Vatz, a Squirrel Hill resident and founder of Pro-Housing Pittsburgh, says even though the apartments are not billed as affordable, generating more housing within city limits will help dampen housing costs by adding to the supply. He also says dense urban housing creates much lower environmental costs than single family built homes further out.",Named Person,David Vatz,founder of Pro-Housing Pittsburgh,,a Squirrel Hill resident and founder of Pro-Housing Pittsburgh
14.0,"""If you don't build it in the city, it will just get built in the exurbs, where the carbon footprint will be higher,"" Vatz tells CP.",Named Person,David Vatz,founder of Pro-Housing Pittsburgh,,a Squirrel Hill resident and founder of Pro-Housing Pittsburgh
15.0,"Vatz describes Pro-Housing Pittsburgh as a ""grassroots"" affiliation united around a belief that more housing is crucial to keeping markets in check.",Named Person,David Vatz,founder of Pro-Housing Pittsburgh,,a Squirrel Hill resident and founder of Pro-Housing Pittsburgh
16.0,"""All of the studies that have come of this essentially say the same thing: If you don't build more housing, prices are coming up,"" Vatz says.",Named Person,David Vatz,founder of Pro-Housing Pittsburgh,,a Squirrel Hill resident and founder of Pro-Housing Pittsburgh
17.0,"Although the developers say scaling down the project would make it financially unviable, many of those objecting to the development say they would welcome a more modest residential structure at the Irish Centre site.",Unnamed Group of People,Developers,,,
18.0,"Although the developers say scaling down the project would make it financially unviable, many of those objecting to the development say they would welcome a more modest residential structure at the Irish Centre site.",Unnamed Group of People,Those Objecting to the Development,,,
19.0,"""We are not NIMBYS,"" Terri Devereaux tells CP. We are not anti-development, whenever it's ethically, legally, and environmentally sound.""",Named Person,Terri Devereaux,,,
