No,Sourced Statements,Type of Source,Name of Source,Title of Source,Source Descriptors,Source Justification
1,"""Every inmate who is physically able has a job in the prison system,"" Texas' prison agency explains in an FAQ. ""Inmates are not paid for their work, but they can earn privileges as a result of good work habits.""",Named Organization,Texas Department of Criminal Justice,,,"Texas is one of a handful of states, all in the South, that pay no wages to incarcerated workers."
2,"Texas prison agriculture generates roughly $90 million in revenue each year, according to a 2021 state audit report. Most of the goods stay within the prison agency – food crops feed inmates and cotton goes into their uniforms. But roughly a quarter of prison-produced goods are sold outside.",Document,,,state audit,
3,"This year, the Associated Press looked at about a dozen state prison farms, including operations in Texas, and traced prison labor in the supply chains of McDonald's, Whole Foods, Pizza Hut, and other major corporations.",Named Organization,Associated Press,,,
4,"""In 1996, I was a slave,"" Hockley says. ""I was a slave legally, by the Constitution of the United States. I worked for free, in the worst conditions you can work in.""",Named Person,Robert Hockley,,formerly incarcerated,"As a teenager, Hockley picked cotton here by hand, filling a bag slung to his chest."
5,"“Materially, I did not take anything of value. But I did take these people’s sense of safety. Outside of material value, I traumatized someone.”",Named Person,Robert Hockley,,formerly incarcerated,"As a teenager, Hockley picked cotton here by hand, filling a bag slung to his chest."
6,"""It was all white, from here to that line of trees,"" Hockley said, looking out at Clemens fields.",Named Person,Robert Hockley,,formerly incarcerated,"As a teenager, Hockley picked cotton here by hand, filling a bag slung to his chest."
7,"His first sight of the cotton field was something he felt in his chest. ""You felt the agony. You felt the suffering,"" Hockley said. ""It's no different from seeing a gas chamber. You're like, well damn. Many people didn't make it out of here.""",Named Person,Robert Hockley,,formerly incarcerated,"As a teenager, Hockley picked cotton here by hand, filling a bag slung to his chest."
8,"He was in shock, looking for other people around him to affirm that they couldn’t really be there to pick cotton. But many of them had been to the fields before. As he explains it, it was a rebellious spirit that landed him in prison to begin with, and that spirit had not been broken yet. ""I was like, 'There's no way I'm picking cotton. To hell with this.'""",Named Person,Robert Hockley,,formerly incarcerated,"As a teenager, Hockley picked cotton here by hand, filling a bag slung to his chest."
9,That’s how he learned that heat could be a punishment.,Named Person,Robert Hockley,,formerly incarcerated,"As a teenager, Hockley picked cotton here by hand, filling a bag slung to his chest."
10,"""At 17, I'm under the assumption that I have rights. And my right is to say 'hell no.' And I was sadly mistaken. They had designed the system for people like me, who would say 'hell no.' And that system was as brutal as I could ever be.""",Named Person,Robert Hockley,,formerly incarcerated,"As a teenager, Hockley picked cotton here by hand, filling a bag slung to his chest."
11,"When Hockley refused to pick cotton, horses surrounded him. Officers made him kneel, handcuffed him, and brought him to the back of a trailer, enclosed by metal fencing. He was the first, but he was soon joined by four other young men from other squads who refused to participate. For four hours, they sat bunched together and handcuffed on the metal floor in the heat. “That was my introduction into burning hell.”",Named Person,Robert Hockley,,formerly incarcerated,"As a teenager, Hockley picked cotton here by hand, filling a bag slung to his chest."
12,"""They had a trailer that had about a three foot by three foot metal cage. And if somebody got into a fight or got unruly, you're gonna sit your ass in that trailer, that little metal cage,"" until the work day ended.",Named Person,Craig Anderson,,formerly incarcerated,"Craig Anderson remembers the cages well. He worked in a ""hoe squad,"" as prisoners call the farming teams, at Connally Unit during the Nineties."
13,"Back at Clemens, after Hockley returned to the prison after hours in the cage, he was disciplined for his refusal to work. He spent the next 15 days in solitary confinement. Hockley said that broke him. Soon, he decided picking cotton would be better than losing what little freedom he still had in prison.",Named Person,Robert Hockley,,formerly incarcerated,"As a teenager, Hockley picked cotton here by hand, filling a bag slung to his chest."
14,"A Texas Department of Criminal Justice spokesperson points out that a small percentage of prisoners are working on the field force at any given time (in April there were 219 inmates working in fields on average, out of 132,995 prisoners total.)",Named Organization,Texas Department of Criminal Justice,,,
15,"Also, prisoners stopped picking cotton by hand and started using machinery to harvest cotton. ""I don't have an exact year, but it has not happened in quite a while,"" said TDCJ's Amanda Hernandez. Officers do still observe inmates from horseback at times, but the hot cage punishment is ""not a practice in TDCJ,"" she said.",Named Person,Amanda Hernandez,"Spokesperson, Texas Department of Criminal Justice",,
16,"Per the disciplinary rules, minor penalties can lead “cell restriction” for 30 days per disciplinary case.",Named Organization,Texas Department of Criminal Justice,,,
17,"The spokesperson declined to answer whether the TDCJ agrees with prisoners' descriptions of their work as ""slave labor."" But generally, the agency frames fieldwork as a benefit to prisoners. ""The inmates learn to use equipment, which translates to job skills to help them gain employment upon their release,"" Hernandez said.",Named Person,Amanda Hernandez,"Spokesperson, Texas Department of Criminal Justice",,
18,"Regardless of any perceived benefit to inmates, the benefit to taxpayers is not clear. The 2021 audit found that, while the state brought in more than $90 million selling agricultural products in one year, it would have saved $17 million over five years by buying canned foods and certain crops instead of producing them. Cotton and cottonseed in particular cost $5.6 million more to produce with prison labor than to purchase externally.",Document,,,state audit,
19,"""When you think about cotton picking in Texas, where the state does not pay, the point is to remind people that the state owns you,"" said Bianca Tylek, founder of Worth Rises, a nonprofit opposing forced labor, in an interview with the Marshall Project in 2021. ""They want to make it parallel to slavery, and they are willing to do it at their own cost.""",Named Person,Bianca Tylek,Founder of Worth Rises,,"Founder of Worth Rises, a nonprofit opposing forced labor,"
20,"Though prisoners today benefit from some modern equipment, conditions are still ""miserable,"" as the recently released Anderson told us. ""I don't know how to describe it except that it's miserable.""",Named Person,Craig Anderson,,formerly incarcerated,"Craig Anderson remembers the cages well. He worked in a ""hoe squad,"" as prisoners call the farming teams, at Connally Unit during the Nineties. Anderson's first stint in prison was as a young man in the Nineties. On his second stint, from 2011 to 2022, he didn't work in a hoe squad but tailored inmates' cotton uniforms with no air conditioning."
21,"Current inmates and their families describe water that stinks or isn't clear, poor ventilation, sack meals that aren't filling, and constant bug bites.",Unnamed Group of People,,,current inmates and their families,
22,"""The living conditions haven't changed,"" said Hockley, whose brother is still incarcerated at one of the state's oldest prisons. ""Yeah, picking cotton has, but living in a hundred-degree cell hasn't. So how far have we come?""",Named Person,Robert Hockley,,formerly incarcerated,"As a teenager, Hockley picked cotton here by hand, filling a bag slung to his chest."
23,"""It's nasty this time of the year,"" he said. ""I mean, you sweat all the way up to one or two o'clock in the morning when it finally starts cooling off a little bit. And then at four o'clock, they start feeding breakfast and everybody goes to work.""",Named Person,Craig Anderson,,formerly incarcerated,"Craig Anderson remembers the cages well. He worked in a ""hoe squad,"" as prisoners call the farming teams, at Connally Unit during the Nineties. Anderson's first stint in prison was as a young man in the Nineties. On his second stint, from 2011 to 2022, he didn't work in a hoe squad but tailored inmates' cotton uniforms with no air conditioning."
24,"As a tailor, he said he had a fan blowing hot air on him, ""but I couldn't blow it too hard on me because it'd blow my strings on my sewing machine.""",Named Person,Craig Anderson,,formerly incarcerated,"Craig Anderson remembers the cages well. He worked in a ""hoe squad,"" as prisoners call the farming teams, at Connally Unit during the Nineties. Anderson's first stint in prison was as a young man in the Nineties. On his second stint, from 2011 to 2022, he didn't work in a hoe squad but tailored inmates' cotton uniforms with no air conditioning."
25,"Mary McConnell said her husband has a postgraduate degree in electrical engineering from UT-San Antonio, but at Ramsey – another prison on a former slave plantation – his job is unloading boxes from a delivery truck. As a man in his 60s, heavy lifting in the heat wears on him. To cool down, he bought rags from the commissary to wet and hang around his neck. He said during their water breaks, he sometimes finds the water orange from rusty pipes.",Named Person,Mary McConnell,,wife of an incarcerated person,
26,"Nick Wood, who's been incarcerated for 24 years, said new equipment had made fieldwork much easier, but the heat inside has only gotten worse. On the worst days and nights at Wainwright, he soaks his clothes and lays on the wet floor to cool off.",Named Person,Nick Wood,,incarcerated,who's been incarcerated for 24 years
27,"A lawsuit filed in April claims Texas prisoners are being ""cooked to death"" in prisons that lack A/C, and that the Texas Department of Criminal Justice has grossly underestimated the number of deaths caused by heat.",Document,,,lawsuit,lawsuit filed in April
28,The prison agency claims there hasn't been a heat-related death in a Texas prison since 2012.,Named Organization,Texas Department of Criminal Justice,,,
29,"Last summer, Tona Southards Naranjo told the Chronicle she viewed her son Jon's body after he died in prison and saw heat rash from head to toe. ""What happened was a judge sentenced my son to 20 years, but the TDCJ sentenced him to death,"" she said.",Named Person,Tona Southards Naranjo,,mother,she viewed her son Jon's body after he died in prison
30,"State data shows that the air-conditioning problem isn’t distributed evenly. It’s concentrated in the prison system’s southeast region, where the state’s predominant slave counties were before emancipation, and where the state’s prison system was born.",Document,,,state data,
31,"Most of the state's roughly 100 prisons today are only partially air-conditioned and about 15% have no A/C in housing areas at all, per data from TDCJ.",Named Organization,Texas Department of Criminal Justice,,,
32,"(We presented the TDCJ with a list of 13 prisons built on former slave plantations to fact-check. A spokesperson responded, ""I don't have that information."")",Named Organization,Texas Department of Criminal Justice,,,
33,"The TDCJ explains that the units without any air conditioning are the older facilities, where it would be more expensive to add air conditioning. The current projects underway to add air conditioning are mostly in facilities that are already partly air-conditioned. A spokesperson explained why the agency isn't prioritizing older prisons on former plantations. ""To ensure funding goes further, we are air-conditioning other units as it would allow us to provide more cool beds,"" a spokesperson said.",Named Organization,Texas Department of Criminal Justice,,,
34,"Michele Deitch, director of UT's Prison and Jail Innovation Lab, is familiar with the conditions at the state's oldest prisons. ""In some ways, I'm more shocked that we bought 100,000 beds in the Nineties when air conditioning was common and didn't put air conditioning in these facilities.""",Named Person,Michele Deitch,director of UT's Prison and Jail Innovation Lab,,is familiar with the conditions at the state's oldest prisons
35,"Hockley suspects that the lack of air conditioning was never an oversight. Instead, he sees it as one part of a larger, intentional effort to dehumanize prisoners.He points out how some improvements that might seem compassionate – like the introduction of tablets, which help prisoners contact family more easily – also give the state even more control. With a shortage of guards, the tablets allow prisoners to watch each other and report misbehavior to officers",Named Person,Robert Hockley,,formerly incarcerated,"As a teenager, Hockley picked cotton here by hand, filling a bag slung to his chest."
36,"""It's like a tree. The roots are so deep and rotten,"" Hockley said. ""The people there are like, 'Look at the top. We green now. Let's not go into the roots. Let's not go down that rabbit hole.' Because if we fix the air, we're gonna have to fix this, we're gonna have to fix that – you're gonna have to fix this whole system.""",Named Person,Robert Hockley,,formerly incarcerated,"As a teenager, Hockley picked cotton here by hand, filling a bag slung to his chest."
