No,Sourced Statements,Type of Source,Name of Source,Title of Source,Source Descriptors,Source Justification
1,"Kansas cannot enforce its ban on nonsurgical gender-transition treatments for minors, a state judge ruled on Friday.",Named Organization,Kansas State Judge,,,
2,"""This is a momentous win for not just our plaintiffs, but for everyone who is affected in Kansas,"" Harper Seldin, a lawyer for the American Civil Liberties Union, said in a phone interview on Saturday.",Named Person,Harper Seldin,American Civil Liberties Union Lawyer,,
3,"The judge, Carl Folsom III of the State District Court in Douglas County, said in granting a temporary injunction that the law had likely violated parents' rights to make decisions for their children.",Named Person,Carl Folsom III,State District Court in Douglas County Judge,,
4,"Attorney General Kris W. Kobach, a Republican whose office defended the law, criticized the ruling as ""a stark example of judicial activism,"" and vowed to appeal.",Named Person,Kris W. Kobach,"Attorney General, Kansas",,a Republican whose office defended the law
5,"""The judge invented a new constitutional right out of whole cloth,"" he said in a statement. ""Even though the Kansas Constitution says nothing about it, the judge created a new right of parents to obtain otherwise-illegal treatments for their children.""",Named Person,Kris W. Kobach,"Attorney General, Kansas",,
6,"Judge Folsom, who was appointed by Gov. Laura Kelly, a Democrat, wrote in his 117-page ruling that transgender children would likely face irreparable harm if the ban remained in place. He also described testimony that gender-transition treatments for minors were safe and effective as credible.",Named Person,Carl Folsom III,"judge, State District Court in Douglas County",,
7,"Ms. Kelly vetoed the law last year, describing it as ""government interference in Kansans' private medical decisions,"" but the Republican-controlled Legislature overrode her.",Named Person,Laura Kelly,"Governor, Kansas",,
8,"The Kansas judge ruled on the same day that Texas' attorney general, Ken Paxton, announced that, as part of an agreement to settle a state investigation, Texas Children's Hospital would create the nation's first clinic focused on medical care for young people who stop or reverse their gender transitions.",Named Person,Ken Paxton,"Attorney General, Texas",,
9,"Last week, a New York City hospital said it was one of several to have received a grand jury subpoena from a federal prosecutor in Texas seeking information about adolescents who received gender-related medical care.",Not Defined,,,,"The settlement, coordinated with the U.S. Justice Department, became the latest example of a hospital feeling pressure to end gender-related treatments for adolescents who say they feel a mismatch between their gender identity and sex at birth."
10,"The Kansas lawsuit, filed last spring by the American Civil Liberties Union of Kansas on behalf of two transgender teenagers and their parents, claimed that the ban violated the State Constitution.",Document,,,,
11,Lawyers for the teenagers sought the injunction because they said there was a risk of permanent harm to their clients if they were not allowed to resume treatment.,Unnamed Group of People,,,,
12,"Mr. Kobach said when the lawsuit was filed that the ""A.C.L.U. is twisting the meaning of the Kansas Constitution into something unrecognizable."" He added that the Legislature ""was well within its authority when it acted to protect Kansas children.""",Named Person,Kris W. Kobach,"Attorney General, Kansas",,a Republican whose office defended the law
13,"Republican supporters of the law, which bans hormone treatments, puberty blockers and transition surgeries for transgender patients younger than 18, described it as a measure that guards young people from life-altering choices that they might later regret.",Unnamed Group of People,,,,a report commissioned by the Trump administration
14,"The major American medical societies endorse them, but a report commissioned by the Trump administration concluded that the risks outweigh the benefits.",Document,,,,"a demographics research center at the University of California, Los Angeles"
15,"An estimated 2.8 million people aged 13 and older in the United States identify as transgender, according to the Williams Institute, a demographics research center at the University of California, Los Angeles.",Named Organization,Williams Institute,,,
