No,Sourced Statements,Type of Source,Name of Source,Title of Source,Source Descriptors,Source Justification
1,"Single-family housing starts, which account for the bulk of homebuilding, dropped 9.9% last month to a seasonally adjusted annual rate of 808,000 units, the Commerce Department's Census Bureau said on Tuesday.",Named Organization,Commerce Department's Census Bureau,,,
2,"“Until mortgage rates decline and allow builders to unload currently completed homes or those under construction, we expect home builders to remain hesitant to make significant investments in new projects,” Nationwide Senior Economist Ben Ayers said.",Named Person,Ben Ayers,Nationwide Senior Economist,,
3,Economists polled by Reuters had estimated an annualized rate of 1.35 million.,Unnamed Group  of People,Economists,Economists polled by Reuters,,
4,"Contract signings for existing homes - which become completed sales transactions typically a month or two later - also fell in July, the National Association of Realtors reported Tuesday.",Named Organization,National Association of Realtors,,,
5,Economists had estimated a permit run of 1.37 million.,Unnamed Group  of People,Economists,,,
6,"“The highest mortgage rates of the year hit right in the middle of summer, and that's pulling back contract signings,” NAR Chief Economist Lawrence Yun said in a statement. “Home prices are at record highs so houses for sale are sitting on the market longer, and fewer buyers are bidding above the asking price than a year ago, though there are large local market variations.”",Named Person,Lawrence Yun,NAR Chief Economist,,
7,"The contract rate on a 30-year fixed-rate mortgage, the most popular U.S. home loan, ticked lower in the week ended August 7 for the first time since mid-June, the Mortgage Bankers Association reported last week.",Named Organization,Mortgage Bankers Association,,,
8,"On Monday the National Association of Home Builders reported an unexpected uptick in sentiment among construction firms, but their confidence overall remains significantly subdued in the face of economic uncertainty, high mortgage rates and steep building costs aggravated by the U.S.-led war with Iran.",Named Organization,National Association of Home Builders,,,
9,The Fed reported its manufacturing output index rose 0.2% in July on the heels of an upwardly revised 0.3% increase in June.,Named Organization,Fed,,,
10,"“The usual suspects, including AI-linked industries, drove industrial production, and particularly durable goods manufacturing, higher,” Bernard Yaros, lead U.S. economist at Oxford Economics, said in a note.",Named Person,Bernard Yaros,lead U.S. economist at Oxford Economics,,
11,"Oxford's Yaros expects the momentum to broaden out and lift other sectors beyond high tech. “AI is increasingly spilling over into other investment goods beyond information processing equipment,” he said.",Named Person,Bernard Yaros,lead U.S. economist at Oxford Economics,,
