No,Sourced Statements,Type of Source,Name of Source,Title of Source,Source Descriptors,Source Justification
1,"President Donald Trump has lost ground on immigration, a new poll from Reuters/Ipsos has found.",Named Organization,Reuters/Ipsos,,,"The Reuters/Ipsos poll was conducted ​online over four days and published on August 17. It included responses from 1,166 U.S. adults nationwide. It had a margin of error of 3 percentage points in either direction."
2,"The poll showed that 40 percent of registered voters said that Republicans had the better approach on immigration policy, compared to 38 percent who chose Democrats.",Named Organization,Reuters/Ipsos,,,"The Reuters/Ipsos poll was conducted ​online over four days and published on August 17. It included responses from 1,166 U.S. adults nationwide. It had a margin of error of 3 percentage points in either direction."
3,"“No other President in history has accomplished more for the American people than President Trump, who is working tirelessly to create jobs, cool inflation, increase housing affordability, and more,” Davis Ingle, a White House spokesman, said in a previous statement to Newsweek.",Named Person,Davis Ingle,White House spokesman,,
4,"“The President has already made historic progress not only in America but around the world, and this is just the beginning as his agenda continues taking effect.”",Named Person,Davis Ingle,White House spokesman,,
5,"When Trump returned to office in January of 2025, 48 percent of Americans approved of his handling of immigration, according to Ipsos polling.",Named Organization,Reuters/Ipsos,,,"The Reuters/Ipsos poll was conducted ​online over four days and published on August 17. It included responses from 1,166 U.S. adults nationwide. It had a margin of error of 3 percentage points in either direction."
6,"By June of that year, Reuters/Ipsos polling showed a four-point drop, down to 44 percent.",Named Organization,Reuters/Ipsos,,,"The Reuters/Ipsos poll was conducted ​online over four days and published on August 17. It included responses from 1,166 U.S. adults nationwide. It had a margin of error of 3 percentage points in either direction."
7,"Newsom said that local law enforcement was already mobilized and said the presence of the National Guard was ""purposefully inflammatory"" and would ""escalate tensions.”",Named Person,Gavin Newsom,California Governor,,
8,"During his February 2026 State of the Union address, Trump said the administration was ""deporting illegal alien criminals from our country at record numbers"" and said the policy was making communities safer.",Named Person,Donald Trump,President,,
9,"Beyond immigration policy, Trump’s overall approval rating has fallen to the lowest level of his second term, according to the Reuters/Ipsos poll.",Named Organization,Reuters/Ipsos,,,"The Reuters/Ipsos poll was conducted ​online over four days and published on August 17. It included responses from 1,166 U.S. adults nationwide. It had a margin of error of 3 percentage points in either direction."
10,33 percent of respondents in the four-day survey said they approved of Trump’s performance. 64 percent disapproved.,Named Organization,Reuters/Ipsos,,,"The Reuters/Ipsos poll was conducted ​online over four days and published on August 17. It included responses from 1,166 U.S. adults nationwide. It had a margin of error of 3 percentage points in either direction."
11,The Reuters poll found that an overall 80 percent of Americans – 87 percent of Democrats and 71 percent of Republicans – think that the conflict will go on for an extended period.,Named Organization,Reuters/Ipsos,,,"The Reuters/Ipsos poll was conducted ​online over four days and published on August 17. It included responses from 1,166 U.S. adults nationwide. It had a margin of error of 3 percentage points in either direction."
12,Sixteen percent said they thought the conflict would end in a few weeks.,Named Organization,Reuters/Ipsos,,,"The Reuters/Ipsos poll was conducted ​online over four days and published on August 17. It included responses from 1,166 U.S. adults nationwide. It had a margin of error of 3 percentage points in either direction."
13,"Speaking on Friday about the war and how it has impacted oil prices, Trump said, “I’ll never apologize. I did the right thing.”",Named Person,Donald Trump,President,,
14,The Reuters/Ipsos poll found that voters leaned toward Democrats on the handling of the economy.,Named Organization,Reuters/Ipsos,,,"The Reuters/Ipsos poll was conducted ​online over four days and published on August 17. It included responses from 1,166 U.S. adults nationwide. It had a margin of error of 3 percentage points in either direction."
15,"38 percent of voters thought that Democrats would handle the economy better, compared to 35 percent who would prefer the Republican approach.",Named Organization,Reuters/Ipsos,,,"The Reuters/Ipsos poll was conducted ​online over four days and published on August 17. It included responses from 1,166 U.S. adults nationwide. It had a margin of error of 3 percentage points in either direction."
