No,Sourced Statements,Type of Source,Name of Source,Title of Source,Source Descriptors,Source Justification
1,"Vishal Garg, the founder and former chief of mortgage lender Better Home & Finance, told CNN he had been ousted from his position on August 3 when the board voted to name Daniel Lewis as its new CEO instead.",Named Person,Vishal Garg,the founder and former chief of mortgage lender Better Home & Finance,,
2,"This isn't news that you're going to want to hear. If you're on this call, you are part of the unlucky group that is being laid off. Your employment here is terminated effective immediately,' he said in the blunt Zoom call.",Named Person,Vishal Garg,the founder and former chief of mortgage lender Better Home & Finance,,
3,Garg later apologized for failing 'to show the appropriate amount of respect and appreciation for the individuals who were affected.',Named Person,Vishal Garg,the founder and former chief of mortgage lender Better Home & Finance,,
4,But Garg insists he was about to turn the mortgage company around when he was unceremoniously replaced.,Named Person,Vishal Garg,the founder and former chief of mortgage lender Better Home & Finance,,
5,"This year, he said, the company is on pace to deliver $200 million in sales.",Named Person,Vishal Garg,the founder and former chief of mortgage lender Better Home & Finance,,
6,"We're winning,' Garg insisted. 'We've tripled loan volume. We're close to profitability.",Named Person,Vishal Garg,the founder and former chief of mortgage lender Better Home & Finance,,
7,We were at the five-yard line after taking the ball all the way down the field from the other side.',Named Person,Vishal Garg,the founder and former chief of mortgage lender Better Home & Finance,,
8,He then went on to acknowledge that the infamous Zoom layoffs severely damaged the company's reputation.,Named Person,Vishal Garg,the founder and former chief of mortgage lender Better Home & Finance,,
9,But he claimed Lewis convinced the board that he didn't push employees hard enough as he usurped the CEO position.,Named Person,Vishal Garg,the founder and former chief of mortgage lender Better Home & Finance,,
10,"Garg told how Lewis, a hedge fund manager, approached him about six months ago with ideas about how the company could save money and become more profitable.",Named Person,Vishal Garg,the founder and former chief of mortgage lender Better Home & Finance,,
11,"[Lewis'] thoughts about cost-saving were good,' Garg said. 'His ideas about innovation were not.'",Named Person,Vishal Garg,the founder and former chief of mortgage lender Better Home & Finance,,
12,He then bemoaned that the company was close to a turnaround when Lewis came in and claimed he could have done better.,Named Person,Vishal Garg,the founder and former chief of mortgage lender Better Home & Finance,,
13,"It's not about me,' the now-fired CEO claimed. 'I care about delivering savings to people and helping them live the American Dream. So when shareholders said, ""You need to take a back seat,"" I complied.'",Named Person,Vishal Garg,the founder and former chief of mortgage lender Better Home & Finance,,
14,"But Garg said he now feels Lewis 'hoodwinked' him into becoming the company's new CEO, after spending months serving as an advisor to the company and convincing Garg to give him a seat on the board.",Named Person,Vishal Garg,the founder and former chief of mortgage lender Better Home & Finance,,
15,"I suspect he always wanted to become CEO,' Garg said, arguing: 'The board made a mistake.'",Named Person,Vishal Garg,the founder and former chief of mortgage lender Better Home & Finance,,
16,"Still, Garg continues to sit on the board – and has claimed that a number of investors have reached out to him urging him to get his job back.",Named Person,Vishal Garg,the founder and former chief of mortgage lender Better Home & Finance,,
17,"He said he now has enough votes to force a special hearing, and has retained attorney Alex Spiro to represent him in his quest to retake power.",Named Person,Vishal Garg,the founder and former chief of mortgage lender Better Home & Finance,,
18,"Spiro then sent the board a letter last week demanding it reinstate Garg as CEO, saying he will work for just $1 a year until the company is profitable – and he will transition out of the CEO role afterward.",Named Person,Vishal Garg,the founder and former chief of mortgage lender Better Home & Finance,,
19,"Garg also demanded in the letter that all directors other than him, Michael Farello and Hugh Frater resign as he proposed working with a newly-constituted board",Named Person,Vishal Garg,the founder and former chief of mortgage lender Better Home & Finance,,
20,"It's an acknowledgement that I've been doing this for 10 years, but execution hasn't been perfect,' Garg said of his efforts to once again become the chief executive.",Named Person,Vishal Garg,the founder and former chief of mortgage lender Better Home & Finance,,
21,"However, Better Home & Finance has since publicly demanded that Garg abandon the efforts, MPAMAG reports.",Named Organization,MPAMAG,,,
22,"In a statement to the Daily Mail, a representative for Garg said his 'primary focus has always been about making homeownership more accessible to Americans.'",Named Person,Vishal Garg,the founder and former chief of mortgage lender Better Home & Finance,,
23,He then noted that the stock price has plummeted by 45 percent and urged the board to 'select the best long-term CEO for Better so Vishal may move into a role where he can continue driving the American dream for more Americans while having new leadership to lead the company towards its full potential.',Named Person,Vishal Garg,the founder and former chief of mortgage lender Better Home & Finance,,
