No,Sourced Statements,Type of Source,Name of Source,Title of Source,Source Descriptors,Source Justification
1,"Keitt-Barnes said she had to call four separate Ubers until finally securing a ride to the house where she looks after young children. After getting dropped at the Capitol Heights station, she rode the Metro to Stadium Armory, before walking to the house, which is about an 18-minute walk from the Capitol.",Named Person,Tamara Keitt-Barnes,null,"nanny, resident","A nanny for Capitol Hill families, Prince George’s County resident"
2,"“Most of the [Metro] cars were full of protesters draped in Trump flags, American flags, camouflage and cowboy hats,” Keitt-Barnes says. “All looks aside, what I recognized was the energy. It was heavy and it felt uncomfortable. It was the longest two stops.”",Named Person,Tamara Keitt-Barnes,null,null,"A nanny for Capitol Hill families, Prince George’s County resident"
3,"As the violence unfolded in the afternoon, Keitt-Barnes says while the children she cares for were too young to understand, she had to dispel the anxieties of her teenage son at home, assuring him she’d be home as soon as possible.",Named Person,Tamara Keitt-Barnes,null,null,"A nanny for Capitol Hill families, Prince George’s County resident"
4,"“I was worried. I was hot. It felt like I was in an oven. I’m certain it was from my internal panic,” Keitt-Barnes says. “I could hear the sirens for what seemed like hours. I wanted to get back to PG County.”",Named Person,Tamara Keitt-Barnes,null,null,"A nanny for Capitol Hill families, Prince George’s County resident"
5,"Sally, who lives in Rosslyn, Va., says she was working her normal Wednesday shift at the ICU of the Washington Hospital Center when staff were notified of a breach at the Capitol. Sally, who preferred not to give her last name for privacy reasons, says she typically sees two COVID-19 patients a shift. From one patient’s room, she looked out on the trauma ambulance bay.",Anonymous Source,null,null,null,"who lives in Rosslyn, Va.; who preferred not to give her last name for privacy reasons"
6,"“My coworker looked at me and goes, ‘I’ve never seen more than three ambulances in this bay.’ And I think there were about seven or 10 in there,” Sally says.",Anonymous Source,null,null,null,"who lives in Rosslyn, Va.; who preferred not to give her last name for privacy reasons"
7,"Two hours past her normal shift’s end, Sally drove home through alternate routes to avoid the road closures, adding 30 minutes to her commute. Once home, her Australian Shepherd was ready for a walk.",Anonymous Source,null,null,null,"who lives in Rosslyn, Va.; who preferred not to give her last name for privacy reasons"
8,"“I walked out of my courtyard and saw all of these pickup trucks, flags, stickers, all with the president’s name on it. It’s the first time I’ve ever not felt safe in my neighborhood,” Sally says. “Because the second all the consultants leave it’s almost completely quiet, and it’s been quiet since March.”",Anonymous Source,null,null,null,"who lives in Rosslyn, Va.; who preferred not to give her last name for privacy reasons"
9,"“This is probably the most active it’s been since June when the Black Lives Matter protests were happening,” Sally continued. “But I felt safe during the Black Lives Matter protests. I did not feel safe on Wednesday.”",Anonymous Source,null,null,null,"who lives in Rosslyn, Va.; who preferred not to give her last name for privacy reasons"
10,"Jaime Contreras, vice president of 32BJ SEIU, a frontline property service workers union that represents mostly Black and Brown workers, held Republicans responsible and is calling for President Trump’s removal.",Named Person,Jaime Contreras,vice president of 32BJ SEIU,null,a frontline property service workers union that represents mostly Black and Brown workers
11,"“[Wednesday’s] horrific events were traumatizing for so many of these essential workers who saw an angry violent mob met with passive policing and deference from those charged with the safety of our nation’s capital,” Contreras said in a statement. “The treatment of these domestic terrorists is a smack in the face for all of us who watched and joined peaceful Black Lives Matter marches just this summer in D.C., only to be confronted by police in riot gear with tanks, tear gas, and rubber bullets. Yesterday highlighted for many of us the stark difference of how we are treated based on nothing more than the color of our skin.”",Named Person,Jaime Contreras,vice president of 32BJ SEIU,null,a frontline property service workers union that represents mostly Black and Brown workers
12,"One Washington Post reporter shared a firsthand account of Capitol food staff handing out boxed lunches of chicken and beef in the middle of the insurrection, while Congress members sheltered within the depths of the building.",Named Organization,Washington Post,null,null,null
13,"Workers unions called for downtown hospitality workers to be evacuated, as at least one nearby bar was “overrun” with maskless Trump supporters.",Unnamed Group of People,null,null,Workers unions,null
14,"Crews erected a 7-foot fence around the Capitol grounds, with Army Secretary Ryan McCarthy announcing it wouldn’t come down for at least a month.",Named Person,Ryan McCarthy,Army Secretary,null,null
15,"For Keitt-Barnes, the nanny from Prince George’s County, it was a long day — even though the family she was working for sent her home about an hour early, around 4:15. When she checked the fares on her rideshare apps, the normally $20 ride out to Maryland was almost $50. The family attempted to call a car, but ran into the same problem she experienced earlier that morning.",Named Person,Tamara Keitt-Barnes,null,nanny,the nanny from Prince George’s County
16,"On the way out, she says, nothing felt normal: “The only thing that I saw that was usual was the bus that comes by every 20 minutes or so.”",Named Person,Tamara Keitt-Barnes,null,null,"A nanny for Capitol Hill families, Prince George’s County resident"
