No,Sourced Statements,Type of Source,Name of Source,Title of Source,Source Descriptors,Source Justification
1,"Mainstream politicians around Europe have expressed alarm after the far-right Alternative für Deutschland (AfD) swept to a historic state election victory in Germany, while nationalist figures cheered the result as a mandate for change.",Unnamed Group of People,,politicians,,
2,"Mainstream politicians around Europe have expressed alarm after the far-right Alternative für Deutschland (AfD) swept to a historic state election victory in Germany, while nationalist figures cheered the result as a mandate for change.",Unnamed Group of People,,,figures,nationalist figures
3,"While falling just short of an absolute majority, the AfD surged into first place in the Saxony-Anhalt state election on Sunday, exit polls showed, putting the far right within reach of power at the state level for the first time since the second world war.",Document,,,polls,exit polls
4,"Spain’s socialist prime minister, Pedro Sánchez, told a party gathering in Madrid on Monday that the result showed that “the extremist threat, largely thanks to the surrender of the traditional right, is gaining ground in Europe and in the world”.",Named Person,Pedro Sánchez,Spain's prime minister,socialist ,
5,"France’s finance minister, Roland Lescure, said it “clearly sends out a very, very worrying signal … This shows that we face a major challenge in the face of a populist wave which is spreading around the world today and which we must resist.”",Named Person,Roland Lescure,France’s finance minister,,
6,"Lescure’s comments echoed similar remarks on Sunday evening by France’s European affairs minister, Benjamin Haddad, who posted on social media: “To see the far right prevail in the German regional election marks a very grave moment for Europe.”",Named Person,Benjamin Haddad,France’s European affairs minister,,
7,"Haddad added: “We must listen with humility to the anger, fears and worries and duly respond to these concerns. But nationalism and xenophobia will never be the answer. We cannot forget our history.”",Named Person,Benjamin Haddad,France’s European affairs minister,,
8,"Poland’s foreign minister, Radosław Sikorski, said on Monday the AfD’s win was “a very worrying sign”. ",Named Person,Radosław Sikorski,‌Poland’s foreign minister,,
9,"Poland’s prime minister, Donald Tusk, said on Sunday night in Poland: “Only idiots or traitors can rejoice at the triumph of the AfD in Germany.”",Named Person,Donald Tusk,Poland’s prime minister,,
10,"Italy’s foreign minister, Antonio Tajani, described the election result as “terrible news … because it concerns a political force that is antithetical to liberal and western values”.",Named Person,Antonio Tajani,Italy’s foreign minister,,
11,"Elon Musk congratulated the far-right party on its election victory with a “Well done!” on his social media platform X, prompting Ulrich Siegmund, the AfD’s lead candidate in Saxony-Anhalt, to thank the nativist US tech billionaire for his support.",Named Person,Elon Musk,,billionaire,nativist US tech billionaire
12,"Elon Musk congratulated the far-right party on its election victory with a “Well done!” on his social media platform X, prompting Ulrich Siegmund, the AfD’s lead candidate in Saxony-Anhalt, to thank the nativist US tech billionaire for his support.",Named Person,Ulrich Siegmund,,candidate,AfD’s lead candidate in Saxony-Anhalt
13,"“If we take on responsibility here, I would very much welcome the opportunity for strong and constructive cooperation,” Siegmund wrote. “Germany would then once again be a place worth investing in. Best regards from Saxony-Anhalt!”",Named Person,Ulrich Siegmund,,candidate,AfD’s lead candidate in Saxony-Anhalt
14,"Kirill Dmitriev, Russia’s presidential envoy, took a screen grab of Trump’s post and praised a “historic win for the pragmatic AfD”. ",Named Person,Kirill Dmitriev,Russia’s presidential envoy,,
15,"The AfD is pro-Kremlin, has called for an end to aid for Ukraine and to refugee status for Ukrainians.",Named Organization,Alternative für Deutschland (AfD),,,has called for an end to aid for Ukraine and to refugee status for Ukrainians
16,"The former Hungarian prime minister Viktor Orbán, who was heavily defeated in elections earlier this year, celebrated AfD’s win, describing it as “a huge night for Germany and Europe” and adding: “Buckle up. This is just the beginning!”",Named Person,Viktor Orbán,former Hungarian prime minister,,who was heavily defeated in elections earlier this year
17,"Santiago Abascal, of the Spanish Vox party, called it a “spectacular result that represents great hope for Germany and Europe”, while André Ventura, of the Chega party in Portugal, praised a “historic victory”.",Named Person,Santiago Abascal,,,Far-right leaders in Spain and Portugal also hailed the AfD’s win; of the Spanish Vox party
18,"André Ventura, of the Chega party in Portugal, praised a “historic victory”.",Named Person,André Ventura,,,Far-right leaders in Spain and Portugal also hailed the AfD’s win; of the Chega party in Portugal
19,"Italy’s far-right deputy prime minister, Matteo Salvini, also congratulated the AfD’s co-leader Alice Weidel on X, describing the party’s victory as a “resounding success that highlights the strong demand for change, security, and jobs”.",Named Person,Matteo Salvini,Italy’s far-right deputy prime minister,,
20,"Salvini, who serves in Giorgia Meloni’s radical rightwing coalition alongside Tajani, taunted “those on the left who stoked fears and catastrophic scenarios”, adding: “Fear? Terror? Danger? No, it’s called DEMOCRACY. Another Europe is possible.”",Named Person,Matteo Salvini,Italy’s far-right deputy prime minister,,who serves in Giorgia Meloni’s radical rightwing coalition alongside Tajani
21,"The leader of the far-right Dutch Freedom party (PVV), Geert Wilders, posted his congratulations, while in the UK, the leader of Restore Britain, Rupert Lowe, said the AfD’s victory was “an inspiration” for what his nativist party could achieve.",Named Person,Geert Wilders,leader of the far-right Dutch Freedom party (PVV),,
22,"The leader of the far-right Dutch Freedom party (PVV), Geert Wilders, posted his congratulations, while in the UK, the leader of Restore Britain, Rupert Lowe, said the AfD’s victory was “an inspiration” for what his nativist party could achieve.",Named Person,Rupert Lowe, leader of Restore Britain,,
23,"Not all of Europe’s far-right parties were pleased. France’s National Rally (RN), which two years ago expelled the AfD from its European parliamentary group, has made clear that it finds the German party’s rhetoric and policies too extreme.",Named Organization,National Rally (RN),,,which two years ago expelled the AfD from its European parliamentary group
24,"The two parties’ rift followed comments by a leading AfD figure, Maximilian Krah, downplaying the crimes of the Nazi SS by suggesting they were “not all criminals” – and revelations that the AfD backed mass deportations of immigrants.",Named Person,Maximilian Krah,,figure,leading AfD figure
25,"The RN’s president, Jordan Bardella, confirmed on Saturday that his party, whose figurehead, Marine Le Pen, is comfortably ahead in the polls in the run-up to next year’s French presidential elections, had no plans to resume an alliance with the AfD.",Named Person,Jordan Bardella,RN’s president,,
26,"While keeping his distance from the party, however, Bardella noted that “electoral pressure exerted by the AfD in Germany” was contributing to policy shifts within the German government, pointing to Berlin’s re-establishment of border controls.",Named Person,Jordan Bardella,RN’s president,,
27,"AfD won 43.8% of the vote, more than double its showing five years ago in the region of 2.1 million people west of Berlin. That was far ahead of Friedrich Merz’s Christian Democratic Union, which polled 17.2% – losing about half its support.",Document,,,results,
28,"The centre-left Social Democrats scored 9.3%, the Greens 8.9% and the Left party 8.6%, winning eight seats apiece. However, the AfD fell three seats short of an absolute majority, with 39 lawmakers in an 83-member state parliament.
",Document,,,results,
