No,Sourced Statements,Type of Source,Name of Source,Title of Source,Source Descriptors,Source Justification
1,"AfD’s candidate for governor, Ulrich Siegmund, said “we have written history” and the party had a clear mandate to govern.",Named Person,Ulrich Siegmund,,candidate, AfD’s candidate for governor
2,"AfD’s candidate for governor, Ulrich Siegmund, said “we have written history” and the party had a clear mandate to govern. He told public broadcaster ARD that voters had sent a signal that “things cannot carry on like this”. “A very good campaigner for us in this election campaign was Friedrich Merz,” Siegmund said.",Named Person,Ulrich Siegmund,,candidate, AfD’s candidate for governor
3,AfD in Saxony-Anhalt has been classed as “rightwing extremist” by Germany’s domestic intelligence agency.,Named Organization,Germany's domestic intelligence agency,,,
4,"Final results showed AfD falling three seats short, with 39 lawmakers in an 83-member parliament. ",Document,,,results,Final results
5,"Siegmund, 35, said it would not engage in “games” such as a minority government.",Named Person,Ulrich Siegmund,,candidate, AfD’s candidate for governor
6,"AfD won 43.8% of the vote, more than double its showing five years ago in the region of 2.1 million people west of Berlin.",Document,,,vote,
7,"That was far ahead of Merz’s CDU , which polled 17.2% – losing about half its support – and won 15 seats. The centre-left Social Democrats polled 9.3%, the Greens 8.9% and the Left party 8.6%, winning eight seats apiece.
",Document,,,vote,
8,"The BSW party, which has said it would not elect either Siegmund or incumbent Sven Schulze as governor but criticises the “firewall” against AfD, took 5.3% and five seats.",Named Organization,BSW Party,,,
9,"Addressing jubilant supporters after exit polls had been published, Siegmund said his party was ready to reach out to all powers that strove for political change.",Named Person,Ulrich Siegmund,,candidate, AfD’s candidate for governor
10,"“We extend a hand to all democratic forces that wish to pursue better policies,” he said, adding that themes such as migration and domestic security were not up for debate.",Named Person,Ulrich Siegmund,,candidate, AfD’s candidate for governor
11,"The CDU described its result as “bitter” but said it would not back down from its refusal to rule together with AfD, which the far-right party has also ruled out.",Named Organization,Christian Democratic Union (CDU),,,
12,"Franziska Hoppermann, general secretary of the CDU, called it a “defeat overall” for the Christian Democrats.",Named Person,Franziska Hoppermann,general secretary of the CDU,,
13,"“And it is also a defeat for all those who have borne responsibility in the democracy in Saxony-Anhalt over the past 35 years,” she added, in reference to the difficult post-communist era.",Named Person,Franziska Hoppermann,general secretary of the CDU,,
14,"She ruled out any discussion over Merz’s future, which analysts have suggested will increasingly become a topic of debate after his party’s defeat.",Named Person,Franziska Hoppermann,general secretary of the CDU,,
15,"She ruled out any discussion over Merz’s future, which analysts have suggested will increasingly become a topic of debate after his party’s defeat.",Unnamed Group of People,,analysts,,
16,"In one recent poll, only 9% of voters in Saxony-Anhalt said they were satisfied with Merz’s politics.",Document,,,poll,In one recent poll
17,"Alice Weidel, AfD’s co-leader, said the result gave her party a “clear government mandate” and that it would “talk to all the parties” to work out a strategy as to how AfD could rule.",Named Person,Alice Weidel, AfD’s co-leader,,
18,"Final polls had shown AfD to have about 40-41% of support, and the party appears to have almost doubled its 2021 result of 23.7%.",Document,,,polls,Final polls
19,"The number of undecided voters in advance of the vote was much lower than at previous elections, polling showed.",Document,,,polling,
20,"Merz has thus far failed in his promises to reset Germany’s struggling economy or stop the rise of the AfD, which has been making regular and steady gains since it entered parliament in 2017 and is now the Bundestag’s leading opposition party.",Named Person, Friedrich Merz,chancellor,,unpopular chancellor Friedrich Merz
21,"In national polls, the CDU has also been overtaken by the AfD, which has its eyes on victory at the next federal elections in 2029 or 2033.
",Document,,,polls,national polls
22,"If the AfD manages to form a government in Saxony-Anhalt, Siegmund has promised to immediately start a remigration and deportation offensive, ban rainbow flags in schools and halt the building of new windfarms.",Named Person,Ulrich Siegmund,,candidate, AfD’s candidate for governor
23,"He wants to change the slogan of the state from “Think Modern” to “Think German”, and to reintroduce the singing of the German national anthem in schools.",Named Person,Ulrich Siegmund,,candidate, AfD’s candidate for governor
24,"Siegmund also sought in the campaign to capitalise on a mood of “ostalgie”, or nostalgia for communist East Germany, and to tap into discontent among east Germans. He has made repeated references to a rise in foreigner-related crime, even as the crime rate has fallen dramatically.",Named Person,Ulrich Siegmund,,candidate, AfD’s candidate for governor
25,"AfD is pro-Kremlin, urging a stop to support for Ukraine and pushing for Ukrainians to no longer receive refugee status.",Named Organization,Alternative für Deutschland (AfD),,,
26,"In a statement in front of the polling station, he voiced his optimism that the party would achieve “45%, and some”, and saying he wanted to “build bridges”.",Named Person,Ulrich Siegmund,,candidate, AfD’s candidate for governor
27,"On Saturday evening, a message beamed on to the facade of Magdeburg Cathedral read: “We do not abandon what we love. True love of the homeland is not the AfD.”",Document,,,message,
28,"The bishop of Magdeburg, Gerhard Feige, in an address to a gathering of churchgoers, warned against forces “that want to sow discord, stoke mistrust and fear”. He drew parallels with history, warning that a democracy has the potential to abolish itself. “Not everyone who votes or is elected democratically is a democrat,” he said.",Named Person,Gerhard Feige,Bishop of Magdeburg,,
29,"The German Economic Institute has warned of the far-reaching consequences for the German economy, in Saxony-Anhalt and beyond. It said the AfD’s immigration policy would be “calamitous” for the state, which has an ageing, dwindling population and is heavily dependent on foreign workers.",Named Organization,German Economic Institute,,,
30,"Critics have also warned that an AfD-run state, due to the Kremlin-friendly stance of the party, could leak sensitive information to Russia.",Unnamed Group of People,,,Critics,
31,"The AfD has dismissed such claims. It has said it would seek to reform the domestic intelligence service, calling it biased.",Named Organization,Alternative für Deutschland (AfD),,,
