No,Sourced Statements,Type of Source,Name of Source,Title of Source,Source Descriptors,Source Justification
1,"Anthropic said Thursday it blocked scientists who used its Claude AI models ""in ways that could support biological weapons development.""",Named Organization,Anthropic,,company,
2," The cases, occurring between December 2025 and August 2026, are examples of ""the most notable and novel threat activity"" identified by Anthropic so far, the company said. ",Named Organization,Anthropic,,company,
3,"Anthropic shared five cases involving activity that had the potential to support the development of biological weapons. It called biological misuse ""one of the most serious risks of frontier AI models."" ",Named Organization,Anthropic,,company,
4,"The company said the cases identified ""provide evidence of capability"" of the AI models, but ""cannot concretely demonstrate that such capability would ever be used to develop biological weapons in the real world.""",Named Organization,Anthropic,,company,
5,"The people involved in these cases are working scientists, whom Anthropic chose not to identify. The company said it can't ""assert that they intended harm."" 
",Named Organization,Anthropic,,company,
6,"""When we detected and investigated these cases, we banned the users' accounts and incorporated our investigative findings into our frontier model safeguards, enforcement, and threat intelligence processes to better prevent, detect, and disrupt these activities in the future,"" the report said. ",Document,,,report,
7,"Recent, more advanced models like Claude Fable 5 contain stronger safeguards than earlier models and restrict access to ""a wide range of dual-use biological research queries,"" the report said, noting that the biological capabilities of AI can be used both for beneficial and harmful purposes. ",Document,,,report,
8,"""The same information that can be used to develop a biological weapon could also be used to develop, for example, a vaccine or a cure for a disease,"" the company said.",Named Organization,Anthropic,,company,
9,"Anthropic also said that it identified and removed accounts using Claude for influence operations campaigns to shape public opinion, including three Iranian state-aligned accounts. ",Named Organization,Anthropic,,company,
10,"In these cases, each operation was run by an actor working within or on behalf of an Iranian state propaganda institution, the company said. Claude was used to build content, make posts seem like they were from independent news sources and to proliferate content across social media platforms like X, Instagram and TikTok.",Named Organization,Anthropic,,company,
11,"One Iran-nexus threat actor used Claude to develop targeting recommendations against U.S. naval forces in the region, Anthropic said. The same account designed software for a domestic mass-surveillance platform for Iranian state systems.",Named Organization,Anthropic,,company,
12,"Claude was also used to build and run surveillance operations by actors in China and West Africa, and in some cases, to identify targets. Anthropic said it identified cases where AI was being used in place of an engineering workforce.
",Named Organization,Anthropic,,company,
