No,Sourced Statements,Type of Source,Name of Source,Title of Source,Source Descriptors,Source Justification
1,"One night in early July, Jeremiah was riding BART home to West Oakland. It was the last train of the night toward San Francisco, and he had his bicycle, so he chose the last car. A group of people boarded the train at MacArthur Station in Oakland.",Named Person,Jeremiah,,,
2,"“They all sit in the back and they smoke, especially when they’re going to the city,” Jeremiah explains.",Named Person,Jeremiah,,,
3,"A woman in the group started smoking and immediately lost consciousness. Jeremiah leapt into action. Wherever he goes, Jeremiah carries Narcan—that’s a brand name for the opioid overdose revival drug naloxone. He shoved it up her nose and sprayed. Narcan binds to opioid receptors in the brain and causes withdrawal, reversing the effects of opioids for a person experiencing an overdose.",Named Person,Jeremiah,,,
4,"After Jeremiah administered the first dose of Narcan, he started jostling the stranger to wake her up. Somewhere between the 19th Street and 12th Street BART stations in Oakland, the woman regained consciousness. He gave her a second dose, and then Jeremiah had to go.",Named Person,Jeremiah,,,
5,"Best practices suggest continuing to observe a person for an hour after reviving them, because they could require additional doses of Narcan. But he had to get off of the train at West Oakland, since there would be no easy way to get back from San Francisco after BART closed with its limited pandemic hours.",Named Person,Jeremiah,,,
6,"According to data Street Spirit obtained in a public records request, BART police report administering Narcan 79 times on station platforms and trains since the agency began keeping records in August 2019.",Named Organization,BART,,,
7,"BART ridership plummeted during the pandemic, as housed residents who were able to shelter and work at home avoided public transit. But during California’s coronavirus surge in the winter of 2020, BART recorded two of its worst months for overdoses, administering Narcan to 15 people from December 2020 through January 2021.",Named Organization,BART,,,
8,"This wasn’t the first time Jeremiah administered Narcan and reversed an overdose: He says in the past, he revived his neighbor, a stranger in El Cerrito, and two people in Downtown Oakland.",Named Person,Jeremiah,,,
9,"Alameda County submits data to the California Department of Public Health about fatal opioid overdoses and emergency department visits, with detailed information about which drugs were involved. But the county does not tally the housing status of those who die from overdose. Multiple coroner’s bureau staff confirmed to Street Spirit that their records do not consistently note whether someone was unhoused when they died.",Named Organization,Alameda County,,,
10,"Their records mark some unhoused people, but not all, as “transient”—an outdated and imprecise label, advocates say.",Unnamed Group of People,,,advocates,
11,"“Homeless mortality reporting has never been something that has been carried out in our county on a county-wide basis,” confirms David Modersbach, from Alameda County Healthcare for the Homeless.",Named Person,David Modersbach,,,from Alameda County Healthcare for the Homeless
12,"“That story of their housing status really tells us a good bit about the experience around their death,” Modersbach explains. With stronger epidemiological data about unhoused people’s deaths, he says, “you can find out who died. You can actually track what was going on with that person, and what kind of care were they getting—or not? Throughout the system, who was touching those people, what were the incidents that led to their deaths, and how could that have been improved, and how could that death have been prevented?”",Named Person,David Modersbach,,,from Alameda County Healthcare for the Homeless
13,"Modersbach works to understand this picture by cobbling together whatever mortality information he can find. He combs names from end-of-year memorials for unhoused people held by advocates and service providers, such as the annual homeless memorial at Oakland’s St. Mary’s Center. He examines death forms submitted by skilled nursing facilities and pores over coroner’s records. He developed an online form that allows community members to submit the names of unhoused friends and family who have died, and does outreach to solicit submissions. Modersbach compares each of these records with data about people who have accessed county services.",Named Person,David Modersbach,,,from Alameda County Healthcare for the Homeless
14,"He and four colleagues are currently assembling a three-year report from 2018 to 2020, examining the records of all approximately 32,000 people who died in Alameda County during that time, and attempting to triangulate whether each person who died was homeless: an enormous task. He calls it a “labor of love”— the county has not assigned any single staff person to head this project, and it’s work Modersbach and his colleagues do on top of their other responsibilities.",Named Person,David Modersbach,,,from Alameda County Healthcare for the Homeless
15,"Once this record compilation is complete, Modersbach hopes to assemble a community task force to decide what information should be gleaned from the data, and to produce yearly reports moving forward.",Named Person,David Modersbach,,,from Alameda County Healthcare for the Homeless
16,"“It’s so critical to have that information,” says Modersbach. “We feel like it’s absolutely required, but it’s understaffed.”",Named Person,David Modersbach,,,from Alameda County Healthcare for the Homeless
17,County employees told me that this process could be much simpler if the state required housing status to be reported with death records—and if the county devoted more resources and staff time to the project.,Unnamed Group of People,,County employees,,
18,"Modersbach and his colleagues have not yet concluded their preliminary analysis, but his first glimpse at the data they have collected made it clear that the role of overdose in homeless deaths is “huge.”",Named Person,David Modersbach,,,from Alameda County Healthcare for the Homeless
19,"To assess the full scale of the opioid crisis, advocates say, we must also look at how many overdoses are being reversed on the street.",Unnamed Group of People,,,advocates,
20,"On average, emergency medical services respond to about four overdoses in the county per day. Alameda County’s public health department sent Street Spirit data on emergency calls for opioid overdose from July 2019 through April 2021. Oakland accounts for more overdose emergency calls than any other city, roughly half of the county’s total. But emergency responders are only dispatched when a community member reverses an overdose if the person chooses to call 911.",Named Organization,Alameda County Public Health Department,,,
21,"In the first story in this series, we spoke with Thad, a 36-year-old resident of North Oakland. Thad has survived three overdoses since the pandemic began, all after smoking fentanyl.",Named Person,Thad,,,
22,"Since his first overdose in 2020, Thad estimates he’s been present for at least 10 overdoses where he administered Narcan, or helped. It’s fairly common to witness overdoses when you’re around drugs, he says.",Named Person,Thad,,,
23,"“Before that, I hadn’t administered Narcan, but I’d had to breathe for someone for a long time and give them mouth-to-mouth,” he remembers. “And luckily— thank god—I’ve not lost anybody. Because I’m just determined to breathe for them, if I have to breathe forever.”",Named Person,Thad,,,
24,"Thad knows fentanyl is potent and feels a strong responsibility to the people who use drugs around him. He carries Narcan in a red zipper pouch that always hangs around his neck, under his shirt. And he avoids smoking fentanyl with first-time users, because of the high overdose risk to them, he says.",Named Person,Thad,,,
25,Alameda County urges anyone who witnesses an overdose to call 911.,Named Organization,Alameda County,,,
26,"But people using drugs told Street Spirit that they may only call 911 for assistance during an overdose if they don’t have enough Narcan on hand, or if someone is very ill.",Unnamed Group of People,,,people using drugs,
27,"“The community has become so intimately acquainted with reviving others themselves, and that is such a regular occurrence, that I don’t think people bother with 911 a lot,” explains Katie O’Bryant, of the harm reduction group West Oakland Punks With Lunch. O’Bryant was houseless for over 10 years and describes herself as a longtime drug user. She also notes that community members do not trust law enforcement, which sometimes responds to 911 calls.",Named Person,Katie O’Bryant,Outreach coordinator,outreach worker,O’Bryant was houseless for over 10 years and describes herself as a longtime drug user
28,many people who use drugs say police represent the opposite.,Unnamed Group of People,,,people who use drugs,
29,"If bystanders encounter someone who might be overdosing, advocates recommend not mentioning “drugs” or “overdose” on the phone when calling 911, to avoid drawing police to the scene.",Unnamed Group of People,,,advocates,
30,"Alameda County Healthcare for the Homeless senior pharmacist Seth Gomez agrees. “Experiencing overdose, that in itself is very traumatic for somebody,” Gomez says. “Anything we can do to limit that further I think is a good decision. And I think that limiting law enforcement [at] a scene is probably one of the better things that we can do when responding.”",Named Person,Seth Gomez,Alameda County Healthcare for the Homeless senior pharmacist,,
31,"The National Harm Reduction Coalition says there is a risk that police who respond to overdose in some jurisdictions may arrest bystanders, or charge people at the scene of an overdose with drug possession or manslaughter.",Named Organization,National Harm Reduction Coalition,,,
32,Two people who deal with addiction and spoke with Street Spirit said they have lost trust in emergency medical service personnel.,Unnamed Group of People,,,people who deal with addiction,
33,This toxic online culture reflects an attitude of burnout and disrespect that unhoused people say can translate in person.,Unnamed Group of People,,,unhoused people,
34,"“I don’t really forgive it, the way that they handle it,” says Thad, who says he has witnessed dismissive behavior by emergency medical responders toward people who use drugs in Oakland.",Named Person,Thad,,,
35,"One time, Thad says, responders lectured someone after responding to a 911 call for an overdose, because they had been called multiple times in the past to assist the same person. EMS workers have a name for people who have emergency services called on them often—a “frequent flyer.” And these individuals can be subject to harsh treatment.",Named Person,Thad,,,
36,"“The police, I kind of expected it from, because of the way that they’re trained and their history. But to see it with paramedics was kind of shocking,” Thad says — “to see someone just seemingly not really care, or just how rough they handle someone who’s in such a fragile state of existence.”",Named Person,Thad,,,
37,"Street Spirit reached out to Alameda County Emergency Medical Services for comment. The county said they are not able to speak to the behavior of individual providers, but encouraged the public to submit complaints if they encounter issues when calling 911.",Named Organization,Alameda County Emergency Medical Services,,,
38,County spokesperson Neetu Balram also said the county is currently in the process of updating its EMS protocols to include linking more people with opioid use treatment services and offering supplemental training for providers on empathetic care.,Named Person,Neetu Balram,County spokesperson,,
39,"“We urge everyone experiencing an overdose or friends and family of those experiencing one to call 911,” Balram said.",Named Person,Neetu Balram,County spokesperson,,
40,"Thad, like many unhoused people who use drugs, obtains Narcan from outreach workers with local harm reduction organizations like West Oakland Punks With Lunch.",Named Person,Thad,,,
41,"“Good morning folks—needle exchange! Pipes, hygiene, food. We’ve got hot burritos!”",Named Person,Katie O’Bryant,Outreach coordinator,outreach worker,O’Bryant was houseless for over 10 years and describes herself as a longtime drug user
42,"Punks With Lunch is a spunky volunteer organization founded in 2015 to distribute life-preserving supplies to people who use drugs in West Oakland. The group’s founder, Ale Del Pinal, told Street Spirit that they have handed out some-8,000 doses of Narcan.",Named Person,Ale Del Pinal,founder of Punks With Lunch,,
43,"Every time they give out Narcan, the Punks ask participants if they’ve had to reverse an overdose in the last week. Outreach coordinator Katie O’Bryant says they always hear at least three yeses.",Named Person,Katie O’Bryant,Outreach coordinator,outreach worker,O’Bryant was houseless for over 10 years and describes herself as a longtime drug user
44,"During the pandemic, verbal reports of overdose reversals have also increased. “It’s been pretty drastic,” confirms Ale Del Pinal. “As a really small organization, we saw 670 overdose reversals [in 2020], compared to the 400-and-something from the year before.”",Named Person,Ale Del Pinal,founder of Punks With Lunch,,
45,"The morning of the overdose, Ana spent time with Eric Cumby. They chatted in the park, and he left to run an errand. A couple hours later, she saw police turning his body over. Then, Ana heard a voice call out in the park that another body was found: Barry Biddulph.",Named Person,Ana,,,an unhoused mother from Mexico who has lived near the park for years
46,"Biddulph was a friend to Ana. On Facebook, there’s a photo of Biddulph smiling and holding his fist against a Charlie Brown statue, like he’s giving the statue a knuckle sandwich.",Named Person,Ana,,,an unhoused mother from Mexico who has lived near the park for years
47,"A few hours after residents watched police remove their bodies, Ana had to go to her job at a department store.",Named Person,Ana,,,an unhoused mother from Mexico who has lived near the park for years
