No,Sourced Statements,Type of Source,Name of Source,Title of Source,Source Descriptors,Source Justification
1,"It sounds like science fiction, but here are the words of a serious space player dealing in science fact: ""The Moon economy will develop,"" Josef Aschbacher, Director General of the European Space Agency (ESA), tells me.",Named Person,Josef Aschbacher,Director General of European Space Agency (ESA),,
2,"""It will take time to set up the various elements, but it will develop.""",Named Person,Josef Aschbacher,Director General of European Space Agency (ESA),,
3,"But as the commander of Apollo 13 famously said when his spacecraft malfunctioned on the way to the Moon: ""Houston, we've had a problem...""",Unnamed Person,,commander of Apollo 13,,
4,"Nasa's own Office of Inspector General laid out the picture starkly in a report published on 10 March. SpaceX's lunar Starship is at least two years behind its original delivery date, with further delays expected. Blue Origin's Blue Moon is at least eight months late, with nearly half the issues flagged at a 2024 design review still unresolved more than a year later.",Named Organization,NASA Office of Inspector General,,,
5,"""From a physics point of view it makes sense,"" says Dr Simeon Barber, a space scientist from the Open University. But he points out that the launch of Artemis II was delayed twice this year, before it eventually took off because of fuelling issues.",Named Person,Dr. Simeon Barber,Space Scientist from Open Univeristy,,
6,"""If it's difficult to do in the launch pad, it's going to be much more difficult to do in orbit,"" he says.",Named Person,Dr. Simeon Barber,Space Scientist from Open Univeristy,,
7,"Given that Starship has not yet completed a successful orbital flight and Blue Origin's New Glenn rocket has managed just two launches, this target looks, as Barber puts it, ""a very steep ask""",Named Person,Dr. Simeon Barber,Space Scientist from Open Univeristy,,
8,Musk has spoken of getting humans to the Red Planet before the end of this decade.,Named Person,Elon Musk,,,
9,"ESA astronaut Alexander Gerst once told Aschbacher, after returning from the International Space Station, that the view from space changes everything.",Named Person,Alexander Gerst,Astronaut,,
10,"Gerst told the ESA boss that he wishes all eight billion people on Earth could go to space just once and see what he saw - a small, fragile, beautiful planet, cared for not nearly well enough by the species lucky enough to live on it.",Named Person,Alexander Gerst,Astronaut,,
11,"""That,"" says Aschbacher, ""would create a very different life on planet Earth.""",Named Person,Alexander Gerst,Astronaut,,
