No,Sourced Statements,Type of Source,Name of Source,Title of Source,Source Descriptors,Source Justification
1,"“I was like, OK, I just need to make my own luck in this situation,” Ms. Francis said in an interview.",Named Person,Cedoni Francis,Content Creator,,"has been a die-hard fan of Mr. Bieber...Now a full-time content creator with over 250,000 followers on TikTok, Ms. Francis said she had previously received invitations to attend the music festival, held each spring in the Southern California desert, from brands a few months before the event."
2,"Attending Coachella with a brand can have a “credentialing” effect, Ms. Francis said. Working with a company like Pinterest might lead to future paid opportunities.",Named Person,Cedoni Francis,Content Creator,,"has been a die-hard fan of Mr. Bieber...Now a full-time content creator with over 250,000 followers on TikTok, Ms. Francis said she had previously received invitations to attend the music festival, held each spring in the Southern California desert, from brands a few months before the event."
3,"Shannae Ingleton Smith, chief executive of the influencer management firm Kensington Grey, said Coachella was all about “visibility.”",Named Person,Shannae Ingleton Smith,chief executive of the influencer management firm Kensington Grey,,
4,"“Literally, if you’re not at Coachella, the rest of the world is watching,” Ms. Ingleton Smith said. “So you’re either there or you’re watching. A lot of creators end up being discovered that way.” It’s a “rite of passage,” she said — an “I made it” moment.",Named Person,Shannae Ingleton Smith,chief executive of the influencer management firm Kensington Grey,,
5,"Partnerships can vary widely, Ms. Ingleton Smith explained. Some creators will be offered festival tickets but be expected to pay their own way, while others will be treated to entirely free trips. Select creators will even be paid to attend, sometimes commanding six-figure appearance fees, she added.",Named Person,Shannae Ingleton Smith,chief executive of the influencer management firm Kensington Grey,,
6,"Jasmine Gonzales, 26, a content creator who lives in Ontario, Calif., said she “never imagined” that she would be offered “the princess treatment,” her term for an all-expenses-paid invitation. This year, Ms. Gonzales is attending Coachella with the cleaning product company Method, which “rented out a mansion” for attendees to stay in, she said.",Named Person,Jasmine Gonzales,Content Creator,,"This year, Ms. Gonzales is attending Coachella with the cleaning product company Method, which “rented out a mansion” for attendees to stay in, she said."
7,"“It’s one of those bucket-list, big manifestation moments,” she said, adding that as a plus-size Latina creator, she found it especially meaningful to be recognized amid what can often feel like a sea of “perfect influencers.”",Named Person,Jasmine Gonzales,Content Creator,,"This year, Ms. Gonzales is attending Coachella with the cleaning product company Method, which “rented out a mansion” for attendees to stay in, she said."
8,"“If I was going to Coachella this year, this is exactly the makeup routine I would use,” Ms. Yolas says in the video, demonstrating various products. “Manifesting a brand coachella trip into existence,” she wrote in the caption.",Named Person,Jasmine Yolas,Beauty Conent Creator,,
9,"No such trip appeared, but Ms. Yolas remains hopeful that one day she will get one of those coveted emails. She added that she felt Coachella had become “really competitive” for creators hoping to snag invitations and brand work.",Named Person,Jasmine Yolas,Beauty Conent Creator,,
10,"Ms. Francis said her manager had told her that brands had become “stingy this year,” appearing to invite fewer creators and leaning more on those with giant followings.",Named Person,Cedoni Francis,Content Creator,,"has been a die-hard fan of Mr. Bieber...Now a full-time content creator with over 250,000 followers on TikTok, Ms. Francis said she had previously received invitations to attend the music festival, held each spring in the Southern California desert, from brands a few months before the event."
11,"Ms. Ingleton Smith, the influencer management executive, chalked it up to “Coachella fatigue.”“Brands have picked up on how thirsty creators are to go to Coachella: They’re realizing they don’t have to pay them,” she said. “That has made some of the paid partnerships fewer and farther between.”",Named Person,Shannae Ingleton Smith,chief executive of the influencer management firm Kensington Grey,,
12,"Some creators see the festival as an investment, Ms. Ingleton Smith said, and will pay for trips to California in the hopes it will help them secure work once there.",Named Person,Shannae Ingleton Smith,chief executive of the influencer management firm Kensington Grey,,
13,"“I don’t want it to look like to you guys that I just like, ‘Oh, I’m showing up and everything’s perfect,’” she said in the video.",Named Person,Katie Begley,content creator,,"a content creator better known as Popstar Katie, posted a TikTok in which she laid out her plans for such a trip. She bought her flights, a brand provided her festival tickets and she worked with her management team to secure paid brand deals. As of just a few days before the festival began, she was still looking for a place to stay."
14,"It’s a coveted ticket, Ms. O’Brien said in an interview last week. She was “over the moon,” until she realized the invitation was addressed to a different influencer with a larger following. When Ms. O’Brien responded to the email noting the mistake, she was told to disregard the invitation.",Named Person,Cathie O’Brien,Human resources professional and an upstart content creator,,"Ms. O’Brien, 27, has only about 25,000 followers on TikTok, so she was surprised earlier this spring when she received an invitation to attend Camp Poosh, a wellness retreat hosted by Kourtney Kardashian Barker during Coachella."
15,"While she has received comments from people accusing her of attention seeking and being offered a sympathy invite, Ms. O’Brien said she was ignoring the criticism and choosing to make the most of the moment. She and a friend ended up traveling to Indio solely for the event; they do not have tickets to Coachella.",Named Person,Cathie O’Brien,Human resources professional and an upstart content creator,,"Ms. O’Brien, 27, has only about 25,000 followers on TikTok, so she was surprised earlier this spring when she received an invitation to attend Camp Poosh, a wellness retreat hosted by Kourtney Kardashian Barker during Coachella."
16,"“I will totally be annoying,” she said with a laugh. “I will be that girl asking them for their email so I can like follow up with them, you know, after the weekend.”",Named Person,Cathie O’Brien,Human resources professional and an upstart content creator,,"Ms. O’Brien, 27, has only about 25,000 followers on TikTok, so she was surprised earlier this spring when she received an invitation to attend Camp Poosh, a wellness retreat hosted by Kourtney Kardashian Barker during Coachella."
