No,Sourced Statements,Type of Source,Name of Source,Title of Source,Source Descriptors,Source Justification
1,"Hisham Abugharbieh, 26, is facing two counts of premeditated murder in the first degree with a weapon in the deaths of Zamil Limon and Nahida Bristy, students at USF, according to the Hillsborough County Sheriff's Office. He made an initial court appearance Saturday in Tampa, where he was ordered held without bond. A hearing is set for April 28.",Named Organization,Hillsborough County Sheriff's Office,,,
2,"Limon's remains were found on the Howard Frankland bridge Friday morning, but Bristy is still missing, Hillsborough County Chief Deputy Joseph Maurer said on Friday.",Named Person,Joseph Maurer,"Chief Deputy, Hillsborough County",,
3,"An autopsy is being done on the remains to determine the manner and cause of Limon's death, and those results are expected Saturday morning, Maurer said Friday.",Named Person,Joseph Maurer,"Chief Deputy, Hillsborough County",,
4,"Limon and Bristy, both 27, were considering getting married, a relative said.",Unnamed Person,,,relative,
5,"Abugharbieh had been a USF student but was not currently enrolled. University records showed he had attended the school from Spring 2021 through Spring 2023, and had pursued a BS in Management, a university spokesperson said.",Named Organization,University of South Florida,,,
6,"The school, which spelled her last name as Brishti, said in a statement Saturday that she was a Ph.D. candidate and described her as a talented and promising student.",Named Organization,Noakhali Science and Technology University,,,Bristy was a graduate of Noakhali Science and Technology University.
7,"Her sudden passing has deeply saddened all of us, Vice Chancellor Mohammad Ismail said. ""The university family pays deep respect to her memory. At the same time, we demand punishment for those involved in her death and compensation for the victim's family.""",Named Person,Mohammad Ismail,"Vice Chancellor, Noakhali Science and Technology University",,Bristy was a graduate of Noakhali Science and Technology University.
8,"Abugharbieh had several previous arrests, the sheriff's office said.",Named Organization,Hillsborough County Sheriff's Office,,,
9,Court records show Abugharbieh entered into a diversion program for first-time offenders charged with misdemeanors.,Document,,,court records,
10,Hillsborough County Court records also showed two domestic violence petitions filed by a family member in 2023. A judge granted an injunction in one case and denied the other petition. He also was accused of traffic violations.,Document,Hillsborough County Court records,,,
