No,Sourced Statements,Type of Source,Name of Source,Title of Source,Source Descriptors,Source Justification
1,"""As I look at folks that are moving into our neighborhood,"" Kogura said, ""the only people who can afford to move into the neighborhood right now are the high-tech.""",Named Person,Richard Kogura,owner of his family's Japanese gift shop,,"Richard Kogura's family has operated the Japanese gift and home goods store, now near the corner of Jackson and North Sixth streets, since his grandfather Kohei Kogura started the company in 1928."
2,"""The sponsors of our Little League teams were the Plumbers, the Carpenters, the Teamsters,"" Kogura, 70, recalled as he walked the aisles of his family's shop on a sunny Tuesday in March and reflected on his upbringing.",Named Person,Richard Kogura,owner of his family's Japanese gift shop,,"Richard Kogura's family has operated the Japanese gift and home goods store, now near the corner of Jackson and North Sixth streets, since his grandfather Kohei Kogura started the company in 1928."
3,"""If you needed a job, there was always work because of the canneries,"" he said, referring to companies like Del Monte that once anchored the local economy.",Named Person,Richard Kogura,owner of his family's Japanese gift shop,,"Richard Kogura's family has operated the Japanese gift and home goods store, now near the corner of Jackson and North Sixth streets, since his grandfather Kohei Kogura started the company in 1928."
4,"the region's cost of living first got out of sync with the rest of the country around 50 years ago, experts say with more recent tech booms only furthering sky-high costs and wide disparities.",Unnamed Group of People,,experts,,
5,"""The Bay Area is rich and prosperous, and that creates a very high demand for housing, and that drives up prices,"" said Richard Walker, professor emeritus of geography at UC Berkeley and an expert on California history.",Named Person,Richard Walker,professor emeritus of geography at UC Berkeley,,an expert on California history
6,"""In the same way that California was the poster child for uncontrolled growth in the first two and a half decades of the postwar era from the mid-1940s to the mid to late 1960s, not coincidentally, it is the epicenter of the most concerted and most politically successful effort to reign in growth into the '70s, '80s, '90s,"" said Jacob Anbinder, a research fellow at Cornell University, who is writing a book about the roots of America's housing crisis.",Named Person,Jacob Anbinder,research fellow at Cornell University,,who is writing a book about the roots of America's housing crisis
7,"Over the last nearly 50 years, the Bay Area has had one of the lowest permitting rates for new homes per capita in the nation, compared to other major metros, according to an analysis by the Stanford Institute for Economic Policy Research performed for KQED.",Named Organization,Stanford Institute for Economic Policy Research,,,
8,"""It was closing in, closing in, closing in, and there was nothing we could do about it,"" he said.",Named Person,Phil Cosentino,family farm owner,,"Phil Cosentino's livelihood has been shaped by the rise and fall of that pro-building ethos. When Cosentino's father opened a family farm in South San José 81 years ago, the property stretched 10 acres. But it was whittled to about two acres after California officials used eminent domain to buy the land in the 1950s to build what is now Highway 85, which cuts along the edge of the farm."
9,"""The situation we're living in today is the product of decisions that were made not just 10, 20 years ago, but 50, 60, even 70 years ago,"" Anbinder said.",Named Person,Jacob Anbinder,research fellow at Cornell University,,who is writing a book about the roots of America's housing crisis
10,"""About 50 years ago, you can start to see a very clear upward movement in housing prices that deviates from the rest of the country by California, and also even more so by the Bay Area,"" Walker said.",Named Person,Richard Walker,professor emeritus of geography at UC Berkeley,,an expert on California history
