No,Sourced Statements,Type of Source,Name of Source,Title of Source,Source Descriptors,Source Justification
1,"Smoke from fires burning in Florida and Georgia was pushing into the Appalachian Mountains and into parts of West Virginia on Friday, and forecasters said it could reach as far as the southern parts of Pennsylvania and Ohio.
",Unnamed Group of People,,Forecasters,,
2,"Andy Snyder, a fire meteorologist with the U.S. Wildland Fire Service, said the smoke was likely to continue for days, with the acrid air drifting as the winds shift and the fires continue to burn through a landscape that severe drought has left dry and flammable.

",Named Person,Andy Snyder,"Fire meteorologist, U.S. Wildland Fire Service",,
3,"Rich Bann, a meteorologist with the Weather Prediction Center, said concentrations on Friday were likely to remain low.",Named Person,Rich Bann,"Meteorologist, Weather Prediction Center",,
4,"“It might just be a little hazier than usual,” he said.",Named Person,Rich Bann,"Meteorologist, Weather Prediction Center",,
5,"The largest, the 30,000-acre Pineland Road fire in Georgia, “has been the major source of the smoke,” Mr. Snyder said.
",Named Person,Andy Snyder,"Fire meteorologist, U.S. Wildland Fire Service",,
6,"The National Weather Service office serving Atlanta warned that the air quality in the area could be unhealthy for people who are sensitive to ozone and smoke.
",Named Organization,National Weather Service serving Atlanta,,,
7,"The storms are unlikely to bring enough rain to extinguish the fires, which have probably burned under the surface and deep into the organic soil, Mr. Snyder said.

",Named Person,Andy Snyder,"Fire meteorologist, U.S. Wildland Fire Service",,
8,"“They're expecting these to be long-term fires,” he said.

",Named Person,Andy Snyder,"Fire meteorologist, U.S. Wildland Fire Service",,
9,"It’s considered “super fog” by meteorologists when visibility levels drop below 10 feet, leading to dangerous conditions on roads.",Unnamed Group of People,,meteorologists,,
10,"“You can go from perfect visibility to zero feet in a very short distance,” Mr. Snyder said.
",Named Person,Andy Snyder,"Fire meteorologist, U.S. Wildland Fire Service",,
11,"The AirNow website and app, run by the Environmental Protection Agency, offers fire and smoke maps that are informed by data from portable sensors that track smoke plumes.
",Named Organization,Environmental Protection Agency,,,offers fire and smoke maps that are informed by data from portable sensors that track smoke plumes
