No,Sourced Statements,Type of Source,Name of Source,Title of Source,Source Descriptors,Source Justification
1,"The authorities say the California man stormed a black-tie gala on Saturday seeking to kill the president.

",Unnamed Group of People,,Authorities,,
2,"A California man who the authorities say ran through a security perimeter and fired a gun outside a packed black-tie gala in Washington on Saturday was charged on Monday with trying to assassinate President Trump.

",Unnamed Group of People,,Authorities,,
3,"Prosecutors said the man, Cole Thomas Allen, 31, of Torrance, Calif., came to the nation’s capitol with the intention of carrying out a political assassination. He brought a pump-action shotgun, a .38-caliber handgun and three knives, officials said.
",Unnamed Group of People,,Prosecutors,,
4,"In a federal affidavit unsealed on Monday, an F.B.I. agent said that around 8:40 p.m. on Saturday, Mr. Allen approached a security checkpoint inside the hotel, where Mr. Trump, Vice President JD Vance and members of the cabinet were attending the dinner in the ballroom one floor below.
",Document,,,,federal affadavit
5,"Mr. Allen ran through a magnetometer holding a 12-gauge pump-action shotgun, and Secret Service agents “heard a loud gunshot,” the affidavit stated. One agent was shot in the chest but was wearing a bulletproof vest, according to the affidavit, which did not say that it was Mr. Allen who shot the agent.

",Document,,,,federal affadavit
6,"At a news conference after Mr. Allen’s court appearance, the acting attorney general, Todd Blanche, said the injured agent drew his gun and fired five times at Mr. Allen, who fell to the ground and was arrested. Mr. Allen was not shot and had only minor injuries, the affidavit said. In addition to the shotgun, Mr. Allen was also in possession of a .38-caliber pistol when he was arrested.
",Named Person,Todd Blanche,Acting attorney general,,
7,"Mr. Blanche said investigators believed the suspect fired his weapon because a spent shotgun shell was found inside its chamber, but he noted that more forensic examination would be done to determine exactly what happened.
",Named Person,Todd Blanche,Acting attorney general,,
8,"Shortly before the attack, Mr. Allen sent an email to his family and a former employer in which he expressed deep anger at the administration and the president, the affidavit said. Administration officials were the suspect’s “targets, prioritized from highest-ranking to lowest,” according to a copy of the roughly 1,000-word document shared by two law enforcement officials who were not authorized to disclose the information.

",Document,,,,"federal affadavit shared by two law enforcement officials who were not authorized to disclose the information
"
9,"Mr. Allen also expressed surprise that he was able to check into the hotel a day before the event with a shotgun, a handgun and a knife, according to the document, parts of which were cited in the F.B.I. affidavit.
",Document,,,,FBI affadavit
10,"Officials insisted that security measures at the dinner worked as intended, noting that Mr. Allen never made it into the ballroom.
",Unnamed Group of People,,officials,,
11,"“I want to make this clear: This man was a floor above the ballroom with hundreds of federal agents between him and the president of the United States,” Mr. Blanche said at the news conference.

",Named Person,Todd Blanche,Acting attorney general,,
12,"While officials have said the evidence indicates the gunman acted alone, Mr. Blanche also said on Monday that investigators were working to determine if he had any connections to left-wing activists. They are also interviewing his relatives and friends, and combing through his online activity to better understand his motives.

",Named Person,Todd Blanche,Acting attorney general,,
13,"Speaking to reporters at the White House earlier on Monday, Karoline Leavitt, the White House press secretary, said that Mr. Trump had confidence in the Secret Service, and she praised the “heroic” agent who “took a bullet to the chest” on Saturday night. “Thankfully, he was saved by his bulletproof vest,” Ms. Leavitt said.

",Named Person,Karoline Leavitt,White House press secretary,,
14,"Still, she said, Susie Wiles, the White House chief of staff, plans to meet this week with officials from the Secret Service, the Department of Homeland Security and other agencies to review security practices for presidential events in the coming months.

",Named Person,Karoline Leavitt,White House press secretary,,
15,"Ms. Leavitt sought to blame the attack on Democrats and some members of the news media. She accused them of a “systemic demonization” of Mr. Trump that “helped to legitimize this violence and bring us to this dark moment.” She called it a “left-wing cult of hatred against the president and all of those who support him and work for him.”

",Named Person,Karoline Leavitt,White House press secretary,,
16,"On Sunday night, Mr. Trump told “60 Minutes” that he told agents during the shooting to “wait a minute” as they urged him to get down, saying he was curious to see what was happening. He said he finally dropped to the floor with the first lady, Melania Trump. “My thought was, ‘I've been through this a couple of times before,’” but she had not, he said.
",Named Person,Donald Trump,President of the United States of America,,
17,"This was the third attempted assassination of Mr. Trump in less than two years, Ms. Leavitt noted.",Named Person,Karoline Leavitt,White House press secretary,,
