No,Sourced Statements,Type of Source,Name of Source,Title of Source,Source Descriptors,Source Justification
1,"Global tree loss fell 14 percent in 2025 from the year before, according to a report published on Wednesday by World Resources Institute, with the decline largely driven by progress in protecting tropical forests.",Named Organization,World Resources Institute,,,Report by World Resources Institute
2,"The total area destroyed worldwide was roughly 63 million acres, or 25.5 million hectares, the institute’s annual analysis found. But less tree cover was razed intentionally last year than any other year in the past decade, and losses in primary tropical forests were 36 percent lower than last year’s record highs.",Named Organization,World Resources Institute,,,Report by World Resources Institute
3,"The report was a bright spot amid a concerning trend of global forest loss, researchers said.",Unnamed Group of People,,Researchers,,
4,"“Generally speaking, a good year is a good year,” said Matt Hansen, a professor at the University of Maryland and director of the Global Land Analysis and Discovery laboratory, which contributed forest-loss data to the report. “But you need good years forever if you're going to conserve the tropical rainforest.”",Named Person,Matt Hansen,"Professor, University of Maryland and Director, Global Land Analysis and Discovery Laboratory",,contributed forest-loss data to the report
5,"Scientists have found that the changing climate is setting the stage for extreme wildfires, which are doubling in both frequency and intensity worldwide. Climate change is also intensifying droughts and storms, and facilitating the spread of pests and diseases that can harm forests.",Unnamed Group of People,,Scientists,,
6,"“We're on a kind of knife’s edge,” said Rod Taylor, global director for forest and nature conservation at the World Resources Institute. The biome could reach a tipping point, he said, in which forests are no longer powerful carbon sinks that help regulate the climate, but become a source of planet-warming carbon emissions, released when they are burned or logged.",Named Person,Rod Taylor,"Global Director for forest and nature conservation, World Resources Institute",,
7,"The institute issued a separate report this year that found that forests around the world were absorbing only a quarter of the carbon that they once did, and some areas have become a net source of emissions.",Named Organization,World Resources Institute,,,
8,"More than 140 countries have agreed to halt and reverse forest loss by 2030, but deforestation remains 70 percent higher than the level needed for the world to meet that commitment, the report found.",Named Organization,World Resources Institute,,,
9,"Achieving the 2030 goal will not be easy, said Elizabeth Goldman, co-director of the institute’s Global Forest Watch platform. “But still, several countries showed that strong policy action can reduce forest loss quickly,” she said.",Named Person,Elizabeth Goldman,Co-director of institutes Global Forest Watch platform,,
10,"The report attributed the progress to the environmental policies of Brazil’s current president, Luiz Inácio Lula da Silva. The government has restarted an anti-deforestation campaign and issued more environmental-violation notices and fines.",Named Organization,World Resources Institute,,,
11,"And it found that policy changes in other tropical countries had yielded results, too.",Named Organization,World Resources Institute,,,
12,"“The thing about these major reports is that the numbers jump up and down year to year,” said David Lindenmayer, a professor of forest ecology in the Fenner School of Environment and Society at the Australian National University who was not involved in the report. The good news is welcome, but poor policy can easily reverse those trends, he said.",Named Person,David Lindenmayer,"Professor of Forest ecology, Fenner School of Environment and Society at the Australian National University",,
13,"Some policies end up backfiring, he said. In the last several decades, many countries have tried to promote sustainability certifications for wood products, including ones that require producers to replant trees. But research shows these certification programs don't slow deforestation, Dr. Lindenmayer said.",Named Person,David Lindenmayer,"Professor of Forest ecology, Fenner School of Environment and Society at the Australian National University",,
14,"Tree plantations, which are increasingly common worldwide, are more likely to catch fire and burn hotter, he said.",Named Person,David Lindenmayer,"Professor of Forest ecology, Fenner School of Environment and Society at the Australian National University",,
