No,Sourced Statements,Type of Source,Name of Source,Title of Source,Source Descriptors,Source Justification
1,"On the evening of March 18, 2025, several dozen residents packed the auditorium at Bowen High School, 2710 E. 89th St., demanding answers about the $9 billion Quantum Campus rising yards from their homes on the old U.S. Steel South Works site.A woman in the audience cut to the heart of it. ""How are you going to deal with the contaminated land?"" she asked.",Unnamed Person,,,,A woman in the audience
2,"""It's important that there's an NFR, a No Further Remediation letter, for the site that gives us confidence about the buildability of the site,"" Anderson told those assembled, according to CBS2. ""But I recognize that doesn't provide safety for the community, and that doesn't assure that there is absolutely no contamination.""",Named Person,Tom Anderson,city's director of economic development,,
3,"According to neighborhood watchdog groups, no health impact assessment has been conducted.",Unnamed Group of People,neighborhood watchdog groups,,,
4,"IQMP officials pushed back when the Crusader characterized the project as a data center in last week's report, insisting it is a quantum research park.",Named Organization,IQMP,,,
5,"Related Midwest, the 440-acre site's master developer, tells a different story. Its subsidiary, Related Digital, plans to build a large-scale commercial data center on Parcel EB, the largest remaining parcel on the property.",Named Organization,Related Midwest,,,the 440-acre site's master developer
6,"Sanya Bhartiya, environmental justice organizer with Southside Together, told the Crusader: ""This facility is going to require enough energy to power over 200,000 homes, or a third of a nuclear power plant. Which, to put that in perspective, that is the number of houses from Bronzeville to South Chicago,"" she said. Adding, ""These demands will drive up utility bills for residents who were never asked whether they wanted this campus. IQMP's assurances about clean cryogenic cooling cover PsiQuantum only. They say nothing about Related Digital or the other technology tenants sharing a campus with a military research agency,"" Bhartiya said.",Named Person,Sanya Bhartiya,environmental justice organizer with Southside Together,,
7,"Several Southeast Side residents, community leaders and environmental justice advocates told the Crusader the community's questions have gone unanswered since July 2024, when Gov. JB Pritzker announced the project without consulting a single Southeast Side community organization first.",Unnamed Group of People,"Southeast Side residents, community leaders and environmental justice advocates",,,
8,"""Why is $9 billion being spent on a quantum computing facility in a neighborhood that needs a grocery store and a pharmacy?"" Bhartiya asked. ""It's clear there's a plan for the South Side of Chicago and Black residents are not part of that plan. This quantum facility is being branded as if it's finally having investment in the community. When in reality, what it is, is another attack on the community.""",Named Person,Sanya Bhartiya,environmental justice organizer with Southside Together,,
9,"""Related Midwest (The developer) is a slum lord,"" Bhartiya alleged. ""Related Midwest does not treat their tenants well for the housing that they develop and own. Related Midwest is deeply involved in the gentrification of the South Side of Chicago.""",Named Person,Sanya Bhartiya,environmental justice organizer with Southside Together,,
10,Southside Together said residents at a senior living center on 92nd and Burley had already sold their homes after receiving solicitation calls.,Named Organization,Southside Together,,,
11,"""That, to me, is the most stark example of how the developers do not care about community voice at all,"" she told the Crusader.",Named Person,Sanya Bhartiya,environmental justice organizer with Southside Together,,
12,"Mayor Brandon Johnson and both aldermen, Greg Mitchell of the 7th Ward and Peter Chico of the 10th Ward, were invited to a community meeting that drew more than 300 residents. None attended, according to Southeast Side organizers.",Unnamed Group of People,Southeast Side organizers,,,
13,"Moises Moreno, organizing director for the Alliance of the Southeast (ASE), told the Crusader the community learned about the quantum project in late 2024 through a trade publication and soon after learned after the fact that a groundbreaking event had occurred.",Named Person,Moises Moreno,organizing director for the Alliance of the Southeast (ASE),,
14,"""Those meetings were shows,"" Moreno said of the city's public sessions. ""A lot of slides. A lot of inaccuracies. Like, you can get a job (at the Quantum Park) with a high school diploma. A career in quantum mechanics. Let's get a college degree for that."" He said the coalition formed to protect the Southeast region of the city sprang into action and began organizing town hall meetings and workshops to get input from residents, business owners and others on the project. After residents rebelled at the Bowen meeting, Moreno said, the city stopped holding public meetings.After residents rebelled at the Bowen meeting, Moreno said, the city stopped holding public meetings. ""Since then, they have not held one city meeting. I kid you not. Ald. Chico canceled on the coalition four times after receiving the CBA. We want something in writing. We don't want just promises,"" Moreno told the Crusader.",Named Person,Moises Moreno,organizing director for the Alliance of the Southeast (ASE),,
15,"Community organizations have been monitoring construction since fall 2025 and reporting findings to the Illinois Environmental Protection Agency (IEPA). ""We are reporting to them the dust incidents that are happening,"" Moreno said. ""They're removing this toxic soil and they're not doing it properly. We have watchers out there. Even the (construction) workers that are there are not properly masked.""",Named Person,Moises Moreno,organizing director for the Alliance of the Southeast (ASE),,
16,"A. Anne Holcomb, co-chair of Environment, Transportation, Health and Open Space of South Shore (ETHOS) and a 15-year South Shore resident, confirmed two documented events.",Named Person,A. Anne Holcomb,"co-chair of Environment, Transportation, Health and Open Space of South Shore (ETHOS)",South Shore resident,
17,"""We've had two fugitive dust events. That's where there is visible dust, clouds of toxic dust in the air. They are documented. The dates of those events are 10/25/25 and 1/13/26. We have photographs.""",Named Person,A. Anne Holcomb,"co-chair of Environment, Transportation, Health and Open Space of South Shore (ETHOS)",,
18,"The 5,000-page remediation report commissioned by the developer identified five Hot Zones requiring cleanup.",Document,remediation report,,,
19,ETHOS believes there is a sixth Hot Zone not in the report.,Named Organization,ETHOS,,,
20,"""Even the parts that are not hot zones are still toxic,"" Holcomb told the Crusader. ""It's still got arsenic and mercury and lead. It's still bad.""",Named Person,A. Anne Holcomb,"co-chair of Environment, Transportation, Health and Open Space of South Shore (ETHOS)",,
21,"Holcomb also said that a previous developer, Emerald Living, pulled out after soil testing showed the ground was too toxic to build homes and was required to sign a non-disclosure agreement to exit the purchase agreement.",Named Person,A. Anne Holcomb,"co-chair of Environment, Transportation, Health and Open Space of South Shore (ETHOS)",,
22,"A legal assistant at the company told Holcomb at a coalition meeting: ""There's going to be other developers coming. You need to find out what's in the ground. It's bad stuff.""",Unnamed Person,Legal Assistant,,,
23,"Isabela Jaimes, Illinois state program coordinator for GreenLatinos, told the Crusader that non-disclosure agreements (NDAS) are standard industry practice.",Named Person,Isabela Jaimes,Illinois state program coordinator for GreenLatinos,,
24,"""A lot of these facilities throughout our state, as well as the nation, kind of just tend to pop up without any notice, without any public comment, without any proper communication to the community,"" she said.",Named Person,Isabela Jaimes,Illinois state program coordinator for GreenLatinos,,
25,"""The Department of Defense is involved in this project. There's an Israeli (research) company involved,"" Bhartiya told the Crusader. ""The only proven application of quantum computing is encrypting and decrypting data, and with so much military backing behind it, I'm deeply concerned about the implications for a Black and brown community, let alone the fact that a military research facility is going to increase police in the community and block access to the parks right next to it.""",Named Person,Sanya Bhartiya,environmental justice organizer with Southside Together,,
26,"Brian Gladstein, executive director of Friends of the Parks, told the Crusader his organization has seen a rise in surveillance cameras on park district lands near the site. ""Are there going to be cameras all around the (new Advocate Trinity) hospital? What is the surveillance? We're supposed to have open and clear and free lakefront,"" he said.He said Friends of the Parks is part of the coalition demanding a CBA; it has taken a neutral position on the quantum park.",Named Person,Brian Gladstein,executive director of Friends of the Parks,,
27,"However, a spokesperson responded in writing to a few: Water comes from the city municipal system; cryogenic cooling uses only helium and nitrogen; the site is in a voluntary IEPA remediation program; and 50-plus public meetings have been held, the response noted. ""Unlike the steel mills of the past,"" the spokesperson wrote, ""IQMP facilities will not pollute the air, water, or soil.""",Named Organization,IQMP,,,
28,"""Related Digital is building a commercial data center on Parcel B right now. IQMP's assurances cover PsiQuantum only,"" Holcomb said. ""ETHOS's independent testing found hazardous and extremely hazardous soil. Two documented fugitive dust events occurred during construction. The IQMP statement did not address DARPA's surveillance role, the CBA, the dust events, or Related Digital, which is in fact a data center.""",Named Person,A. Anne Holcomb,"co-chair of Environment, Transportation, Health and Open Space of South Shore (ETHOS)",,
29,"""There are deep concerns about the water that they have never fully addressed,"" Bhartiya added.",Named Person,Sanya Bhartiya,environmental justice organizer with Southside Together,,
30,"""What is going to happen with the water at that point?"" Jaimes said.",Named Person,Isabela Jaimes,Illinois state program coordinator for GreenLatinos,,
31,"""Our legislators and government have made it easy for data centers to come into the state, and that's made it easy for them to do so in Black and brown communities, where it's typically cheaper,"" Jaimes said. ""Illinoisans, both in ComEd and Ameren territories, just last summer saw 50 percent increases to their bills in the blink of an eye.""",Named Person,Isabela Jaimes,Illinois state program coordinator for GreenLatinos,,
32,"State regulators have warned of chronic grid shortages as early as 2029, driven in significant part by data center demand.",Unnamed Group of People,State regulators,,,
33,"""Jobs come and go,"" one resident told ABC7, ""but our health and environment does not come back.""",Unnamed Person,Resident,,,
