No,Sourced Statements,Type of Source,Name of Source,Title of Source,Source Descriptors,Source Justification
1,"The Transportation Security Administration (TSA) shared more than 31,000 traveler records with Immigration and Customs Enforcement (ICE) from the beginning of President Trump’s second term through February 2026, Reuters reported.",Named Organization,Reuters,,,
2,"The traveler records were gathered by TSA's Secure Flight Program, created in 2007 to identify and match would-be terrorists to watchlists—not to track down immigration offenders.Tips from the TSA led to more than 800 arrests by ICE, Reuters found.",Named Organization,Reuters,,,
3,"“This is nothing new,” a Department of Homeland Security (DHS) spokesperson told Forbes, adding “TSA and DHS will no longer tolerate” the “horrendous Biden-era policy that allowed aliens in our country illegally to jet around our country and do so without identification.”",Named Organization,Department of Homeland Security,,,
4,"The stated purpose is to identify “low and high-risk passengers before they arrive at the airport by matching their names against trusted traveler lists and watchlists,” according to a Defense Department bulletin.",Document,Defense Deparment bulletin,,,
5,"Protocols for sharing traveler data were addressed in a 2007 privacy impact statement, which explained that TSA would collect limited Secure Flight Passenger Data (SFPD)—including the traveler’s full name, date of birth, gender, redress number, known traveler number, and passport information.",Document,U.S. D.H.S. privacy impact statement,,,
6,"“Personal data is collected, used, distributed, stored and disposed of according to stringent guidelines,” according to a note on American Airlines’ website.",Document,American Airlines website,,,
7,"The data is subject to “all applicable privacy laws and regulations,” according to United Airlines.",Named Organization,United Airlines,,,
8,"Last month, Trump sent ICE agents to airports amid the partial government shutdown —but ICE has been making arrests at airports for months, three immigration attorneys told Reuters.",Unnamed Group of People,,immigration attorneys,,
9,"“The real story here is the way in which databases are being used,” Rep. John Garamendi, D-Calif., told the New York Times at the time.",Named Person,John Garamendi,California Representative,,
10,"“This administration is working diligently to ensure that aliens in our country illegally can no longer fly unless it is out of our country to self-deport,” the DHS spokesperson told Forbes.",Named Organization,Department of Homeland Security,,,
11,"“Nothing about this incident, like so many ICE operations, makes me feel safer as an American,” Salt Lake City Mayor Erin Mendenhall said after ICE arrested an immigrant at Salt Lake City International Airport last fall.",Named Person,Erin Mendenhall,Salt Lake City Mayor,,after ICE arrested an immigrant at Salt Lake City International Airport last fall.
