No,Sourced Statements,Type of Source,Name of Source,Title of Source,Source Descriptors,Source Justification
1,"On Tuesday, members of the public addressed the city council ahead of it considering the fate of commemorative flags through an upcoming policy committee",Unnamed Group of People,,,members of the public,Members of the public
2,"The San Ramon City Council voted 3-1 April 14 to fly the Progress Pride flag this year, with Councilmember Robert Jweinat casting the opposing vote after questioning the practice, according to a news release from the San Ramon Valley Diversity Coalition.",Named Organization,San Ramon Valley Diversity Coalition,,,news release from San Ramon Valley Diversity Coalition
3,Nineteen of the 24 speakers came to state their support for the raising of the Pride flag and to voice concern over the council’s decision to review the commemorative flag-raising policy. The other five addressed unrelated issues.,Unnamed Group of People,,,speakers,Speakers
4,The resolution called into question is the Use of City Flag Poles and Flag Display Policy created in 2021. It authorizes the flying of commemorative flags at the request of a councilmember on a commemorative flag pole erected at Alcosta Boulevard and Bollinger Canyon outside City Hall. The Pride flag is to fly on it throughout June and be shown on the building’s marquee per the resolution submitted by City Councilmember Sridhar Verose.,Document,Use of City Flag Poles and Flag Display Policy,,,
5,"Anuradha Gupta, the chapter president of PFLAG Danville-San Ramon Valley, wrote in an email, “We are grateful to the San Ramon mayor and councilmembers who voted to raise the Pride flag this year and distressed that this long-standing civic tradition will be reviewed at a time when there are unprecedented attacks on the LGBTQ+ community.”",Named Person,Anuradha Gupta,"Chapter President, PFLAG Danville-San Ramon Valley",,
6,"Gupta was referring to policies by President Donald Trump and his administration that, among other things, have stripped rights from trans people.",Named Person,Anuradha Gupta,"Chapter President, PFLAG Danville-San Ramon Valley",,
7,Some speakers were concerned parents of LGBTQ youth and many described themselves as long-term San Ramon residents,Unnamed Group of People,,,concerned parents of LGBTQ youth and longtime San Ramon residents,concerned parents of LGBTQ youth and longterm San Ramon residents
8,"Gupta wrote in an email that members from the local groups PFLAG Danville-San Ramon Valley and San Ramon Valley Diversity Coalition were in attendance, as well as members from Danville Congregational Church and Indivisible Tri-Valley.",Named Person,Anuradha Gupta,"Chapter President, PFLAG Danville-San Ramon Valley",,
9,"“I was really happy to hear that this year, too, the Progressive flag will fly,” said Shailaja Dixit, a longtime resident of San Ramon, “but I was also deeply disturbed to hear that there was a single, lone vote cast against it, and that the commemorative flag policy is now going under review. Under current times, this feels very threatening.”",Named Person,Shailaja Dixit,,longtime resident of San Ramon,
10,"During the April 14 City Council meeting, the routine procedure of passing the resolution for raising the Pride flag was called into question after former mayor Greg Carr, Citizens Against Marketplace Apartment Development leader Susie Ferris-Inderkum, and a citizen calling themself “Make San Ramon Great Again” spoke in opposition to the commemorative flag resolution during public comment.",Named Person,Greg Carr,Former mayor,,
11,"During the April 14 City Council meeting, the routine procedure of passing the resolution for raising the Pride flag was called into question after former mayor Greg Carr, Citizens Against Marketplace Apartment Development leader Susie Ferris-Inderkum, and a citizen calling themself “Make San Ramon Great Again” spoke in opposition to the commemorative flag resolution during public comment.",Named Person,Susie Ferris-Inderkum,Citizens Against Marketplace Apartment Development leader,,
12,"During the April 14 City Council meeting, the routine procedure of passing the resolution for raising the Pride flag was called into question after former mayor Greg Carr, Citizens Against Marketplace Apartment Development leader Susie Ferris-Inderkum, and a citizen calling themself “Make San Ramon Great Again” spoke in opposition to the commemorative flag resolution during public comment.",Unnamed Person,,,"citizen calling themselves ""Make San Ramon Great Again""",
13,"Jweinat made the motion to pull the commemorative flag-raising resolution from the consent calendar to review the policy, echoing former mayor Carr’s belief that only the U.S. flag, California state flag, and San Ramon city flag should be flown.",Named Person,Robert Jweinat,San Ramon City Councilmember,,
14,"For several of the speakers, the Pride flag-raising represents safety, inclusion, and belonging in San Ramon for either themselves or their children.",Unnamed Group of People,,,speakers,Speakers
15,"One speaker, a student at Gale Ranch Middle School, said that the Pride flag shows that San Ramon is diverse and respects people's choices.",Unnamed Person,,,student,Speaker
16,"Allison Gardner, a teacher in San Ramon, said, “We deserve much more than to have our fight with the city to fly a small piece of fabric one month a year to tell us maybe, just maybe, we do actually belong here in San Ramon.”",Named Person,Allison Gardner,Teacher in San Ramon,,
17,"This is one of many debates over Pride flag displays happening across the country, and is taking place six years after the Bay Area Reporter extensively reported on the efforts of LGBTQ community members and allies to see the rainbow flag and more diverse versions of it flown outside city halls across the Bay Area during the height of the 2020 COVID epidemic when Pride parades and public gatherings were canceled",Named Organization,Bay Area Reporter,,,
18,"Taking the opposite tact from San Ramon, the Petaluma City Schools Board of Education recently voted to display a Pride flag year-round instead of only during the month of June, KSRO radio reported.",Named Organization,KSRO radio,,,
19,"The U.S. Department of the Interior recently announced its intention to return the Pride flag to the Stonewall National Monument in New York City, after its directive issued January 21 called for the removal of “non-agency” flags from National Parks.",Named Organization,US Department of the Interior,,,
20,"After widespread public backlash, Philz Coffee will keep Pride flags in its cafes, including its San Francisco locations such as the Castro LGBTQ neighborhood.",Named Organization,Philz Coffee,,,
21,"“Minority interest recognition allows a community to adapt to changing interests over time, and for an ability to remain relevant and vibrant,” said Bruce Hixon, one of the first speakers of the night. “While minority inclusion may seem imperfect, it should not be traded off for exclusion.”",Named Person,Bruce Hixon,,speaker,Speaker
