No,Sourced Statements,Type of Source,Name of Source,Title of Source,Source Descriptors,Source Justification
1,"""The fact that we knew that building was within a three-minute walk of BART was a huge selling point,"" Yarrington said.",Named Person,Emily Yarrington,,,She has orchestrated her life around Bay Area transit for more than a decade
2,More than a few residents said they dread driving — one told The Standard she’d sooner switch jobs than have to get behind the wheel regularly — and decided to move to a city they wouldn’t otherwise live in specifically to be near a BART stop.,Unnamed Group of People,,,residents,
3,"If voters reject the Connect Bay Area sales tax measure on the November ballot — a half-cent increase in four counties and a penny in San Francisco — BART will close 15 stations by July 2027, raise fares by 30%, and lay off 1,200 workers, the agency has said.",Named Organization,BART,,,
4,"BART's latest ""alternative service plan"" doesn't name which stations would shutter, but agency staff have presented the board with a list based on ridership and their placement along lines.",Document,alternative service plan,,,
5,"There is no legal definition of a TOD, but experts say a project fits the bill if it has high-density housing built within walking distance of a major transit stop and designed with transit access in mind",Unnamed Group of People,,experts,,
6,"A 2018 law goes further, forcing cities to approve multifamily developments on BART property that meet zoning, affordability, and labor requirements.",Document,2018 Law,,,
7,Yarrington said many residents in her complex moved specifically for BART access.,Named Person,Emily Yarrington,,,She has orchestrated her life around Bay Area transit for more than a decade
8,"""You're cutting yourself off from the world if you're not going to have a good transit system,"" Yarrington said. ""I think it would be very heartbreaking for the community to lose this amenity.""",Named Person,Emily Yarrington,,,She has orchestrated her life around Bay Area transit for more than a decade
9,"With the state's looming return-to-work order, which would require her to come into the office four days a week instead of two starting in July, Lopez said she's likely to become even more reliant on BART, at the worst possible time.",Named Person,Melissa Lopez,Transportation Engineer at Government Agency,,
10,"""It's just really a shocker, because I feel like California needs better public transportation in general,"" she said. ""It just wouldn't be ideal.""",Named Person,Melissa Lopez,Transportation Engineer at Government Agency,,
11,"""It would really suck to move and then immediately have them close the station,"" he said. ""I literally moved here a year ago just so I could get this BART ride.""",Named Person,Tanner Firlotte,Building engineer at the San Francisco International Airport,,
12,"BART, he said, has gotten colleagues living as far away as Antioch out of cars and onto the train, cutting their commute time in half and lowering their traffic-induced blood pressure.",Named Person,Tanner Firlotte,Building engineer at the San Francisco International Airport,,
13,"Firlotte, who survived a severe 2011 crash in Washington state that left him in a coma for ""a tight few weeks,"" said he fears BART station closures and fare hikes are ""a move in the wrong direction.""",Named Person,Tanner Firlotte,Building engineer at the San Francisco International Airport,,
14,"""If you can get eight people off the road, that's eight people off the bridge,"" he said. ""Why would we not do that?""",Named Person,Tanner Firlotte,Building engineer at the San Francisco International Airport,,
15,"If BART were to shut down, Arza says, he'd drive to work. Thanks to the surging price of gas, the $8 bridge toll, and the $50 cost of parking for a day in downtown San Francisco, driving will be far more costly than BART — about $140 to commute to and from work twice a week, instead of $35 on BART, he said.",Named Person,Nathan Arza,,,moved to a condo at Metro Crossing by the Warm Springs BART station four years ago so he could easily take the train into San Francisco
16,"""It would be really difficult for my commute,"" he said.",Named Person,Tanner Firlotte,,,
17,"Beyond residents living next to BART, riders from all walks of life say their commutes and careers would be upended if the agency slashes service and closes stations.",Unnamed Group of People,,,riders,
18,"the agency has projected that should the trains stop running altogether, car traffic could increase by 73% on the Bay Bridge and 22% in the Caldecott Tunnel during morning peak commute hours, with drivers spending an additional 19 hours behind the wheel on average.",Named Organization,BART,,,
19,"""You see accidents every day on the highway,"" she said. ""You're not going to end up hurt riding on BART.""",Named Person,Emily Yarrington,,,She has orchestrated her life around Bay Area transit for more than a decade
