No,Sourced Statements,Type of Source,Name of Source,Title of Source,Source Descriptors,Source Justification
1.0,"Santa Clara County is proposing cutting several hundred positions and shuttering health clinics to help close a $787 million budget deficit, as it confronts sea changes in funding from both the federal and state governments.",Named Organization,Santa Clara County,null,,null
2.0,"""This is our fourth year in a row of budget reductions and the magnitude of the gap that we had to close this year is one of the largest that the county has faced in decades,"" County Executive James Williams said of the $14.7 billion budget proposal.",Named Person,James Williams,County Executive,,null
3.0,"He called it an ""extraordinarily difficult budget to bring forward,"" not just because of the challenges of bridging the gap, but because of residents' increasing reliance on the county, complicated by the likelihood of further losses of federal revenue in coming years.",Named Person,James Williams,County Executive,,null
4.0,"""And all of that in a context where there is so much need in the community and the context where we know that there are tremendous pressures on safety net services for the most vulnerable families,"" Williams said.",Named Person,James Williams,County Executive,,null
5.0,"The county's top brass recommended cutting 655 positions across its organization, with the brunt of that expected to be felt in the county's large hospital system and its behavioral health departments.",Named Organization,Santa Clara County,null,,null
6.0,"The county said about 265 of those positions are currently filled, or roughly 40%, but Williams said he is hoping to avoid any layoffs.",Named Person,James Williams,County Executive,,null
7.0,"""We will be attempting very vigorously to place all those individuals into other vacant positions across the county,"" he said.",Named Person,James Williams,County Executive,,null
8.0,"What exactly happens to those employees would be based on what positions are offered to them, their labor contracts and their personal needs, Williams said.",Named Person,James Williams,County Executive,,null
9.0,"County Supervisor Susan Ellenberg lauded those efforts given the county's total workforce size of roughly 22,000 people, and hopes the county can support every worker.",Named Person,Susan Ellenberg,County Supervisor,,null
10.0,"""It's rather extraordinary... to be able to find enough places to make budget cuts, look for increased revenue and be able to consolidate and increase efficiencies with such a relatively small number of employees being impacted,"" she said. ""Of course, for any single employee, that makes all the difference in the world...but we have been very successful in leveraging positions that are either vacant now or we know have upcoming retirements or other planned separations from the county.""",Named Person,Susan Ellenberg,County Supervisor,,null
11.0,"The state has also this year shifted the requirements and funding model for mental health and behavioral health programs after the passage of Proposition 1 by voters in 2024, which Williams said ""has really turned the fiscal world in behavioral health upside down.""",Named Person,James Williams,County Executive,,null
12.0,"Williams and his staff recommended putting all of the Measure A money for the current budget year into Santa Clara Valley Healthcare, the county's public hospital and clinic system, to help lessen the blow from Medicaid cuts enacted by Trump and the Republican-controlled Congress.",Named Person,James Williams,County Executive,,null
13.0,"While planning for 655 cuts, the county is simultaneously considering adding 191 positions, especially in areas that are growing but aren't reliant on federal funds, like parks and libraries, for a net cut of 464 positions, Williams said.",Named Person,James Williams,County Executive,,null
14.0,"Two county-run behavioral health clinics are expected to be closed, but Williams said the services will be transitioned to other facilities or community organizations that provide services for the county already.",Named Person,James Williams,County Executive,,null
15.0,"Ellenberg said the idea of consolidating clinics on its face doesn't worry her too much, so long as people who need those services aren't challenged to find them elsewhere nearby.",Named Person,Susan Ellenberg,County Supervisor,,null
16.0,"But she added that in general, the on-the-ground impacts from broad budget recommendations to alter contracts and leases and reduce positions is where she will focus as supervisors go through budget workshops and reviews next week.",Named Person,Susan Ellenberg,County Supervisor,,null
17.0,"""There are many aspects of it that are not yet clear to me, particularly around impact... I need to understand how that impacts particular populations, especially the very high-need and vulnerable residents that the county serves,"" Ellenberg said.",Named Person,Susan Ellenberg,County Supervisor,,null
18.0,Williams said the county has been aiming to preserve or expand services for those in most need across the county.,Named Person,James Williams,County Executive,,null
19.0,"He pointed to plans for new “satellite clinics in high-need communities,” as well as the planned opening of the county’s behavioral health pavilion on the campus of Santa Clara Valley Medical Center later this year.",Named Person,James Williams,County Executive,,null
20.0,"The pavilion will include the first child and adolescent inpatient psychiatric unit in the South Bay, Williams said, and will be staffed by transferring positions from elsewhere in the county.",Named Person,James Williams,County Executive,,null
21.0,"“We’re continuing to expand in critical areas and areas with significant community demand where there’s significant need. We haven’t taken our eye off the ball,” he said.",Named Person,James Williams,County Executive,,null
22.0,"Williams said the county has “moved mountains” to preserve critical services in the face of unprecedented cuts, and said voters have stepped up at an important time.",Named Person,James Williams,County Executive,,null
23.0,But he called directly on the governor and legislature to help counties across the state.,Named Person,James Williams,County Executive,,null
24.0,"“We need to see a forceful, clear and unequivocal response at the state level to what’s happening with H.R. 1,” he said. “There’s no way our county or any other can do this alone.”",Named Person,James Williams,County Executive,,But he called directly on the governor and legislature to help counties across the state.
25.0,"The city’s current proposal from City Manager Jennifer Maguire would cut support for interim housing operations by $1.25 million in the coming budget year and significantly reduce it by $14.2 million in the budget for 2027-2028, officials said this week.",Named Organization,San José,officials,,null
26.0,"Williams said the coming years for Santa Clara County could be even more difficult, and he is concerned about changes to the “social compact” in the country.",Named Person,James Williams,County Executive,,null
27.0,"“We’re one United States, and there are deep interrelationships between federal, state and local governments that all operate together to help take care of communities across the country,” Williams said. “We’re witnessing a complete reordering of that fabric, not just fiscally, but in terms of policy and the politics of this whole country.”",Named Person,James Williams,County Executive,,null
