No,Sourced Statements,Type of Source,Name of Source,Title of Source,Source Descriptors,Source Justification
1.0,"Forecasters say a powerful El Niño weather pattern could form later this year, with a chance of becoming one of the strongest in three decades.",Unnamed Group of People,,forecasters,,
2.0,The National Oceanic and Atmospheric Administration says there’s a roughly 60 percent chance of an El Niño developing between May and July.,Named Organization,National Oceanic and Atmospheric Administration,,,
3.0,That’s a major reason scientists now say next year could surpass 2024 as the planet’s warmest year since modern records began in the mid-19th century.,Unnamed Group of People,,scientists,,
4.0,"“We are now in a different base line climate,” said Clara Deser, a senior scientist at the National Center for Atmospheric Research in Boulder, Colo. That means past El Niños don’t necessarily tell us how the El Niños of the future will look, Dr. Deser said.",Named Person,Clara Deser,"senior scientist at the National Center for Atmospheric Research in Boulder, Colo.",,
5.0,Meteorologists classify El Niños as strong or weak depending on how much warmer those waters are than average.,Unnamed Group of People,,Meteorologists,,
6.0,"A major amplifying factor, scientists found, was human-induced warming.",Unnamed Group of People,,scientists,,
7.0,"The effects followed the expected pattern for El Niño, but they were “much worse because of climate change, because now this impact is happening in an atmosphere that is warmer,” said Regina R. Rodrigues, a professor of physical oceanography at the Federal University of Santa Catarina in Brazil.",Named Person,Regina R. Rodrigues,professor of physical oceanography at the Federal University of Santa Catarina in Brazil,,
8.0,"One reason in 2023-24, scientists found, was a pattern of unusual warmth in the tropical Indian and Atlantic Oceans that offset El Niño’s effects.",Unnamed Group of People,,scientists,,
9.0,"“Stronger El Niño events can only make certain outcomes more likely, but it does not ensure them,” said Michelle L’Heureux, a meteorologist who coordinates NOAA’s updates on El Niño and La Niña.",Named Person,Michelle L’Heureux,meteorologist who coordinates NOAA’s updates on El Niño and La Niña,,
10.0,"The reason was the quick swing in 1998 from a strong El Niño to a strong La Niña, said Wenju Cai, a climate scientist at the Ocean University of China.",Named Person,Wenju Cai,climate scientist at the Ocean University of China,,
11.0,"Scientists expect both strong El Niños and strong La Niñas to become more frequent as humans continue heating the planet. That means sharp seesaws between the two could happen more often, too.",Unnamed Group of People,,scientists,,
12.0,"So far, it’s been relatively rare for a strong La Niña (when the eastern and central Pacific is cool) to flip to a strong El Niño (when it’s warm), “because it takes multiple years to warm the Pacific,” Dr. Cai said.",Named Person,Wenju Cai,climate scientist at the Ocean University of China,,
13.0,"But Earth’s overall warming might be making that more common, he and his colleagues found in a recent study.",Named Person,Wenju Cai,climate scientist at the Ocean University of China,,he and his colleagues found in a recent study
14.0,"Warming caused by greenhouse gases in the atmosphere is worsening many deluges and droughts in Africa, whether they’re brought about by El Niño or not, Dr. Cai said. “The dry extremes and wet extremes both increase,” he said.",Named Person,Wenju Cai,climate scientist at the Ocean University of China,,
15.0,"This can modulate the amount of rain that El Niño and La Niña actually deliver, said Andréa Taschetto, a climate scientist at the University of New South Wales in Sydney, Australia.",Named Person,Andréa Taschetto,"climate scientist at the University of New South Wales in Sydney, Australia",,
16.0,"Despite all these uncertainties, El Niño and La Niña remain remarkably useful signals of future weather, Dr. Taschetto said.",Named Person,Andréa Taschetto,"climate scientist at the University of New South Wales in Sydney, Australia",,
17.0,"For farmers, land managers, disaster agencies, insurance companies and more, nothing else provides such a reliable indication of how the world might look a few seasons ahead. “This is the best thing that we have,” she said.",Named Person,Andréa Taschetto,"climate scientist at the University of New South Wales in Sydney, Australia",,
