Story,No,Sourced Statements,Type of Source,Name of Source,Title of Source,Source Justification
32-openai_board,5,"Senior OpenAI leaders, including Mr. Sutskever, who is deeply concerned that A.I. could one day destroy humanity, later discussed whether Ms. Toner should be removed, a person involved in the conversations said.
",Anonymous Source,,,A person involved in the conversations
32-openai_board,6,"But shortly after those discussions, Mr. Sutskever did the unexpected: He sided with board members to oust Mr. Altman, according to two people familiar with the board’s deliberations. ",Anonymous Source,,,according to two people familiar with the board’s deliberations.
32-openai_board,8,"That scientist and other researchers went to the board to try to push Mr. Altman out. After they failed, they gave up and departed, according to three people familiar with the attempt to push Mr. Altman out.
",Anonymous Source,,,according to three people familiar with the attempt to push Mr. Altman out.
32-openai_board,11,"After vetting four candidates for one position, the remaining directors couldn’t agree on who should fill it, said the two people familiar with the board’s deliberations.",Anonymous Source,,,said the two people familiar with the board’s deliberations.
32-openai_board,12,"Hours after Mr. Altman was ousted, OpenAI executives confronted the remaining board members during a video call, according to three people who were on the call.
",Anonymous Source,,,according to three people who were on the call.
32-openai_board,13,"During the call, Jason Kwon, OpenAI’s chief strategy officer, said the board was endangering the future of the company by pushing out Mr. Altman. This, he said, violated the members’ responsibilities.
",Anonymous Source,,,according to three people who were on the call.
32-openai_board,14,"Ms. Toner disagreed. The board’s mission was to ensure that the company creates artificial intelligence that “benefits all of humanity,” and if the company was destroyed, she said, that could be consistent with its mission. In the board’s view, OpenAI would be stronger without Mr. Altman.
",Anonymous Source,,,according to three people who were on the call.
32-openai_board,15,"On Sunday, Mr. Sutskever was urged at OpenAI’s office to reverse course by Mr. Brockman’s wife, Anna, according to two people familiar with the exchange. ",Anonymous Source,,,according to two people familiar with the exchange. 
36-Whats-Wrong-With-Apple,3,"Then, last month, the company postponed the spring release of an improved Siri because internal testing found that it was inaccurate on nearly a third of requests, said three people familiar with the project who spoke on the condition of anonymity.
",Anonymous Source,,,three people familiar with the project who spoke on the condition of anonymity.
36-Whats-Wrong-With-Apple,6,"Mr. Giannandrea, who was overseeing the effort, sought approval from the company’s chief executive, Tim Cook, to buy more A.I. chips, known as graphics processing units, or GPUs, five people with knowledge of the request said. ",Anonymous Source,,,five people with knowledge of the request said
36-Whats-Wrong-With-Apple,7,"At the time, Apple’s data centers had about 50,000 GPUs that were more than five years old — far fewer than the hundreds of thousands of chips being bought at the time by A.I. leaders like Microsoft, Amazon, Google and Meta, these people said.",Anonymous Source,,,five people with knowledge of the request said
36-Whats-Wrong-With-Apple,8,"Mr. Cook approved a plan to double the team’s chip budget, but Apple’s finance chief, Luca Maestri, reduced the increase to less than half that, the people said. They said Mr. Maestri had encouraged the team to make the chips they had more efficient.",Anonymous Source,,,five people with knowledge of the request said
36-Whats-Wrong-With-Apple,9,"The lack of GPUs meant the team developing A.I. systems had to negotiate for data center computing power from its providers like Google and Amazon, two of the people said.",Anonymous Source,,,two of the people said
36-Whats-Wrong-With-Apple,11,"At the same time, leaders at two of Apple’s software teams were battling over who would spearhead the rollout of Siri’s new abilities, three people who worked on the effort said.",Anonymous Source,,,three people who worked on the effort said.
36-Whats-Wrong-With-Apple,13,"Mr. Cook, 64, who has a background in operations, has been hesitant over the years to provide clear and direct guidance on product development, said three people familiar with the way the company operates.
",Anonymous Source,,,three people familiar with the way the company operates.
36-Whats-Wrong-With-Apple,15,"The company plans to release a virtual assistant in the fall capable of doing things like editing and sending a photo to a friend on request, three people with knowledge of its plans said.",Anonymous Source,,,three people with knowledge of its plans said.
36-Whats-Wrong-With-Apple,16,"Some of Apple’s leaders don’t think the delay is a problem because none of Apple’s rivals, like Google and Meta, have figured out A.I. yet, these people said. They believe there’s time to get it right.",Anonymous Source,,,three people with knowledge of its plans said.
