Story,No,Sourced Statements,Type of Source,Name of Source,Title of Source,Source Justification
10-Nebraska-voting-rights,3,"Opponents maintained that a two-year waiting period is reasonable and served as a deterrent to committing crime in the first place.
",Unnamed Group of People,Republicans,,"For years, Wayne’s effort to restore voting rights for felons faced opposition from several Republicans in the officially nonpartisan Nebraska Legislature."
10-Nebraska-voting-rights,6,Several of them said they were confused by the arrests because they had been allowed to register to vote.,Unnamed Group of People,,,an election police unit championed by Republican Gov. Ron DeSantis arrested 20 former felons. 
11-Nebraska-felons-crim-justice,2,Several of them said they were confused by the arrests because they had been allowed to register to vote.,Unnamed Group of People,,,after a new election police unit championed by Republican Gov. Ron DeSantis arrested 20 former felons.
11-Nebraska-felons-crim-justice,15,"Three of the witnesses with criminal records who spoke in favor of the legislation said in later interviews the waiting period is not a deterrent to future crime, but rather a barrier for those who have served their sentences.
",Unnamed Group of People,,,Three of the witnesses with criminal records
14-many-police-calls,9,"Authorities believe social services could help with other behavioral issues, although they note the person faces no-trespass notices at 19 locations.
",Unnamed Group of People,Authorities,,
14-many-police-calls,16,"Those who spoke said providers and police had yet to find an answer to the no-trespass question, although all expressed hope they could figure out ways to collaborate.
",Unnamed Group of People,,,the latest selectboard meeting Tuesday night.
14-many-police-calls,22,"State consultants have urged authorities and agencies to expand their efforts regionally, noting that one of Brattleboro’s most cited individuals also appears on police call logs in Bennington and Springfield.
",Unnamed Group of People,State consuiltants,,
15-Newsom-declares-emergency,6,"Impacted residents, many of whom are older, have disabilities and bought their homes decades ago, have experienced a range of difficult emotions as they’ve been displaced in recent months and watched their community dramatically change due to the land movement.",Unnamed Group of People,,,
15-Newsom-declares-emergency,7,Some say they weren’t given sufficient warning about the power shutoffs and aren’t sure where to go.,Unnamed Group of People,Impacted residents,,"Impacted residents, many of whom are older, have disabilities and bought their homes decades ago, have experienced a range of difficult emotions as they’ve been displaced in recent months and watched their community dramatically change due to the land movement."
16-America's-Sleeping-Giant,11,"Speakers at the press conference referenced Congress’s decision to roll back the expansion of the Earned Income Child Tax Credit, which caused a major spike in childhood poverty and the Biden administration’s decision to let states “unwind” Medicaid when the White House declared the pandemic was over.",Unnamed Group of People,Speakers,,"As a consequence, several million people lost their subsidized coverage including over three million children. 
"
18-wyoming-primary-dems,1,"Her neighbors call her “the crazy Democrat,” although it’s more a term of endearment than derision.",Unnamed Group of People,Neighbors,,"In some far reaches of rural America, Democrats are flirting with extinction. In Niobrara County, Wyoming, the least-populated county in the least-populated state, Becky Blackburn is one of just 32 left."
2-Best-DDR-player,3,Multiple contemporaneous comments called him a “god”,Unnamed Group of People,,,
20-bill-easier-access,5,The program officials reported that the inability to secure clinical placements is one of the main reasons for not enrolling more students.,Unnamed Group of People,Program officials,,
22-Judge-rules-breona-taylor,3,"The decision to blame Taylor’s boyfriend for her death, and not the officers, is another stark reminder of the need for the George Floyd Justice in Policing Act, which includes ending qualified immunity, advocates said.",Unnamed Group of People,advocates,,
23-black-landowners-11mins,2,"The decision disappointed the landowners, who were not allowed to speak at the meeting but issued a statement vowing to continue fighting to keep their land by appealing in court.",Unnamed Group of People,Landowners,,
23-black-landowners-11mins,4,"The construction would also have an impact on other Black residents in the community, who believe it would affect their quality of life.",Unnamed Group of People,other Black residents,,
23-black-landowners-11mins,5,"But, some legal experts and landowners told Capital B that Black communities aren’t experiencing “just” and “fair” processes and say there needs to be more accountability to stop government abuse of eminent domain.",Unnamed Group of People,legal experts and landowners,,
23-black-landowners-11mins,9,Other residents told Capital B they feared potential damage to their homes from the train.,Unnamed Group of People,Other residents,,
24-what-happens-to-migrants,1,Fifty-two percent of 170 respondents said they need more information about what will happen to asylum,Unnamed Group of People,Spanish-speaking readers,,"As a newsroom that serves NYC immigrants, we asked our Spanish-speaking readers "
25-ballot-access-trans,2,Some trans voters have expressed confusion and fear of discrimination at the ballot box that could discourage them from participating in public life.,Unnamed Group of People,Trans Voters,,
25-ballot-access-trans,13,"Like with other laws targeting transgender people, including bans on transgender student-athletes from participating in women’s sports, politicians supporting these policies frame them as protecting cisgender women.",Unnamed Group of People,Politicians,,
25-ballot-access-trans,16,"The full impact of these laws amid new and evolving voter identification laws is not yet clear, in part because of how recent they are — and that, experts say, could mask their harm. ",Unnamed Group of People,Experts,,
27-general-assembly-landlords,13,"During the subcommittee hearing, Shelby County Commissioner Erika Sugarmon and City of Memphis Division of Public Works director Robert Knecht endorsed it and two landlord representatives spoke against it.",Unnamed Group of People,landlord representatives,,
28-scranton-ukrainian-weapons,1,"Now, officials at the plant told Morning Edition that the army is producing 36,000 shells a month, up from 24,000 just six months ago.",Unnamed Group of People,Officials,,"The U.S. Army was making 14,000 artillery shells a month prior to the conflict."
29-tim-scott-deregulate,3,"Housing wonks have long singled out HUD's requirement that manufactured homes sit on a permanent steel chassis, even once they're delivered, as a major headwind on manufactured home productions.",Unnamed Group of People,Housing Wonks,,"Manufactured housing, which is built off-site and shipped to its destination, is regulated by the U.S. Department of Housing and Urban Development."
29-tim-scott-deregulate,10,City staff warned that fewer projects would be feasible under the costs of the MHA's affordable housing mandates.,Unnamed Group of People,City staff,,
29-tim-scott-deregulate,16,"Landlords are blaming the situation on a mix of higher operating costs and the housing court delays caused by D.C.'s pandemic-era eviction policies, which have allowed tenants to stay for years in their units without paying rent.",Unnamed Group of People,Landlords,,
3-SF renewed-sweeps,20,"Instead, a small group of protesters regrouped at City Hall for a series of chants and short speeches, holding a symbolic police citation for Breed that accused her of violating human rights.",Unnamed Group of People,Protesters,,regrouped at City Hall for a series of chants and short speeches
