,article_w_version,Statement_Match_Rate,Type_Match_Rate,Combined_Statement_Type_Match_Rate,Name_Match_Rate,Type_Name_Match_Rate,Type_Correct_Name_Match_Rate,Title_Match_Rate,Justification_Match_Rate,Title_Justification_Join_Match_Rate,All_Attribute_Accuracy,LLM_Miss_Rate,LLM_Unique_Discover_Rate,Both_Found_Count,Match_Counts,LLM_Unique_Discover_Counts,Total_Unique_Sentences
0,1-Harris-Trump-Reuters-Poll_avg,0.28750000000000003,0.85,0.25,1.0,0.85,1.0,1.0,0.475,0.475,0.1375,0.7124999999999999,0.0,5.75,5.0,0.0,20.0
1,1-Harris-Trump-Reuters-Poll_vv1,0.3,1.0,0.3,1.0,1.0,1.0,1.0,0.5,0.5,0.15,0.7,0.0,6.0,6.0,0.0,20.0
2,1-Harris-Trump-Reuters-Poll_vv3,0.25,0.4,0.1,1.0,0.4,1.0,1.0,0.4,0.4,0.1,0.75,0.0,5.0,2.0,0.0,20.0
3,1-Harris-Trump-Reuters-Poll_vv4,0.3,1.0,0.3,1.0,1.0,1.0,1.0,0.5,0.5,0.15,0.7,0.0,6.0,6.0,0.0,20.0
4,1-Harris-Trump-Reuters-Poll_vv5,0.3,1.0,0.3,1.0,1.0,1.0,1.0,0.5,0.5,0.15,0.7,0.0,6.0,6.0,0.0,20.0
5,10-Nebraska-voting-rights_avg,0.75,1.0,0.75,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.5,0.5,0.625,0.25,0.0,6.0,5.0,0.0,8.0
6,10-Nebraska-voting-rights_vv1,0.75,1.0,0.75,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.5,0.5,0.625,0.25,0.0,6.0,5.0,0.0,8.0
7,10-Nebraska-voting-rights_vv2,0.75,1.0,0.75,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.5,0.5,0.625,0.25,0.0,6.0,5.0,0.0,8.0
8,10-Nebraska-voting-rights_vv3,0.75,1.0,0.75,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.5,0.5,0.625,0.25,0.0,6.0,5.0,0.0,8.0
9,10-Nebraska-voting-rights_vv4,0.75,1.0,0.75,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.5,0.5,0.625,0.25,0.0,6.0,5.0,0.0,8.0
10,10-Nebraska-voting-rights_vv5,0.75,1.0,0.75,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.5,0.5,0.625,0.25,0.0,6.0,5.0,0.0,8.0
11,11-Nebraska-felons-crim-justice_avg,0.51,0.9418181818181818,0.48,0.6472727272727272,0.6472727272727272,0.6866666666666666,0.6472727272727272,0.3927272727272727,0.41090909090909095,0.33,0.49000000000000005,0.0,10.2,6.6,0.0,20.0
12,11-Nebraska-felons-crim-justice_vv1,0.5,1.0,0.5,0.7,0.7,0.7,0.7,0.4,0.4,0.35,0.5,0.0,10.0,7.0,0.0,20.0
13,11-Nebraska-felons-crim-justice_vv2,0.5,0.9,0.45,0.6,0.6,0.6666666666666666,0.6,0.3,0.3,0.3,0.5,0.0,10.0,6.0,0.0,20.0
14,11-Nebraska-felons-crim-justice_vv3,0.5,1.0,0.5,0.7,0.7,0.7,0.7,0.5,0.5,0.35,0.5,0.0,10.0,7.0,0.0,20.0
15,11-Nebraska-felons-crim-justice_vv4,0.55,0.9090909090909091,0.5,0.6363636363636364,0.6363636363636364,0.7,0.6363636363636364,0.36363636363636365,0.45454545454545453,0.35,0.45,0.0,11.0,7.0,0.0,20.0
