,article_w_version,Statement_Match_Rate,Type_Match_Rate,Combined_Statement_Type_Match_Rate,Name_Match_Rate,Type_Name_Match_Rate,Type_Correct_Name_Match_Rate,Title_Match_Rate,Justification_Match_Rate,Title_Justification_Join_Match_Rate,All_Attribute_Accuracy,LLM_Miss_Rate,LLM_Unique_Discover_Rate,Both_Found_Count,Match_Counts,LLM_Unique_Discover_Counts,Total_Unique_Sentences
0,1-Harris-Trump-Reuters-Poll_avg,0.6,0.2219271469271469,0.13333333333333333,0.7024114774114775,0.2219271469271469,1.0,0.7024114774114775,0.1475986975986976,0.1475986975986976,0.11666666666666665,0.39999999999999997,0.06791517661082878,12.0,2.6666666666666665,1.5,21.5
1,1-Harris-Trump-Reuters-Poll_vv1,0.65,0.23076923076923078,0.15,0.7692307692307693,0.23076923076923078,1.0,0.7692307692307693,0.15384615384615385,0.15384615384615385,0.1,0.35,0.09090909090909091,13.0,3.0,2.0,22.0
2,1-Harris-Trump-Reuters-Poll_vv2,0.45,0.2222222222222222,0.1,0.6666666666666666,0.2222222222222222,1.0,0.6666666666666666,0.2222222222222222,0.2222222222222222,0.1,0.55,0.09090909090909091,9.0,2.0,2.0,22.0
3,1-Harris-Trump-Reuters-Poll_vv3,0.7,0.21428571428571427,0.15,0.7142857142857143,0.21428571428571427,1.0,0.7142857142857143,0.07142857142857142,0.07142857142857142,0.15,0.3,0.047619047619047616,14.0,3.0,1.0,21.0
4,1-Harris-Trump-Reuters-Poll_vv4,0.6,0.25,0.15,0.75,0.25,1.0,0.75,0.16666666666666666,0.16666666666666666,0.1,0.4,0.13043478260869565,12.0,3.0,3.0,23.0
5,1-Harris-Trump-Reuters-Poll_vv5,0.7,0.21428571428571427,0.15,0.7142857142857143,0.21428571428571427,1.0,0.7142857142857143,0.07142857142857142,0.07142857142857142,0.15,0.3,0.047619047619047616,14.0,3.0,1.0,21.0
6,1-Harris-Trump-Reuters-Poll_vv6,0.5,0.2,0.1,0.6,0.2,1.0,0.6,0.2,0.2,0.1,0.5,0.0,10.0,2.0,0.0,20.0
7,10-Nebraska-voting-rights_avg,0.75,0.8333333333333334,0.625,1.0,0.8333333333333334,1.0,1.0,0.5,0.6666666666666666,0.625,0.25,0.30043290043290044,6.0,5.0,3.6666666666666665,11.666666666666666
8,10-Nebraska-voting-rights_vv1,0.75,0.8333333333333334,0.625,1.0,0.8333333333333334,1.0,1.0,0.5,0.6666666666666666,0.625,0.25,0.42857142857142855,6.0,5.0,6.0,14.0
9,10-Nebraska-voting-rights_vv2,0.75,0.8333333333333334,0.625,1.0,0.8333333333333334,1.0,1.0,0.5,0.6666666666666666,0.625,0.25,0.2727272727272727,6.0,5.0,3.0,11.0
10,10-Nebraska-voting-rights_vv3,0.75,0.8333333333333334,0.625,1.0,0.8333333333333334,1.0,1.0,0.5,0.6666666666666666,0.625,0.25,0.2,6.0,5.0,2.0,10.0
11,11-Nebraska-felons-crim-justice_avg,0.75,0.8166666666666667,0.6125,0.7166666666666666,0.5833333333333333,0.7147435897435898,0.7166666666666666,0.5666666666666667,0.7333333333333333,0.4375,0.25,0.047619047619047616,15.0,9.75,1.0,21.0
12,11-Nebraska-felons-crim-justice_vv1,0.75,0.8,0.6,0.6666666666666666,0.5333333333333333,0.6666666666666666,0.6666666666666666,0.5333333333333333,0.6666666666666666,0.4,0.25,0.047619047619047616,15.0,9.0,1.0,21.0
13,11-Nebraska-felons-crim-justice_vv2,0.75,0.8666666666666667,0.65,0.7333333333333333,0.6,0.6923076923076923,0.7333333333333333,0.6,0.7333333333333333,0.45,0.25,0.047619047619047616,15.0,10.0,1.0,21.0
14,11-Nebraska-felons-crim-justice_vv3,0.75,0.8,0.6,0.6666666666666666,0.5333333333333333,0.6666666666666666,0.6666666666666666,0.5333333333333333,0.6666666666666666,0.4,0.25,0.047619047619047616,15.0,9.0,1.0,21.0
15,11-Nebraska-felons-crim-justice_vv4,0.75,0.8,0.6,0.8,0.6666666666666666,0.8333333333333334,0.8,0.6,0.8666666666666667,0.5,0.25,0.047619047619047616,15.0,11.0,1.0,21.0
16,12-kids-lead-poisoning_avg,1.0,0.5,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.7261904761904763,2.0,0.0,5.333333333333333,7.333333333333333
17,12-kids-lead-poisoning_vv1,1.0,0.5,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.7142857142857143,2.0,0.0,5.0,7.0
18,12-kids-lead-poisoning_vv2,1.0,0.5,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.75,2.0,0.0,6.0,8.0
19,12-kids-lead-poisoning_vv3,1.0,0.5,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.7142857142857143,2.0,0.0,5.0,7.0
20,13-pilot-curb-evictions_avg,0.9047619047619048,0.5256410256410255,0.4761904761904762,0.49786324786324787,0.49786324786324787,0.9444444444444445,0.49786324786324787,0.576923076923077,0.576923076923077,0.0,0.09523809523809523,0.35353535353535354,12.666666666666666,6.333333333333333,7.666666666666667,21.666666666666668
