,article_w_version,Statement_Match_Rate,Type_Match_Rate,Combined_Statement_Type_Match_Rate,Name_Match_Rate,Type_Name_Match_Rate,Type_Correct_Name_Match_Rate,Title_Match_Rate,Justification_Match_Rate,Title_Justification_Join_Match_Rate,All_Attribute_Accuracy,LLM_Miss_Rate,LLM_Unique_Discover_Rate,Both_Found_Count,Match_Counts,LLM_Unique_Discover_Counts,Total_Unique_Sentences
0,1-Harris-Trump-Reuters-Poll_avg,0.35,0.2857142857142857,0.1,0.42857142857142855,0.2857142857142857,1.0,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.1,0.65,0.047619047619047616,7.0,2.0,1.0,21.0
1,1-Harris-Trump-Reuters-Poll_vv1,0.35,0.2857142857142857,0.1,0.42857142857142855,0.2857142857142857,1.0,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.1,0.65,0.047619047619047616,7.0,2.0,1.0,21.0
2,1-Harris-Trump-Reuters-Poll_vv2,0.35,0.2857142857142857,0.1,0.42857142857142855,0.2857142857142857,1.0,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.1,0.65,0.047619047619047616,7.0,2.0,1.0,21.0
3,1-Harris-Trump-Reuters-Poll_vv3,0.35,0.2857142857142857,0.1,0.42857142857142855,0.2857142857142857,1.0,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.1,0.65,0.047619047619047616,7.0,2.0,1.0,21.0
4,1-Harris-Trump-Reuters-Poll_vv4,0.35,0.2857142857142857,0.1,0.42857142857142855,0.2857142857142857,1.0,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.1,0.65,0.047619047619047616,7.0,2.0,1.0,21.0
5,10-Nebraska-voting-rights_avg,0.5,1.0,0.5,1.0,1.0,1.0,1.0,0.44666666666666666,0.7033333333333334,0.475,0.5,0.08888888888888888,4.0,4.0,0.8,8.8
6,10-Nebraska-voting-rights_vv1,0.5,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.75,0.5,0.5,0.1111111111111111,4.0,4.0,1.0,9.0
7,10-Nebraska-voting-rights_vv2,0.5,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.75,0.5,0.5,0.1111111111111111,4.0,4.0,1.0,9.0
8,10-Nebraska-voting-rights_vv3,0.625,1.0,0.625,1.0,1.0,1.0,1.0,0.4,0.6,0.625,0.375,0.1111111111111111,5.0,5.0,1.0,9.0
9,10-Nebraska-voting-rights_vv4,0.5,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.75,0.5,0.5,0.1111111111111111,4.0,4.0,1.0,9.0
10,10-Nebraska-voting-rights_vv5,0.375,1.0,0.375,1.0,1.0,1.0,1.0,0.3333333333333333,0.6666666666666666,0.25,0.625,0.0,3.0,3.0,0.0,8.0
11,11-Nebraska-felons-crim-justice_avg,0.6199999999999999,0.9714285714285715,0.6,0.9080086580086579,0.9080086580086579,0.9343822843822844,0.9080086580086579,0.2963203463203463,0.3463203463203463,0.38,0.38,0.03809523809523809,12.4,11.2,0.8,20.8
12,11-Nebraska-felons-crim-justice_vv1,0.55,1.0,0.55,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.2727272727272727,0.2727272727272727,0.3,0.45,0.0,11.0,10.0,0.0,20.0
13,11-Nebraska-felons-crim-justice_vv2,0.7,0.9285714285714286,0.65,0.8571428571428571,0.8571428571428571,0.9230769230769231,0.8571428571428571,0.2857142857142857,0.2857142857142857,0.35,0.3,0.047619047619047616,14.0,12.0,1.0,21.0
14,11-Nebraska-felons-crim-justice_vv3,0.55,1.0,0.55,1.0,1.0,1.0,1.0,0.36363636363636365,0.36363636363636365,0.35,0.45,0.047619047619047616,11.0,11.0,1.0,21.0
15,11-Nebraska-felons-crim-justice_vv4,0.7,0.9285714285714286,0.65,0.8571428571428571,0.8571428571428571,0.9230769230769231,0.8571428571428571,0.14285714285714285,0.14285714285714285,0.45,0.3,0.047619047619047616,14.0,12.0,1.0,21.0
16,11-Nebraska-felons-crim-justice_vv5,0.6,1.0,0.6,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.4166666666666667,0.6666666666666666,0.45,0.4,0.047619047619047616,12.0,11.0,1.0,21.0
17,12-kids-lead-poisoning_avg,1.0,0.5,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.6457142857142857,2.0,0.0,3.8,5.8
18,12-kids-lead-poisoning_vv1,1.0,0.5,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.7142857142857143,2.0,0.0,5.0,7.0
19,12-kids-lead-poisoning_vv2,1.0,0.5,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.6,2.0,0.0,3.0,5.0
20,12-kids-lead-poisoning_vv3,1.0,0.5,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.6,2.0,0.0,3.0,5.0
21,12-kids-lead-poisoning_vv4,1.0,0.5,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.7142857142857143,2.0,0.0,5.0,7.0
22,12-kids-lead-poisoning_vv5,1.0,0.5,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.6,2.0,0.0,3.0,5.0
23,13-pilot-curb-evictions_avg,0.48214285714285715,1.0,0.48214285714285715,0.8511904761904762,0.8511904761904762,0.8511904761904762,0.8511904761904762,0.0,0.10714285714285714,0.28571428571428575,0.5178571428571428,0.17647058823529413,6.75,5.75,3.0,17.0
24,13-pilot-curb-evictions_vv1,0.5,1.0,0.5,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.0,0.14285714285714285,0.35714285714285715,0.5,0.17647058823529413,7.0,6.0,3.0,17.0
25,13-pilot-curb-evictions_vv2,0.5,1.0,0.5,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.0,0.14285714285714285,0.35714285714285715,0.5,0.17647058823529413,7.0,6.0,3.0,17.0
26,13-pilot-curb-evictions_vv3,0.42857142857142855,1.0,0.42857142857142855,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.0,0.0,0.07142857142857142,0.5714285714285714,0.17647058823529413,6.0,5.0,3.0,17.0
27,13-pilot-curb-evictions_vv5,0.5,1.0,0.5,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.0,0.14285714285714285,0.35714285714285715,0.5,0.17647058823529413,7.0,6.0,3.0,17.0
28,14-many-police-calls_avg,0.5739130434782608,0.9230769230769231,0.5304347826086957,0.9087912087912088,0.9087912087912088,0.9857142857142858,0.9087912087912088,0.3813186813186813,0.7615384615384615,0.4782608695652174,0.42608695652173917,0.13368700265251993,13.2,12.0,3.6,26.6
29,14-many-police-calls_vv1,0.6086956521739131,1.0,0.6086956521739131,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.21428571428571427,0.5,0.391304347826087,0.391304347826087,0.20689655172413793,14.0,13.0,6.0,29.0
30,14-many-police-calls_vv2,0.5652173913043478,0.9230769230769231,0.5217391304347826,0.9230769230769231,0.9230769230769231,1.0,0.9230769230769231,0.46153846153846156,1.0,0.5217391304347826,0.43478260869565216,0.11538461538461539,13.0,12.0,3.0,26.0
31,14-many-police-calls_vv3,0.5652173913043478,0.9230769230769231,0.5217391304347826,0.9230769230769231,0.9230769230769231,1.0,0.9230769230769231,0.46153846153846156,1.0,0.5217391304347826,0.43478260869565216,0.11538461538461539,13.0,12.0,3.0,26.0
32,14-many-police-calls_vv4,0.5652173913043478,0.8461538461538461,0.4782608695652174,0.8461538461538461,0.8461538461538461,1.0,0.8461538461538461,0.3076923076923077,0.3076923076923077,0.43478260869565216,0.43478260869565216,0.11538461538461539,13.0,11.0,3.0,26.0
33,14-many-police-calls_vv5,0.5652173913043478,0.9230769230769231,0.5217391304347826,0.9230769230769231,0.9230769230769231,1.0,0.9230769230769231,0.46153846153846156,1.0,0.5217391304347826,0.43478260869565216,0.11538461538461539,13.0,12.0,3.0,26.0
34,15-Newsom-declares-emergency_avg,0.5866666666666667,1.0,0.5866666666666667,0.7224175824175825,0.7224175824175825,0.7224175824175825,0.7224175824175825,0.20505494505494504,0.4826373626373626,0.16,0.4133333333333333,0.1126934984520124,8.8,7.6,2.0,17.0
35,15-Newsom-declares-emergency_vv1,0.4666666666666667,1.0,0.4666666666666667,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.14285714285714285,0.42857142857142855,0.13333333333333333,0.5333333333333333,0.11764705882352941,7.0,6.0,2.0,17.0
36,15-Newsom-declares-emergency_vv2,0.8666666666666667,1.0,0.8666666666666667,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.15384615384615385,0.38461538461538464,0.2,0.13333333333333333,0.21052631578947367,13.0,11.0,4.0,19.0
37,15-Newsom-declares-emergency_vv3,0.4666666666666667,1.0,0.4666666666666667,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.2857142857142857,0.5714285714285714,0.13333333333333333,0.5333333333333333,0.11764705882352941,7.0,6.0,2.0,17.0
38,15-Newsom-declares-emergency_vv4,0.6666666666666666,1.0,0.6666666666666666,0.7,0.7,0.7,0.7,0.3,0.6,0.2,0.3333333333333333,0.0,10.0,9.0,0.0,15.0
39,15-Newsom-declares-emergency_vv5,0.4666666666666667,1.0,0.4666666666666667,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.14285714285714285,0.42857142857142855,0.13333333333333333,0.5333333333333333,0.11764705882352941,7.0,6.0,2.0,17.0
40,16-America's-Sleeping-Giant_avg,0.6,0.9464285714285715,0.5692307692307692,0.5646825396825397,0.5111111111111111,0.5361111111111111,0.6813492063492064,0.04722222222222222,0.34404761904761905,0.21538461538461542,0.4,0.0819047619047619,7.8,5.0,1.2,14.2
41,16-America's-Sleeping-Giant_vv1,0.5384615384615384,1.0,0.5384615384615384,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.0,0.14285714285714285,0.15384615384615385,0.46153846153846156,0.07142857142857142,7.0,4.0,1.0,14.0
42,16-America's-Sleeping-Giant_vv2,0.6923076923076923,1.0,0.6923076923076923,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.8888888888888888,0.1111111111111111,0.6666666666666666,0.23076923076923078,0.3076923076923077,0.07142857142857142,9.0,8.0,1.0,14.0
43,16-America's-Sleeping-Giant_vv3,0.5384615384615384,0.8571428571428571,0.46153846153846156,0.5714285714285714,0.42857142857142855,0.5,0.5714285714285714,0.0,0.2857142857142857,0.23076923076923078,0.46153846153846156,0.13333333333333333,7.0,3.0,2.0,15.0
44,16-America's-Sleeping-Giant_vv4,0.6153846153846154,0.875,0.5384615384615384,0.5,0.375,0.42857142857142855,0.5,0.0,0.25,0.23076923076923078,0.38461538461538464,0.13333333333333333,8.0,3.0,2.0,15.0
45,16-America's-Sleeping-Giant_vv5,0.6153846153846154,1.0,0.6153846153846154,0.625,0.625,0.625,0.875,0.125,0.375,0.23076923076923078,0.38461538461538464,0.0,8.0,7.0,0.0,13.0
46,17-homelessness-santa-clara_avg,0.63,0.7466666666666667,0.47000000000000003,0.9733333333333334,0.7333333333333333,0.9818181818181818,0.9733333333333334,0.0,0.0,0.32,0.37,0.009523809523809523,12.6,9.2,0.2,20.2
47,17-homelessness-santa-clara_vv1,0.6,0.75,0.45,1.0,0.75,1.0,1.0,0.0,0.0,0.3,0.4,0.0,12.0,9.0,0.0,20.0
48,17-homelessness-santa-clara_vv2,0.6,0.75,0.45,1.0,0.75,1.0,1.0,0.0,0.0,0.3,0.4,0.0,12.0,9.0,0.0,20.0
49,17-homelessness-santa-clara_vv3,0.6,0.75,0.45,1.0,0.75,1.0,1.0,0.0,0.0,0.3,0.4,0.0,12.0,9.0,0.0,20.0
50,17-homelessness-santa-clara_vv4,0.75,0.7333333333333333,0.55,0.8666666666666667,0.6666666666666666,0.9090909090909091,0.8666666666666667,0.0,0.0,0.4,0.25,0.047619047619047616,15.0,10.0,1.0,21.0
51,17-homelessness-santa-clara_vv5,0.6,0.75,0.45,1.0,0.75,1.0,1.0,0.0,0.0,0.3,0.4,0.0,12.0,9.0,0.0,20.0
52,18-wyoming-primary-dems_avg,0.5692307692307692,0.925,0.523076923076923,0.95,0.925,1.0,0.925,0.11071428571428572,0.11071428571428572,0.3692307692307692,0.43076923076923085,0.12324929971988796,7.4,6.8,2.4,15.4
53,18-wyoming-primary-dems_vv1,0.5384615384615384,1.0,0.5384615384615384,1.0,1.0,1.0,1.0,0.14285714285714285,0.14285714285714285,0.38461538461538464,0.46153846153846156,0.0,7.0,7.0,0.0,13.0
54,18-wyoming-primary-dems_vv2,0.5384615384615384,1.0,0.5384615384615384,1.0,1.0,1.0,1.0,0.14285714285714285,0.14285714285714285,0.38461538461538464,0.46153846153846156,0.0,7.0,7.0,0.0,13.0
55,18-wyoming-primary-dems_vv3,0.6153846153846154,0.75,0.46153846153846156,0.875,0.75,1.0,0.75,0.0,0.0,0.3076923076923077,0.38461538461538464,0.38095238095238093,8.0,6.0,8.0,21.0
56,18-wyoming-primary-dems_vv4,0.6153846153846154,0.875,0.5384615384615384,0.875,0.875,1.0,0.875,0.125,0.125,0.38461538461538464,0.38461538461538464,0.23529411764705882,8.0,7.0,4.0,17.0
57,18-wyoming-primary-dems_vv5,0.5384615384615384,1.0,0.5384615384615384,1.0,1.0,1.0,1.0,0.14285714285714285,0.14285714285714285,0.38461538461538464,0.46153846153846156,0.0,7.0,7.0,0.0,13.0
58,19-oakland-sues-SW-airlines_avg,0.35,0.9333333333333332,0.3333333333333333,0.6933333333333334,0.6933333333333334,0.76,0.6933333333333334,0.32333333333333336,0.5133333333333333,0.16666666666666666,0.65,0.05934065934065934,4.2,2.8,0.8,12.8
59,19-oakland-sues-SW-airlines_vv1,0.25,1.0,0.25,1.0,1.0,1.0,1.0,0.3333333333333333,0.6666666666666666,0.16666666666666666,0.75,0.0,3.0,3.0,0.0,12.0
60,19-oakland-sues-SW-airlines_vv2,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.5,0.07692307692307693,6.0,3.0,1.0,13.0
61,19-oakland-sues-SW-airlines_vv3,0.25,0.6666666666666666,0.16666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.16666666666666666,0.75,0.0,3.0,2.0,0.0,12.0
62,19-oakland-sues-SW-airlines_vv4,0.3333333333333333,1.0,0.3333333333333333,0.5,0.5,0.5,0.5,0.25,0.5,0.16666666666666666,0.6666666666666666,0.07692307692307693,4.0,2.0,1.0,13.0
63,19-oakland-sues-SW-airlines_vv5,0.4166666666666667,1.0,0.4166666666666667,0.8,0.8,0.8,0.8,0.2,0.4,0.16666666666666666,0.5833333333333334,0.14285714285714285,5.0,4.0,2.0,14.0
