,article_w_version,Statement_Match_Rate,Type_Match_Rate,Combined_Statement_Type_Match_Rate,Name_Match_Rate,Type_Name_Match_Rate,Type_Correct_Name_Match_Rate,Title_Match_Rate,Justification_Match_Rate,Title_Justification_Join_Match_Rate,All_Attribute_Accuracy,LLM_Miss_Rate,LLM_Unique_Discover_Rate,Both_Found_Count,Match_Counts,LLM_Unique_Discover_Counts,Total_Unique_Sentences
0,1-Harris-Trump-Reuters-Poll_avg,0.6699999999999999,0.2290909090909091,0.15,0.7442424242424244,0.2290909090909091,1.0,0.7442424242424244,0.16606060606060608,0.2290909090909091,0.15,0.32999999999999996,0.06493506493506493,13.4,3.0,1.4,21.4
6,10-Nebraska-voting-rights_avg,0.75,1.0,0.75,1.0,1.0,1.0,1.0,0.5,0.6666666666666666,0.5,0.25,0.1822222222222222,6.0,6.0,1.8,9.8
12,11-Nebraska-felons-crim-justice_avg,0.76,0.8039285714285714,0.6100000000000001,0.8154761904761905,0.6835714285714285,0.8525641025641025,0.8154761904761905,0.4722619047619047,0.7619047619047619,0.49000000000000005,0.24,0.03722943722943723,15.2,11.4,0.8,20.8
18,12-kids-lead-poisoning_avg,1.0,0.5,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.3333333333333333,2.0,0.0,1.0,3.0
20,13-pilot-curb-evictions_avg,0.5857142857142856,0.6041558441558441,0.3428571428571428,0.585974025974026,0.585974025974026,0.95,0.585974025974026,0.07272727272727272,0.07272727272727272,0.08571428571428572,0.4142857142857143,0.44861538461538464,8.2,4.6,11.4,25.4
26,14-many-police-calls_avg,0.3826086956521739,0.4339393939393939,0.1826086956521739,0.34606060606060607,0.34606060606060607,0.8,0.5836363636363636,0.23696969696969697,0.6781818181818182,0.13043478260869565,0.6173913043478262,0.008333333333333333,8.8,4.2,0.2,23.2
32,15-Newsom-declares-emergency_avg,0.6933333333333332,0.7890909090909091,0.5466666666666666,0.750909090909091,0.6927272727272726,0.8777777777777779,0.750909090909091,0.13454545454545455,0.28181818181818186,0.29333333333333333,0.30666666666666664,0.21400560224089635,10.4,7.2,4.2,19.2
38,16-America's-Sleeping-Giant_avg,0.6153846153846153,0.975,0.6,0.6511904761904762,0.6511904761904762,0.6690476190476191,0.6511904761904762,0.1257936507936508,0.296031746031746,0.18461538461538463,0.38461538461538464,0.16583333333333333,8.0,5.2,2.6,15.6
44,17-homelessness-santa-clara_avg,0.4800000000000001,0.5424242424242424,0.26,0.768080808080808,0.5242424242424242,0.9666666666666668,0.768080808080808,0.06444444444444444,0.19333333333333333,0.2,0.5199999999999999,0.047619047619047616,9.6,5.0,1.0,21.0
50,18-wyoming-primary-dems_avg,0.6153846153846154,0.875,0.5384615384615384,0.875,0.875,1.0,0.875,0.425,0.425,0.44615384615384623,0.38461538461538464,0.13333333333333333,8.0,7.0,2.0,15.0
