,article_w_version,Statement_Match_Rate,Type_Match_Rate,Combined_Statement_Type_Match_Rate,Name_Match_Rate,Type_Name_Match_Rate,Type_Correct_Name_Match_Rate,Title_Match_Rate,Justification_Match_Rate,Title_Justification_Join_Match_Rate,All_Attribute_Accuracy,LLM_Miss_Rate,LLM_Unique_Discover_Rate,Both_Found_Count,Match_Counts,LLM_Unique_Discover_Counts,Total_Unique_Sentences
0,1-Harris-Trump-Reuters-Poll_avg,0.6,0.2219271469271469,0.13333333333333333,0.7024114774114775,0.2219271469271469,1.0,0.7024114774114775,0.1475986975986976,0.1475986975986976,0.11666666666666665,0.39999999999999997,0.06791517661082878,12.0,2.6666666666666665,1.5,21.5
7,10-Nebraska-voting-rights_avg,0.75,0.8333333333333334,0.625,1.0,0.8333333333333334,1.0,1.0,0.5,0.6666666666666666,0.625,0.25,0.30043290043290044,6.0,5.0,3.6666666666666665,11.666666666666666
11,11-Nebraska-felons-crim-justice_avg,0.75,0.8166666666666667,0.6125,0.7166666666666666,0.5833333333333333,0.7147435897435898,0.7166666666666666,0.5,0.7,0.4375,0.25,0.047619047619047616,15.0,9.75,1.0,21.0
16,12-kids-lead-poisoning_avg,1.0,0.5,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.7261904761904763,2.0,0.0,5.333333333333333,7.333333333333333
20,13-pilot-curb-evictions_avg,0.9047619047619048,0.5256410256410255,0.4761904761904762,0.49786324786324787,0.49786324786324787,0.9444444444444445,0.49786324786324787,0.576923076923077,0.576923076923077,0.0,0.09523809523809523,0.35353535353535354,12.666666666666666,6.333333333333333,7.666666666666667,21.666666666666668
24,14-many-police-calls_avg,0.7304347826086955,0.9057189542483659,0.6608695652173914,0.4519607843137255,0.4401960784313726,0.4883333333333333,0.7184640522875817,0.40915032679738567,0.6588235294117647,0.2782608695652174,0.26956521739130435,0.2565149408433613,16.8,14.0,8.0,31.0
30,15-Newsom-declares-emergency_avg,0.8666666666666667,0.923076923076923,0.8000000000000002,0.7692307692307693,0.7692307692307693,0.8333333333333334,0.7692307692307693,0.25641025641025644,0.4102564102564103,0.4000000000000001,0.13333333333333333,0.2619047619047619,13.0,11.0,5.333333333333333,20.333333333333332
34,16-America's-Sleeping-Giant_avg,0.6923076923076923,0.9165584415584416,0.6346153846153847,0.7643668831168832,0.7393668831168831,0.8118055555555556,0.7643668831168832,0.08969155844155843,0.2043831168831169,0.28846153846153844,0.3076923076923077,0.27321771099744246,9.0,6.75,5.25,18.25
39,17-homelessness-santa-clara_avg,0.6,0.75,0.45,0.6666666666666666,0.5833333333333334,0.7777777777777778,0.6666666666666666,0.0,0.0,0.25,0.4000000000000001,0.015873015873015872,12.0,7.0,0.3333333333333333,20.333333333333332
43,18-wyoming-primary-dems_avg,0.6923076923076923,0.8016666666666667,0.5538461538461539,0.8216666666666667,0.8016666666666667,1.0,0.71,0.41,0.41,0.4615384615384615,0.3076923076923077,0.17666666666666667,9.0,7.2,2.8,15.8
