,article_w_version,Statement_Match_Rate,Type_Match_Rate,Combined_Statement_Type_Match_Rate,Name_Match_Rate,Type_Name_Match_Rate,Type_Correct_Name_Match_Rate,Title_Match_Rate,Justification_Match_Rate,Title_Justification_Join_Match_Rate,All_Attribute_Accuracy,LLM_Miss_Rate,LLM_Unique_Discover_Rate,Both_Found_Count,Match_Counts,LLM_Unique_Discover_Counts,Total_Unique_Sentences
0,1-Harris-Trump-Reuters-Poll_avg,0.5700000000000001,1.0,0.5700000000000001,1.0,1.0,1.0,1.0,0.8153846153846154,0.8153846153846154,0.15,0.43,0.08063241106719368,11.4,11.4,1.8,21.8
6,10-Nebraska-voting-rights_avg,0.825,0.8285714285714286,0.675,0.9142857142857143,0.8285714285714286,1.0,0.9142857142857143,0.45714285714285713,0.6095238095238095,0.675,0.175,0.48888888888888893,6.6,5.4,8.0,16.0
12,11-Nebraska-felons-crim-justice_avg,0.8875,1.0,0.8875,1.0,1.0,1.0,1.0,0.5915032679738562,0.747549019607843,0.8375,0.11249999999999999,0.32736823361823364,17.75,17.75,10.25,30.25
17,12-kids-lead-poisoning_avg,1.0,0.5,0.5,0.5,0.0,0.0,0.5,1.0,1.0,0.0,0.0,0.3333333333333333,2.0,1.0,1.0,3.0
23,13-pilot-curb-evictions_avg,0.9571428571428573,0.8505494505494505,0.8142857142857143,0.7164835164835165,0.7164835164835165,0.8444444444444444,0.7164835164835165,0.10329670329670329,0.265934065934066,0.6142857142857143,0.04285714285714286,0.6033685268979387,13.4,9.6,21.4,35.4
29,14-many-police-calls_avg,0.8869565217391303,0.8634920634920634,0.7652173913043478,0.8253968253968255,0.8253968253968255,0.9555555555555555,0.8253968253968255,0.24126984126984122,0.33015873015873015,0.7304347826086957,0.11304347826086958,0.17818847818847822,20.4,16.8,5.2,28.2
35,15-Newsom-declares-emergency_avg,0.8933333333333333,0.7615384615384616,0.6799999999999999,0.6857142857142857,0.6714285714285715,0.8814141414141414,0.7164835164835165,0.22417582417582418,0.34725274725274724,0.31999999999999995,0.10666666666666666,0.2606951871657754,13.4,9.2,5.8,20.8
41,16-America's-Sleeping-Giant_avg,0.6461538461538461,0.9355555555555555,0.6,0.8784126984126983,0.8139682539682539,0.8706349206349205,0.8784126984126983,0.3212698412698412,0.4228571428571429,0.46153846153846156,0.3538461538461539,0.06607142857142856,8.4,6.8,1.0,14.0
47,17-homelessness-santa-clara_avg,0.72,0.6964884135472371,0.51,0.7500178253119429,0.6783065953654189,0.9714285714285715,0.7500178253119429,0.3379322638146167,0.4611586452762923,0.5,0.27999999999999997,0.027705627705627706,14.4,10.0,0.6,20.6
53,18-wyoming-primary-dems_avg,1.0,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,1.0,0.9230769230769231,0.15384615384615383,0.15384615384615383,0.46153846153846156,0.0,0.5177522349936143,13.0,12.0,14.0,27.0
59,19-oakland-sues-SW-airlines_avg,0.4833333333333333,0.8880952380952382,0.41666666666666663,0.7726190476190475,0.7726190476190475,0.86,0.7726190476190475,0.6619047619047619,0.6904761904761905,0.1833333333333333,0.5166666666666666,0.12380952380952381,5.8,4.2,2.0,14.0
65,2-Best-DDR-player_avg,0.8380952380952381,0.8106398348813209,0.6761904761904762,0.8311661506707946,0.8106398348813209,1.0,0.8311661506707946,0.40434468524251804,0.40434468524251804,0.30476190476190473,0.16190476190476188,0.28539300202839757,17.6,14.2,8.8,29.8
