,article_w_version,Statement_Match_Rate,Type_Match_Rate,Combined_Statement_Type_Match_Rate,Name_Match_Rate,Type_Name_Match_Rate,Type_Correct_Name_Match_Rate,Title_Match_Rate,Justification_Match_Rate,Title_Justification_Join_Match_Rate,All_Attribute_Accuracy,LLM_Miss_Rate,LLM_Unique_Discover_Rate,Both_Found_Count,Match_Counts,LLM_Unique_Discover_Counts,Total_Unique_Sentences
0,1-Harris-Trump-Reuters-Poll_avg,0.4,0.25,0.1,0.625,0.25,1.0,0.625,0.25,0.25,0.1,0.6,0.0,8.0,2.0,0.0,20.0
1,1-Harris-Trump-Reuters-Poll_vv3,0.4,0.25,0.1,0.625,0.25,1.0,0.625,0.25,0.25,0.1,0.6,0.0,8.0,2.0,0.0,20.0
2,11-Nebraska-felons-crim-justice_avg,0.65,0.9230769230769231,0.6,0.7692307692307693,0.7692307692307693,0.8333333333333334,0.7692307692307693,0.46153846153846156,0.5384615384615384,0.4,0.35,0.0,13.0,10.0,0.0,20.0
3,11-Nebraska-felons-crim-justice_vv3,0.65,0.9230769230769231,0.6,0.7692307692307693,0.7692307692307693,0.8333333333333334,0.7692307692307693,0.46153846153846156,0.5384615384615384,0.4,0.35,0.0,13.0,10.0,0.0,20.0
4,13-pilot-curb-evictions_avg,1.0,0.7142857142857143,0.7142857142857143,0.6428571428571429,0.6428571428571429,0.9,0.6428571428571429,0.5,0.5,0.6428571428571429,0.0,0.631578947368421,14.0,9.0,24.0,38.0
5,13-pilot-curb-evictions_vv3,1.0,0.7142857142857143,0.7142857142857143,0.6428571428571429,0.6428571428571429,0.9,0.6428571428571429,0.5,0.5,0.6428571428571429,0.0,0.631578947368421,14.0,9.0,24.0,38.0
6,14-many-police-calls_avg,0.6956521739130435,0.9375,0.6521739130434783,0.5,0.5,0.5333333333333333,0.6875,0.5,0.8125,0.30434782608695654,0.30434782608695654,0.17857142857142858,16.0,15.0,5.0,28.0
7,14-many-police-calls_vv3,0.6956521739130435,0.9375,0.6521739130434783,0.5,0.5,0.5333333333333333,0.6875,0.5,0.8125,0.30434782608695654,0.30434782608695654,0.17857142857142858,16.0,15.0,5.0,28.0
8,16-America's-Sleeping-Giant_avg,0.6153846153846154,1.0,0.6153846153846154,0.875,0.875,0.875,0.875,0.125,0.25,0.3076923076923077,0.38461538461538464,0.1875,8.0,7.0,3.0,16.0
9,16-America's-Sleeping-Giant_vv3,0.6153846153846154,1.0,0.6153846153846154,0.875,0.875,0.875,0.875,0.125,0.25,0.3076923076923077,0.38461538461538464,0.1875,8.0,7.0,3.0,16.0
10,18-wyoming-primary-dems_avg,0.8461538461538461,0.7272727272727273,0.6153846153846154,0.8181818181818182,0.7272727272727273,1.0,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.5384615384615384,0.15384615384615385,0.13333333333333333,11.0,8.0,2.0,15.0
11,18-wyoming-primary-dems_vv3,0.8461538461538461,0.7272727272727273,0.6153846153846154,0.8181818181818182,0.7272727272727273,1.0,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.5384615384615384,0.15384615384615385,0.13333333333333333,11.0,8.0,2.0,15.0
12,19-oakland-sues-SW-airlines_avg,0.6666666666666666,0.875,0.5833333333333334,0.5,0.5,0.5714285714285714,0.5,0.125,0.125,0.16666666666666666,0.3333333333333333,0.14285714285714285,8.0,4.0,2.0,14.0
13,19-oakland-sues-SW-airlines_vv3,0.6666666666666666,0.875,0.5833333333333334,0.5,0.5,0.5714285714285714,0.5,0.125,0.125,0.16666666666666666,0.3333333333333333,0.14285714285714285,8.0,4.0,2.0,14.0
14,23-black-landowners-11mins_avg,0.5625,0.6666666666666666,0.375,0.5555555555555556,0.5555555555555556,0.8333333333333334,0.5555555555555556,0.4444444444444444,0.6666666666666666,0.25,0.4375,0.2,9.0,5.0,4.0,20.0
15,23-black-landowners-11mins_vv3,0.5625,0.6666666666666666,0.375,0.5555555555555556,0.5555555555555556,0.8333333333333334,0.5555555555555556,0.4444444444444444,0.6666666666666666,0.25,0.4375,0.2,9.0,5.0,4.0,20.0
16,25-ballot-access-trans_avg,0.5945945945945946,0.8636363636363636,0.5135135135135135,0.9090909090909091,0.8181818181818182,0.9473684210526315,0.9090909090909091,0.13636363636363635,0.4090909090909091,0.40540540540540543,0.40540540540540543,0.26,22.0,17.0,13.0,50.0
