,article_w_version,Statement_Match_Rate,Type_Match_Rate,Combined_Statement_Type_Match_Rate,Name_Match_Rate,Type_Name_Match_Rate,Type_Correct_Name_Match_Rate,Title_Match_Rate,Justification_Match_Rate,Title_Justification_Join_Match_Rate,All_Attribute_Accuracy,LLM_Miss_Rate,LLM_Unique_Discover_Rate,Both_Found_Count,Match_Counts,LLM_Unique_Discover_Counts,Total_Unique_Sentences
0,1-Harris-Trump-Reuters-Poll_avg,0.55,0.18181818181818182,0.1,0.6818181818181819,0.18181818181818182,1.0,0.6818181818181819,0.18181818181818182,0.18181818181818182,0.1,0.45,0.023809523809523808,11.0,2.0,0.5,20.5
1,1-Harris-Trump-Reuters-Poll_vv3,0.55,0.18181818181818182,0.1,0.6363636363636364,0.18181818181818182,1.0,0.6363636363636364,0.18181818181818182,0.18181818181818182,0.1,0.45,0.047619047619047616,11.0,2.0,1.0,21.0
2,1-Harris-Trump-Reuters-Poll_vv4,0.55,0.18181818181818182,0.1,0.7272727272727273,0.18181818181818182,1.0,0.7272727272727273,0.18181818181818182,0.18181818181818182,0.1,0.45,0.0,11.0,2.0,0.0,20.0
3,10-Nebraska-voting-rights_avg,0.8125,0.8452380952380952,0.6875,0.9285714285714286,0.7738095238095238,0.9166666666666667,0.9285714285714286,0.4642857142857143,0.6190476190476191,0.625,0.1875,0.1919191919191919,6.5,5.0,2.0,10.0
4,10-Nebraska-voting-rights_vv3,0.75,0.8333333333333334,0.625,1.0,0.8333333333333334,1.0,1.0,0.5,0.6666666666666666,0.625,0.25,0.2727272727272727,6.0,5.0,3.0,11.0
5,10-Nebraska-voting-rights_vv4,0.875,0.8571428571428571,0.75,0.8571428571428571,0.7142857142857143,0.8333333333333334,0.8571428571428571,0.42857142857142855,0.5714285714285714,0.625,0.125,0.1111111111111111,7.0,5.0,1.0,9.0
6,11-Nebraska-felons-crim-justice_avg,0.7833333333333332,0.8534356725146198,0.6666666666666666,0.7664473684210527,0.7002923976608186,0.8222222222222223,0.7664473684210527,0.4247076023391813,0.6403508771929824,0.5499999999999999,0.2166666666666667,0.3326364692218351,15.666666666666666,11.0,11.333333333333334,31.333333333333332
7,11-Nebraska-felons-crim-justice_vv3,0.6,0.8333333333333334,0.5,0.75,0.6666666666666666,0.8,0.75,0.5833333333333334,0.75,0.4,0.4,0.2,12.0,8.0,5.0,25.0
8,11-Nebraska-felons-crim-justice_vv4,0.8,0.9375,0.75,0.8125,0.75,0.8,0.8125,0.375,0.75,0.6,0.2,0.2857142857142857,16.0,12.0,8.0,28.0
9,11-Nebraska-felons-crim-justice_vv5,0.95,0.7894736842105263,0.75,0.7368421052631579,0.6842105263157895,0.8666666666666667,0.7368421052631579,0.3157894736842105,0.42105263157894735,0.65,0.05,0.5121951219512195,19.0,13.0,21.0,41.0
10,12-kids-lead-poisoning_avg,1.0,0.5,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.75,2.0,0.0,6.0,8.0
11,12-kids-lead-poisoning_vv3,1.0,0.5,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.75,2.0,0.0,6.0,8.0
12,12-kids-lead-poisoning_vv4,1.0,0.5,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.75,2.0,0.0,6.0,8.0
13,12-kids-lead-poisoning_vv5,1.0,0.5,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.75,2.0,0.0,6.0,8.0
14,13-pilot-curb-evictions_avg,0.8928571428571428,0.4675324675324675,0.42857142857142855,0.4675324675324675,0.4675324675324675,1.0,0.4675324675324675,0.4675324675324675,0.5584415584415584,0.35714285714285715,0.10714285714285714,0.4825268817204301,12.5,6.0,13.5,27.5
15,13-pilot-curb-evictions_vv3,0.7857142857142857,0.36363636363636365,0.2857142857142857,0.36363636363636365,0.36363636363636365,1.0,0.36363636363636365,0.36363636363636365,0.5454545454545454,0.21428571428571427,0.21428571428571427,0.4166666666666667,11.0,4.0,10.0,24.0
16,13-pilot-curb-evictions_vv4,1.0,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,1.0,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5,0.0,0.5483870967741935,14.0,8.0,17.0,31.0
17,14-many-police-calls_avg,0.7391304347826088,0.8833161334709322,0.6521739130434782,0.5468868249054007,0.529342965256278,0.6041666666666666,0.74812521499828,0.4647402820777433,0.7569315445476437,0.3333333333333333,0.2608695652173913,0.15887820512820514,17.0,13.666666666666666,4.666666666666667,27.666666666666668
18,14-many-police-calls_vv3,0.6521739130434783,0.8666666666666667,0.5652173913043478,0.8666666666666667,0.8666666666666667,1.0,0.8666666666666667,0.6666666666666666,0.9333333333333333,0.5217391304347826,0.34782608695652173,0.08,15.0,13.0,2.0,25.0
19,14-many-police-calls_vv4,0.8260869565217391,0.8421052631578947,0.6956521739130435,0.42105263157894735,0.3684210526315789,0.4375,0.7894736842105263,0.3157894736842105,0.631578947368421,0.2608695652173913,0.17391304347826086,0.11538461538461539,19.0,14.0,3.0,26.0
20,14-many-police-calls_vv5,0.7391304347826086,0.9411764705882353,0.6956521739130435,0.35294117647058826,0.35294117647058826,0.375,0.5882352941176471,0.4117647058823529,0.7058823529411765,0.21739130434782608,0.2608695652173913,0.28125,17.0,14.0,9.0,32.0
21,15-Newsom-declares-emergency_avg,0.9111111111111111,0.8791208791208791,0.8000000000000002,0.7326007326007327,0.7326007326007327,0.8333333333333334,0.7326007326007327,0.07326007326007326,0.36630036630036633,0.2888888888888889,0.08888888888888889,0.2694508009153318,13.666666666666666,11.0,5.666666666666667,20.666666666666668
22,15-Newsom-declares-emergency_vv3,0.8666666666666667,0.9230769230769231,0.8,0.7692307692307693,0.7692307692307693,0.8333333333333334,0.7692307692307693,0.07692307692307693,0.38461538461538464,0.26666666666666666,0.13333333333333333,0.21052631578947367,13.0,11.0,4.0,19.0
23,15-Newsom-declares-emergency_vv4,0.9333333333333333,0.8571428571428571,0.8,0.7142857142857143,0.7142857142857143,0.8333333333333334,0.7142857142857143,0.07142857142857142,0.35714285714285715,0.3333333333333333,0.06666666666666667,0.25,14.0,11.0,5.0,20.0
24,15-Newsom-declares-emergency_vv5,0.9333333333333333,0.8571428571428571,0.8,0.7142857142857143,0.7142857142857143,0.8333333333333334,0.7142857142857143,0.07142857142857142,0.35714285714285715,0.26666666666666666,0.06666666666666667,0.34782608695652173,14.0,11.0,8.0,23.0
25,16-America's-Sleeping-Giant_avg,0.6153846153846154,0.9166666666666667,0.576923076923077,0.7833333333333333,0.7,0.75,0.7833333333333333,0.13333333333333333,0.18333333333333335,0.2692307692307693,0.3846153846153846,0.09375,8.0,6.0,1.5,14.5
26,16-America's-Sleeping-Giant_vv4,0.7692307692307693,1.0,0.7692307692307693,0.9,0.9,0.9,0.9,0.1,0.2,0.38461538461538464,0.23076923076923078,0.0,10.0,9.0,0.0,13.0
27,16-America's-Sleeping-Giant_vv5,0.46153846153846156,0.8333333333333334,0.38461538461538464,0.6666666666666666,0.5,0.6,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.15384615384615385,0.5384615384615384,0.1875,6.0,3.0,3.0,16.0
28,17-homelessness-santa-clara_avg,0.5666666666666668,0.73986013986014,0.4166666666666667,0.7778554778554779,0.7142191142191142,0.9629629629629629,0.7778554778554779,0.0,0.0,0.31666666666666665,0.43333333333333335,0.043478260869565216,11.333333333333334,8.0,1.0,21.0
