,article_w_version,Statement_Match_Rate,Type_Match_Rate,Combined_Statement_Type_Match_Rate,Name_Match_Rate,Type_Name_Match_Rate,Type_Correct_Name_Match_Rate,Title_Match_Rate,Justification_Match_Rate,Title_Justification_Join_Match_Rate,All_Attribute_Accuracy,LLM_Miss_Rate,LLM_Unique_Discover_Rate,Both_Found_Count,Match_Counts,LLM_Unique_Discover_Counts,Total_Unique_Sentences
0,1-Harris-Trump-Reuters-Poll_avg,0.5,0.2,0.1,0.8,0.2,1.0,0.8,0.2,0.2,0.1,0.5,0.0,10.0,2.0,0.0,20.0
1,1-Harris-Trump-Reuters-Poll_vv3,0.5,0.2,0.1,0.8,0.2,1.0,0.8,0.2,0.2,0.1,0.5,0.0,10.0,2.0,0.0,20.0
2,10-Nebraska-voting-rights_avg,0.75,0.8333333333333334,0.625,1.0,0.8333333333333334,1.0,1.0,0.6666666666666666,0.6666666666666666,0.625,0.25,0.2,6.0,5.0,2.0,10.0
3,10-Nebraska-voting-rights_vv3,0.75,0.8333333333333334,0.625,1.0,0.8333333333333334,1.0,1.0,0.6666666666666666,0.6666666666666666,0.625,0.25,0.2,6.0,5.0,2.0,10.0
4,11-Nebraska-felons-crim-justice_avg,0.75,0.8,0.6,0.6666666666666666,0.5333333333333333,0.6666666666666666,0.6666666666666666,0.4666666666666667,0.6,0.4,0.25,0.047619047619047616,15.0,9.0,1.0,21.0
5,11-Nebraska-felons-crim-justice_vv3,0.75,0.8,0.6,0.6666666666666666,0.5333333333333333,0.6666666666666666,0.6666666666666666,0.4666666666666667,0.6,0.4,0.25,0.047619047619047616,15.0,9.0,1.0,21.0
6,12-kids-lead-poisoning_avg,1.0,0.5,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.7142857142857143,2.0,0.0,5.0,7.0
7,12-kids-lead-poisoning_vv3,1.0,0.5,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.7142857142857143,2.0,0.0,5.0,7.0
8,13-pilot-curb-evictions_avg,0.7857142857142857,0.5454545454545454,0.42857142857142855,0.45454545454545453,0.45454545454545453,0.8333333333333334,0.45454545454545453,0.5454545454545454,0.5454545454545454,0.2857142857142857,0.21428571428571427,0.48148148148148145,11.0,6.0,13.0,27.0
9,13-pilot-curb-evictions_vv3,0.7857142857142857,0.5454545454545454,0.42857142857142855,0.45454545454545453,0.45454545454545453,0.8333333333333334,0.45454545454545453,0.5454545454545454,0.5454545454545454,0.2857142857142857,0.21428571428571427,0.48148148148148145,11.0,6.0,13.0,27.0
10,14-many-police-calls_avg,0.782608695652174,0.8888888888888888,0.6956521739130435,0.7777777777777778,0.7777777777777778,0.875,0.7777777777777778,0.2222222222222222,0.2222222222222222,0.5652173913043478,0.21739130434782608,0.28125,18.0,14.0,9.0,32.0
11,14-many-police-calls_vv3,0.782608695652174,0.8888888888888888,0.6956521739130435,0.7777777777777778,0.7777777777777778,0.875,0.7777777777777778,0.2222222222222222,0.2222222222222222,0.5652173913043478,0.21739130434782608,0.28125,18.0,14.0,9.0,32.0
