,article_w_version,Statement_Match_Rate,Type_Match_Rate,Combined_Statement_Type_Match_Rate,Name_Match_Rate,Type_Name_Match_Rate,Type_Correct_Name_Match_Rate,Title_Match_Rate,Justification_Match_Rate,Title_Justification_Join_Match_Rate,All_Attribute_Accuracy,LLM_Miss_Rate,LLM_Unique_Discover_Rate,Both_Found_Count,Match_Counts,LLM_Unique_Discover_Counts,Total_Unique_Sentences
0,1-Harris-Trump-Reuters-Poll_avg,0.9,0.16666666666666666,0.15,0.9444444444444444,0.16666666666666666,1.0,0.9444444444444444,0.16666666666666666,0.16666666666666666,0.15,0.1,0.13043478260869565,18.0,3.0,3.0,23.0
1,1-Harris-Trump-Reuters-Poll_vv3,0.9,0.16666666666666666,0.15,0.9444444444444444,0.16666666666666666,1.0,0.9444444444444444,0.16666666666666666,0.16666666666666666,0.15,0.1,0.13043478260869565,18.0,3.0,3.0,23.0
2,10-Nebraska-voting-rights_avg,0.875,1.0,0.875,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.0,0.125,0.6923076923076923,7.0,2.0,18.0,26.0
3,10-Nebraska-voting-rights_vv3,0.875,1.0,0.875,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.0,0.125,0.6923076923076923,7.0,2.0,18.0,26.0
4,11-Nebraska-felons-crim-justice_avg,0.95,1.0,0.95,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.21052631578947367,0.47368421052631576,0.8421052631578947,0.05,0.05,0.5,19.0,16.0,20.0,40.0
5,11-Nebraska-felons-crim-justice_vv3,0.95,1.0,0.95,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.21052631578947367,0.47368421052631576,0.8421052631578947,0.05,0.05,0.5,19.0,16.0,20.0,40.0
6,12-kids-lead-poisoning_avg,1.0,0.5,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.7142857142857143,2.0,0.0,5.0,7.0
7,12-kids-lead-poisoning_vv3,1.0,0.5,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.7142857142857143,2.0,0.0,5.0,7.0
8,13-pilot-curb-evictions_avg,0.9285714285714286,0.6153846153846154,0.5714285714285714,0.23076923076923078,0.23076923076923078,0.375,0.23076923076923078,0.46153846153846156,0.5384615384615384,0.21428571428571427,0.07142857142857142,0.44,13.0,6.0,11.0,25.0
9,13-pilot-curb-evictions_vv3,0.9285714285714286,0.6153846153846154,0.5714285714285714,0.23076923076923078,0.23076923076923078,0.375,0.23076923076923078,0.46153846153846156,0.5384615384615384,0.21428571428571427,0.07142857142857142,0.44,13.0,6.0,11.0,25.0
10,14-many-police-calls_avg,0.8695652173913043,0.9,0.782608695652174,0.3,0.3,0.3333333333333333,0.55,0.15,0.95,0.2608695652173913,0.13043478260869565,0.3235294117647059,20.0,13.0,11.0,34.0
11,14-many-police-calls_vv3,0.8695652173913043,0.9,0.782608695652174,0.3,0.3,0.3333333333333333,0.55,0.15,0.95,0.2608695652173913,0.13043478260869565,0.3235294117647059,20.0,13.0,11.0,34.0
12,15-Newsom-declares-emergency_avg,0.9333333333333333,0.9285714285714286,0.8666666666666667,0.7857142857142857,0.7857142857142857,0.8461538461538461,0.7857142857142857,0.2857142857142857,0.35714285714285715,0.4666666666666667,0.06666666666666667,0.3181818181818182,14.0,12.0,7.0,22.0
13,15-Newsom-declares-emergency_vv3,0.9333333333333333,0.9285714285714286,0.8666666666666667,0.7857142857142857,0.7857142857142857,0.8461538461538461,0.7857142857142857,0.2857142857142857,0.35714285714285715,0.4666666666666667,0.06666666666666667,0.3181818181818182,14.0,12.0,7.0,22.0
