GT_Sentence,LLM_Sentence,Sentence_Match_Score,Source_Type_GT,Source_Type_LLM,Source_Type_Match,Name_GT,Name_LLM,Name_Match_Score,Title_GT,Title_LLM,Title_Match_Score,Justification_GT,Justification_LLM,Justification_Match_Score,Title_and_Justification_GT,Title_and_Justification_LLM,Title_and_Justification_Match_Score
"voting, king said in an interview, gives “a little bit of your strength back and a little bit of your voice back. being able to vote, being able to have a say in what happens in your society, in your state, is extremely important.”","voting, king said in an interview, gives âa little bit of your strength back and a little bit of your voice back.",100,Named_Person,Named_Person,Yes,tj king,tj king,100,"outreach specialist, nebraska aids project",outreach specialist,0.9999999403953552,"king, 51, fought addiction for years and spent five years in prison after being convicted; volunteers at various organizations;,king’s first chance to vote will be in the 2024 presidential election season -- unless a legislative proposal introduced in january that would remove the two-year requirement passes and becomes law.","51, fought addiction for years and spent five years in prison after being convicted of possessing the party drug ecstasy and theft by deception, ending probation last august.,an outreach specialist with the nebraska aids project, king came off probation in august after serving time for drug and theft convictions.,works in the hiv/aids field and volunteers at various organizations",1.0,"outreach specialist, nebraska aids project king, 51, fought addiction for years and spent five years in prison after being convicted; volunteers at various organizations;,king’s first chance to vote will be in the 2024 presidential election season -- unless a legislative proposal introduced in january that would remove the two-year requirement passes and becomes law.","outreach specialist 51, fought addiction for years and spent five years in prison after being convicted of possessing the party drug ecstasy and theft by deception, ending probation last august.,an outreach specialist with the nebraska aids project, king came off probation in august after serving time for drug and theft convictions.,works in the hiv/aids field and volunteers at various organizations",0.8596210479736328
several of them said they were confused by the arrests because they had been allowed to register to vote.,,0,Anonymous_Groups,,No,20 former felons,,0,,,0.0,after a new election police unit championed by republican gov. ron desantis arrested 20 former felons.,,0.0, after a new election police unit championed by republican gov. ron desantis arrested 20 former felons.,,0.0
"at least 14 states have introduced proposals this year focused on restoration of voting rights, according to the brennan center for justice. an oregon proposal would allow felons to vote while incarcerated. a tennessee bill would automatically restore voting rights once a sentence is completed, except for a small group of crimes. texas legislation would restore voting rights to those on probation or parole.","at least 14 states have introduced proposals this year focused on restoration of voting rights, according to the brennan center for justice.",100,Named_Organization,Named_Organization,Yes,brennan center for justice.,brennan center for justice,98,,,0.0,,,0.0, , ,0.0
"“restoring voting rights really is an issue where we’ve seen bipartisan momentum,” said patrick berry, counsel for the democracy program at the brennan center.","ârestoring voting rights really is an issue where weâve seen bipartisan momentum,â said patrick berry, counsel for the democracy program at the brennan center.",100,Named_Person,Named_Person,Yes,patrick berry,patrick berry,100,"counsel, democracy program at the brennan center",counsel for the democracy program,0.7100372314453125,,counsel for the democracy program at the brennan center,0.0,"counsel, democracy program at the brennan center ",counsel for the democracy program counsel for the democracy program at the brennan center,0.89225172996521
"more than 4.6 million people are disenfranchised in the united states because of felony convictions, according to the sentencing project, which studies the issue and advocates for restoration of voting rights for former felons.","more than 4.6 million people are disenfranchised in the united states because of felony convictions, according to the sentencing project, which studies the issue and advocates for restoration of voting rights for former felons.",100,Named_Organization,Named_Organization,Yes,sentencing project,sentencing project,100,,,0.0,which studies the issue and advocates for restoration of voting rights for former felons.,which studies the issue and advocates for restoration of voting rights for former felons,0.9877825975418091, which studies the issue and advocates for restoration of voting rights for former felons., which studies the issue and advocates for restoration of voting rights for former felons,0.9877825975418091
"in nebraska, nearly 18,000 people are unable to vote because of felony convictions, said the sentencing project’s director of advocacy, nicole porter. that includes 7,072 who fall under the two-year wait requirement and are currently unable to cast a ballot. the rest have not completed their full sentences.","in nebraska, nearly 18,000 people are unable to vote because of felony convictions, said the sentencing projectâs director of advocacy, nicole porter.",100,Named_Person,Named_Person,Yes,nicole porter,nicole porter,100,"director of advocacy, sentencing project",director of advocacy,1.0000001192092896,,the sentencing projectâs director of advocacy,0.0,"director of advocacy, sentencing project ",director of advocacy the sentencing projectâs director of advocacy,0.7540671825408936
"steve smith of civic nebraska, part of a large coalition of groups supporting the measure, said the wait creates a group of taxpayers who can’t choose their representatives.","steve smith of civic nebraska, part of a large coalition of groups supporting the measure, said the wait creates a group of taxpayers who canât choose their representatives.",100,Named_Person,Named_Person,Yes,steve smith,steve smith,100,civic nebraska,,0.0,"steve smith of civic nebraska, part of a large coalition of groups supporting the measure","of civic nebraska, part of a large coalition of groups supporting the measure",1.0,"civic nebraska steve smith of civic nebraska, part of a large coalition of groups supporting the measure"," of civic nebraska, part of a large coalition of groups supporting the measure",1.0
"“you’re civically dead and you can’t vote for the people who are levying those taxes,” he said.","âyouâre civically dead and you canât vote for the people who are levying those taxes,â he said.",93,Named_Person,Named_Person,Yes,steve smith,steve smith,100,civic nebraska,,0.0,"steve smith of civic nebraska, part of a large coalition of groups supporting the measure","of civic nebraska, part of a large coalition of groups supporting the measure",1.0,"civic nebraska steve smith of civic nebraska, part of a large coalition of groups supporting the measure"," of civic nebraska, part of a large coalition of groups supporting the measure",1.0
"at the time nebraska was in step with other states. now, while a few states require wait times for specific offenses or define completion of a sentence as including things such as fines and restitution, nebraska is alone in requiring a general waiting period beyond imprisonment and release from parole or probation, said margaret love, co-founder and director of the collateral consequences resource center, which keeps a 50-state database on restoration of rights.","now, while a few states require wait times for specific offenses or define completion of a sentence as including things such as fines and restitution, nebraska is alone in requiring a general waiting period beyond imprisonment and release from parole or probation, said margaret love, co-founder and director of the collateral consequences resource center, which keeps a 50-state database on restoration of rights.",100,Named_Person,Named_Person,Yes,margaret love,margaret love,100,"co-founder and director, collateral consequences resource center",co-founder and director,0.9999999403953552,which keeps a 50-state database on restoration of rights.,"co-founder and director of the collateral consequences resource center, which keeps a 50-state database on restoration of rights",0.9735901355743408,"co-founder and director, collateral consequences resource center which keeps a 50-state database on restoration of rights.","co-founder and director co-founder and director of the collateral consequences resource center, which keeps a 50-state database on restoration of rights",0.6682263612747192
"the bill’s author, democratic state sen. justin wayne, said he was going door to door in his first election in 2016 and was told by would-be constituents that they could not vote. much of the reason was confusion over the law’s waiting period, he said.","the billâs author, democratic state sen. justin wayne, said he was going door to door in his first election in 2016 and was told by would-be constituents that they could not vote.",100,Named_Person,Named_Person,Yes,justin wayne,justin wayne,100,democratic state sen.,democratic state sen.,1.0000001192092896,the bill’s author,the billâs author; who represents parts of omaha with strong minority populations,0.5702852606773376,democratic state sen. the bill’s author,democratic state sen. the billâs author; who represents parts of omaha with strong minority populations,0.7068368196487427
