GT_Sentence,LLM_Sentence,Sentence_Match_Score,Source_Type_GT,Source_Type_LLM,Source_Type_Match,Name_GT,Name_LLM,Name_Match_Score,Title_GT,Title_LLM,Title_Match_Score,Justification_GT,Justification_LLM,Justification_Match_Score,Title_and_Justification_GT,Title_and_Justification_LLM,Title_and_Justification_Match_Score
,"to learn more about having a child tested or to schedule a free test, contact your childâs pediatrician, call the shelby county health department at 901-222-9582 or email them at sch.clppp@shelbycountytn.gov.",0,,Named_Organization,No,,shelby county health department,0,,,0,,,0,, ,0
,"to have your home tested, call the shelby county lead hazard control program at 901-222-7605 or the city of memphis lead-safe program at 901-636-5323.",0,,Named_Organization,No,,shelby county lead hazard control program,0,,,0,,,0,, ,0
,"to have your home tested, call the shelby county lead hazard control program at 901-222-7605 or the city of memphis lead-safe program at 901-636-5323.",0,,Named_Organization,No,,city of memphis lead-safe program,0,,,0,,,0,, ,0
,"to find out if your individual home was built before 1978, check realtor.com or the shelby county assessor of property website.",0,,Named_Organization,No,,realtor.com,0,,,0,,,0,, ,0
,"to find out if your individual home was built before 1978, check realtor.com or the shelby county assessor of property website.",0,,Named_Organization,No,,shelby county assessor of property,0,,,0,,,0,, ,0
,"this story is brought to you by mlk50: justice through journalism, a nonprofit newsroom focused on poverty, power and policy in memphis.",0,,Named_Organization,No,,mlk50: justice through journalism,0,,,0,,,0,, ,0
,mlk50 is also supported by these generous donors.,0,,Named_Organization,No,,mlk50,0,,,0,,,0,, ,0
,email him at jacob.steimer@mlk50.com,0,,Named_Person,No,,jacob steimer,0,,housing and development reporter,0,,jacob steimer is the housing and development reporter for mlk50: justice through journalism.,0,,housing and development reporter jacob steimer is the housing and development reporter for mlk50: justice through journalism.,0
,"in south memphis, for instance, about 96% of residents are black, and about 91% of homes were built prior to 1978, according to the u.s. census bureau.",0,,Documents,No,,u.s. census bureau,0,,,0,,according to the u.s. census bureau,0,, according to the u.s. census bureau,0
,kids in cordova are far safer from lead poisoning than kids in midtown.,0,,Anonymous_Groups,No,,kids,0,,,0,,"kids raised in memphisâ suburbs face little risk of lead poisoning since few homes there were built after 1978.,kids in cordova are far safer from lead poisoning than kids in midtown. and children in arlington are much better off than their counterparts in north memphis.",0,," kids raised in memphisâ suburbs face little risk of lead poisoning since few homes there were built after 1978.,kids in cordova are far safer from lead poisoning than kids in midtown. and children in arlington are much better off than their counterparts in north memphis.",0
,and children in arlington are much better off than their counterparts in north memphis.,0,,Anonymous_Groups,No,,children,0,,,0,,"children in these neighborhoods primarily ingest lead from dust in their homes and yards.,kids in cordova are far safer from lead poisoning than kids in midtown. and children in arlington are much better off than their counterparts in north memphis.",0,," children in these neighborhoods primarily ingest lead from dust in their homes and yards.,kids in cordova are far safer from lead poisoning than kids in midtown. and children in arlington are much better off than their counterparts in north memphis.",0
,kids raised in memphisâ suburbs face little risk of lead poisoning since few homes there were built after 1978.,0,,Anonymous_Groups,No,,kids,0,,,0,,"kids raised in memphisâ suburbs face little risk of lead poisoning since few homes there were built after 1978.,kids in cordova are far safer from lead poisoning than kids in midtown. and children in arlington are much better off than their counterparts in north memphis.",0,," kids raised in memphisâ suburbs face little risk of lead poisoning since few homes there were built after 1978.,kids in cordova are far safer from lead poisoning than kids in midtown. and children in arlington are much better off than their counterparts in north memphis.",0
,children in these neighborhoods primarily ingest lead from dust in their homes and yards.,0,,Anonymous_Groups,No,,children,0,,,0,,"children in these neighborhoods primarily ingest lead from dust in their homes and yards.,kids in cordova are far safer from lead poisoning than kids in midtown. and children in arlington are much better off than their counterparts in north memphis.",0,," children in these neighborhoods primarily ingest lead from dust in their homes and yards.,kids in cordova are far safer from lead poisoning than kids in midtown. and children in arlington are much better off than their counterparts in north memphis.",0
