GT_Sentence,LLM_Sentence,Sentence_Match_Score,Source_Type_GT,Source_Type_LLM,Source_Type_Match,Name_GT,Name_LLM,Name_Match_Score,Title_GT,Title_LLM,Title_Match_Score,Justification_GT,Justification_LLM,Justification_Match_Score,Title_and_Justification_GT,Title_and_Justification_LLM,Title_and_Justification_Match_Score
"as a result, the injured officer and two other plainclothes officers returned fire for “self-protection,” the judge ruled",,0,Named_Person,,No,charles r. simpson iii,,0,u.s. district judge,,0,,,0.0,u.s. district judge ,,0.0
"— negating walker’s constitutional rights as a legal gun owner, and his rights under the state’s castle doctrine, better known as the stand your ground law.",,0,Documents,,No,castle doctrine,,0,,,0,,,0.0, ,,0.0
"the decision to blame taylor’s boyfriend for her death, and not the officers, is another stark reminder of the need for the george floyd justice in policing act, which includes ending qualified immunity, advocates said.","the decision to blame taylorâs boyfriend for her death, and not the officers, is another stark reminder of the need for the george floyd justice in policing act, which includes ending qualified immunity, advocates said.",100,Anonymous_Groups,Anonymous_Groups,Yes,advocates,advocates,100,,,0,,advocates,0.0, , advocates,0.0
"christopher 2x, a longtime community organizer, and friend of taylor’s family, said, “i was just thinking about her mother [tamika palmer] in regards to how she would interpret that particular ruling by the judge.”","christopher 2x, a longtime community organizer, and friend of taylorâs family, said, âi was just thinking about her mother [tamika palmer] in regards to how she would interpret that particular ruling by the judge.â",100,Named_Person,Named_Person,Yes,christopher 2x,christopher 2x,100,"founder, game changers, community organizer",,0,"a longtime community organizer, and friend of taylor’s family,the founder of game changers, a nonprofit organization dedicated to educating children about violence in order to end violence in the long term","a longtime community organizer, and friend of taylorâs family",1.0,"founder, game changers, community organizer a longtime community organizer, and friend of taylor’s family,the founder of game changers, a nonprofit organization dedicated to educating children about violence in order to end violence in the long term"," a longtime community organizer, and friend of taylorâs family",0.9665007591247559
"“it’s just more pain on top of pain, and unfortunately, that’s the way the court system goes,” he said.","âitâs just more pain on top of pain, and unfortunately, thatâs the way the court system goes,â he said.",100,Named_Person,Named_Person,Yes,christopher 2x,christopher 2x,100,"founder, game changers, community organizer",,0,"a longtime community organizer, and friend of taylor’s family,the founder of game changers, a nonprofit organization dedicated to educating children about violence in order to end violence in the long term","a longtime community organizer, and friend of taylorâs family",1.0,"founder, game changers, community organizer a longtime community organizer, and friend of taylor’s family,the founder of game changers, a nonprofit organization dedicated to educating children about violence in order to end violence in the long term"," a longtime community organizer, and friend of taylorâs family",0.9665007591247559
"at a rally in charlotte, north carolina, former president donald trump pledged to combat police violence by giving police “back their power,” in part by limiting federal oversight over local police departments and strengthening qualified immunity.",,0,Named_Person,,No,donald trump,,0,former president,,0,,,0.0,former president ,,0.0
"christopher 2x said harris should talk more on the campaign trail about policing reforms. “with this ruling by judge simpson, the conversation of police reform keeps going on. there’s no backtracking in this conversation. people can, in the most civil way, have the conversation, debate about it, [especially] when these incidents are right in front of your face, the ruling is right in front of your face, the conversation doesn’t stop,” christopher 2x said.",christopher 2x said harris should talk more on the campaign trail about policing reforms.,100,Named_Person,Named_Person,Yes,christopher 2x,christopher 2x,100,"founder, game changers, community organizer",,0,"a longtime community organizer, and friend of taylor’s family,the founder of game changers, a nonprofit organization dedicated to educating children about violence in order to end violence in the long term","a longtime community organizer, and friend of taylorâs family",1.0,"founder, game changers, community organizer a longtime community organizer, and friend of taylor’s family,the founder of game changers, a nonprofit organization dedicated to educating children about violence in order to end violence in the long term"," a longtime community organizer, and friend of taylorâs family",0.9665007591247559
"the founder of game changers, a nonprofit organization dedicated to educating children about violence in order to end violence in the long term, christopher 2x said harris should answer questions about policing reform just like it was a question about the economy.","the founder of game changers, a nonprofit organization dedicated to educating children about violence in order to end violence in the long term, christopher 2x said harris should answer questions about policing reform just like it was a question about the economy.",100,Named_Person,Named_Person,Yes,christopher 2x,christopher 2x,100,"founder, game changers, community organizer",,0,"a longtime community organizer, and friend of taylor’s family,the founder of game changers, a nonprofit organization dedicated to educating children about violence in order to end violence in the long term","a longtime community organizer, and friend of taylorâs family",1.0,"founder, game changers, community organizer a longtime community organizer, and friend of taylor’s family,the founder of game changers, a nonprofit organization dedicated to educating children about violence in order to end violence in the long term"," a longtime community organizer, and friend of taylorâs family",0.9665007591247559
"“she’s a former prosecutor. i believe, respectfully, that she should talk about it (police reform) with force, and with great understanding of the atmosphere that’s still asking for that conversation,” christopher 2x said, adding, “she should be willing and ready to address this whole issue that still, there’s no answers to.”","i believe, respectfully, that she should talk about it (police reform) with force, and with great understanding of the atmosphere thatâs still asking for that conversation,â christopher 2x said, adding, âshe should be willing and ready to address this whole issue that still, thereâs no answers to.â",100,Named_Person,Named_Person,Yes,christopher 2x,christopher 2x,100,"founder, game changers, community organizer",,0,"a longtime community organizer, and friend of taylor’s family,the founder of game changers, a nonprofit organization dedicated to educating children about violence in order to end violence in the long term","a longtime community organizer, and friend of taylorâs family",1.0,"founder, game changers, community organizer a longtime community organizer, and friend of taylor’s family,the founder of game changers, a nonprofit organization dedicated to educating children about violence in order to end violence in the long term"," a longtime community organizer, and friend of taylorâs family",0.9665007591247559
"since 2020, the number of people, especially black people, killed by the police has continued to rise, according to the mapping police violence database. so far this year, 212 black lives have been lost during encounters with police, nearing the 264 killed in 2020.","since 2020, the number of people, especially black people, killed by the police has continued to rise, according to the mapping police violence database.",100,Documents,Documents,Yes,mapping police violence database,mapping police violence,84,,,0,,"according to the mapping police violence database,researchers behind mapping police violence released a new database wednesday that focuses on nonfatal police encounters in the united states between 2017 and 2022, the guardian first reported.",0.0, ," according to the mapping police violence database,researchers behind mapping police violence released a new database wednesday that focuses on nonfatal police encounters in the united states between 2017 and 2022, the guardian first reported.",0.0
"researchers behind mapping police violence released a new database wednesday that focuses on nonfatal police encounters in the united states between 2017 and 2022, the guardian first reported.",,0,Named_Organization,,No,the guardian,,0,,,0,,,0.0, ,,0.0
"the database found that in each year, over 300,000 people experienced use of force by police that includes chemical sprays, k-9 dog attacks, neck restraints, stun guns as well as beanbags and baton strikes.","the database found that in each year, over 300,000 people experienced use of force by police that includes chemical sprays, k-9 dog attacks, neck restraints, stun guns as well as beanbags and baton strikes.",100,Documents,Documents,Yes,mapping police violence database,mapping police violence,84,,,0,,"according to the mapping police violence database,researchers behind mapping police violence released a new database wednesday that focuses on nonfatal police encounters in the united states between 2017 and 2022, the guardian first reported.",0.0, ," according to the mapping police violence database,researchers behind mapping police violence released a new database wednesday that focuses on nonfatal police encounters in the united states between 2017 and 2022, the guardian first reported.",0.0
"black people are more susceptible to nonfatal police violence than being killed by police, the report found.","black people are more susceptible to nonfatal police violence than being killed by police, the report found.",100,Named_Organization,Documents,No,the guardian,mapping police violence,23,,,0,,"according to the mapping police violence database,researchers behind mapping police violence released a new database wednesday that focuses on nonfatal police encounters in the united states between 2017 and 2022, the guardian first reported.",0.0, ," according to the mapping police violence database,researchers behind mapping police violence released a new database wednesday that focuses on nonfatal police encounters in the united states between 2017 and 2022, the guardian first reported.",0.0
"hawk newsome, co-founder of black lives matter of greater new york and black opportunities, wrote in an email to capital b that the organization’s black agenda 2024 consists of dozens of proposed policies created by a multigenerational group of leaders from across the country, and for people who “don’t attend your churches or community meetings, engage in local politics, or take your polls.”","hawk newsome, co-founder of black lives matter of greater new york and black opportunities, wrote in an email to capital b that the organizationâs black agenda 2024 consists of dozens of proposed policies created by a multigenerational group of leaders from across the country, and for people who âdonât attend your churches or community meetings, engage in local politics, or take your polls.â",100,Named_Person,Named_Person,Yes,hawk newsome,hawk newsome,100,"co-founder of black lives matter of greater new york and black opportunities,co-founder, black lives matter, greater new york and black opportunities",,0,wrote in an email to capital b,,0.0,"co-founder of black lives matter of greater new york and black opportunities,co-founder, black lives matter, greater new york and black opportunities wrote in an email to capital b", ,0.0
the agenda addresses ending qualified immunity to allow families of police violence to personally sue an officer in question. it also calls to “declare a war on poverty” to reallocate funds from “ineffective public initiatives — including law enforcement — to address the social determinants of health.”,,0,Named_Person,,No,hawk newsome,,0,"co-founder of black lives matter of greater new york and black opportunities,co-founder, black lives matter, greater new york and black opportunities",,0,wrote in an email to capital b,,0.0,"co-founder of black lives matter of greater new york and black opportunities,co-founder, black lives matter, greater new york and black opportunities wrote in an email to capital b",,0.0
"if the latter goes in effect, “it would prevent the necessity for cases like breonna taylor’s because we would be attacking the root cause of crime, which brings down crime rates,” newsome said, adding, “less crime means politicians are less likely to allow illegal and overzealous policing.”","i believe, respectfully, that she should talk about it (police reform) with force, and with great understanding of the atmosphere thatâs still asking for that conversation,â christopher 2x said, adding, âshe should be willing and ready to address this whole issue that still, thereâs no answers to.â",100,Named_Person,Named_Person,Yes,hawk newsome,christopher 2x,15,"co-founder of black lives matter of greater new york and black opportunities,co-founder, black lives matter, greater new york and black opportunities",,0,wrote in an email to capital b,"a longtime community organizer, and friend of taylorâs family",0.045356642454862595,"co-founder of black lives matter of greater new york and black opportunities,co-founder, black lives matter, greater new york and black opportunities wrote in an email to capital b"," a longtime community organizer, and friend of taylorâs family",0.4022482931613922
