GT_Sentence,LLM_Sentence,Sentence_Match_Score,Source_Type_GT,Source_Type_LLM,Source_Type_Match,Name_GT,Name_LLM,Name_Match_Score,Title_GT,Title_LLM,Title_Match_Score,Justification_GT,Justification_LLM,Justification_Match_Score,Title_and_Justification_GT,Title_and_Justification_LLM,Title_and_Justification_Match_Score
"it’s an important enough right that explaining it to tenants was one of the key ways shelby county said it hoped to deploy a recent $250,000 grant.","itâs an important enough right that explaining it to tenants was one of the key ways shelby county said it hoped to deploy a recent $250,000 grant.",100,Named_Organization,Named_Organization,Yes,shelby county,shelby county,100,,,0.0,,,0.0, , ,0.0
"“it just shortens the whole timeline in which a person can lose their home,” said brian rees, a staff attorney at the works inc. nonprofit who has represented hundreds of tenants in eviction proceedings in recent years. “things (can now) happen very, very quickly.”","âit just shortens the whole timeline in which a person can lose their home,â said brian rees, a staff attorney at the works inc. nonprofit who has represented hundreds of tenants in eviction proceedings in recent years.",100,Named_Person,Named_Person,Yes,brian rees,brian rees,100,"staff attorney, the works inc",staff attorney,1.0,"still, rees sees the legislation’s passage as a win. because even if landlords aren’t responsive, it will provide tenants with proof they’re requesting maintenance through the proper channels — proof lawyers like rees could theoretically use in their defense.,additionally, programs designed to help low-income renters, such as legal aid or rental assistance, often take days or weeks to approve requests. and if renters aren’t able to get help, the apartment complexes they turn to for shelter may not be quick to process their applications.,who has represented hundreds of tenants in eviction proceedings in recent years.",a staff attorney at the works inc. nonprofit who has represented hundreds of tenants in eviction proceedings in recent years,0.7413116693496704,"staff attorney, the works inc still, rees sees the legislation’s passage as a win. because even if landlords aren’t responsive, it will provide tenants with proof they’re requesting maintenance through the proper channels — proof lawyers like rees could theoretically use in their defense.,additionally, programs designed to help low-income renters, such as legal aid or rental assistance, often take days or weeks to approve requests. and if renters aren’t able to get help, the apartment complexes they turn to for shelter may not be quick to process their applications.,who has represented hundreds of tenants in eviction proceedings in recent years.",staff attorney a staff attorney at the works inc. nonprofit who has represented hundreds of tenants in eviction proceedings in recent years,0.6905786991119385
"if the governor signed it, henderson said, it would have “devastating” consequences for renters.","if the governor signed it, henderson said, it would have âdevastatingâ consequences for renters.",100,Named_Person,Named_Person,Yes,deborah henderson,henderson,69,judge,,0.0,"house bill 2267, which cut tenants’ right to a continuance in half, hadn’t yet been signed by gov. bill lee.",,0.0,"judge house bill 2267, which cut tenants’ right to a continuance in half, hadn’t yet been signed by gov. bill lee.", ,0.0
"the tennessee association of realtors is the sixth largest spender on tennessee politics, according to the tennessee lookout’s database, having spent $6.5 million on lobbying, campaign donations and other political expenditures since 2009.","the tennessee association of realtors is the sixth largest spender on tennessee politics, according to the tennessee lookoutâs database, having spent $6.5 million on lobbying, campaign donations and other political expenditures since 2009.",100,Named_Organization,Named_Organization,Yes,tennessee lookout,tennessee association of realtors,48,,,0.0,,,0.0, , ,0.0
"“landlords have always had a very strong lobbying group,” she said.","âlandlords have always had a very strong lobbying group,â she said.",96,Named_Person,Named_Person,Yes,deborah henderson,henderson,69,judge,,0.0,"house bill 2267, which cut tenants’ right to a continuance in half, hadn’t yet been signed by gov. bill lee.",,0.0,"judge house bill 2267, which cut tenants’ right to a continuance in half, hadn’t yet been signed by gov. bill lee.", ,0.0
"in the statement, swann said the bill will help landlords free up apartments more quickly for the thousands of tennesseeans seeking a home. he also said it would help the apartment industry develop new apartments, but he didn’t make clear how it would.","in the statement, swann said the bill will help landlords free up apartments more quickly for the thousands of tennesseeans seeking a home.",100,Named_Person,Named_Person,Yes,art swann,swann,71,sen. (r-maryville),,0.0,"art swann (r-maryville), who sponsored the legislation in the senate, provided mlk50 with a statement but did not respond to follow-up questions.",,0.0,"sen. (r-maryville) art swann (r-maryville), who sponsored the legislation in the senate, provided mlk50 with a statement but did not respond to follow-up questions.", ,0.0
"the tennessee association of realtors has been swann’s top funder since the start of 2009, according to the tennessee lookout, giving him $18,750. it has also given boyd $11,500 since 2009, making it his no. 6 funder.","the tennessee association of realtors has been swannâs top funder since the start of 2009, according to the tennessee lookout, giving him $18,750.",100,Named_Organization,Named_Organization,Yes,tennessee lookout,tennessee association of realtors,48,,,0.0,,,0.0, , ,0.0
"while the difference of a week may not seem like much, rees said it can really matter for these renters since the pathways to avoiding eviction can take time to figure out.","while the difference of a week may not seem like much, rees said it can really matter for these renters since the pathways to avoiding eviction can take time to figure out.",100,Named_Person,Named_Person,Yes,brian rees,rees,57,"staff attorney, the works inc",,0.0,"still, rees sees the legislation’s passage as a win. because even if landlords aren’t responsive, it will provide tenants with proof they’re requesting maintenance through the proper channels — proof lawyers like rees could theoretically use in their defense.,additionally, programs designed to help low-income renters, such as legal aid or rental assistance, often take days or weeks to approve requests. and if renters aren’t able to get help, the apartment complexes they turn to for shelter may not be quick to process their applications.,who has represented hundreds of tenants in eviction proceedings in recent years.",,0.0,"staff attorney, the works inc still, rees sees the legislation’s passage as a win. because even if landlords aren’t responsive, it will provide tenants with proof they’re requesting maintenance through the proper channels — proof lawyers like rees could theoretically use in their defense.,additionally, programs designed to help low-income renters, such as legal aid or rental assistance, often take days or weeks to approve requests. and if renters aren’t able to get help, the apartment complexes they turn to for shelter may not be quick to process their applications.,who has represented hundreds of tenants in eviction proceedings in recent years.", ,0.0
"“it’s disheartening to see them make a change that will affect families who are struggling,” rees said.","âitâs disheartening to see them make a change that will affect families who are struggling,â rees said.",96,Named_Person,Named_Person,Yes,brian rees,rees,57,"staff attorney, the works inc",,0.0,"still, rees sees the legislation’s passage as a win. because even if landlords aren’t responsive, it will provide tenants with proof they’re requesting maintenance through the proper channels — proof lawyers like rees could theoretically use in their defense.,additionally, programs designed to help low-income renters, such as legal aid or rental assistance, often take days or weeks to approve requests. and if renters aren’t able to get help, the apartment complexes they turn to for shelter may not be quick to process their applications.,who has represented hundreds of tenants in eviction proceedings in recent years.",,0.0,"staff attorney, the works inc still, rees sees the legislation’s passage as a win. because even if landlords aren’t responsive, it will provide tenants with proof they’re requesting maintenance through the proper channels — proof lawyers like rees could theoretically use in their defense.,additionally, programs designed to help low-income renters, such as legal aid or rental assistance, often take days or weeks to approve requests. and if renters aren’t able to get help, the apartment complexes they turn to for shelter may not be quick to process their applications.,who has represented hundreds of tenants in eviction proceedings in recent years.", ,0.0
"“(tar) has the connection with a lot of legislators, especially on the commerce committee, where this was going to be,” thompson said. “(and) they were just ironclad.”","â(tar) has the connection with a lot of legislators, especially on the commerce committee, where this was going to be,â thompson said.",100,Named_Person,Named_Person,Yes,dwayne thompson,thompson,70,rep. (d-cordova),,0.0,"thompson was able to pass one bill this year he thinks will help tenants. assuming the bill is signed by lee, it will require landlords to provide tenants with a phone number or online portal they can use to make maintenance requests.,this session, thompson thought he had a shot at amending state law to let memphis join its peer in middle tennessee — until he realized the tennessee association of realtors was dead set against him, no matter what compromises he offered them.",,0.0,"rep. (d-cordova) thompson was able to pass one bill this year he thinks will help tenants. assuming the bill is signed by lee, it will require landlords to provide tenants with a phone number or online portal they can use to make maintenance requests.,this session, thompson thought he had a shot at amending state law to let memphis join its peer in middle tennessee — until he realized the tennessee association of realtors was dead set against him, no matter what compromises he offered them.", ,0.0
