GT_Sentence,LLM_Sentence,Sentence_Match_Score,Source_Type_GT,Source_Type_LLM,Source_Type_Match,Name_GT,Name_LLM,Name_Match_Score,Title_GT,Title_LLM,Title_Match_Score,Justification_GT,Justification_LLM,Justification_Match_Score,Title_and_Justification_GT,Title_and_Justification_LLM,Title_and_Justification_Match_Score
"despite public works’ policy and procedure for documenting, bagging, and tagging most belongings","despite public worksâ policy and procedure for documenting, bagging, and tagging most belongings, robinson said he was unable to find any of his property at the cityâs mandated storage facility at 2323 cesar chavez st.",100,Documents,Named_Person,No,sf public works,antonio robinson,13,,,0.0,,"the 38-year-old had chosen to set up camp near palou ave. and griffith st. in hunters point, on a dead-end road surrounded by industrial buildings.",0.0, ," the 38-year-old had chosen to set up camp near palou ave. and griffith st. in hunters point, on a dead-end road surrounded by industrial buildings.",0.0
"but in june, the supreme court green-lit such penalties, prompting gov. gavin newsom to order california city officials to “move urgently” to clear illegal encampments around the state.","but in june, the supreme court green-lit such penalties, prompting gov. gavin newsom to order california city officials to âmove urgentlyâ to clear illegal encampments around the state.",100,Named_Person,Documents,No,gavin newsom,,0,gov.,,0.0,,,0.0,gov. , ,0.0
"according to mayor london breed, the intention is to clean up sidewalks and force unhoused people into the city’s labyrinthine network of shelter and supportive housing programs.","according to mayor london breed, the intention is to clean up sidewalks and force unhoused people into the cityâs labyrinthine network of shelter and supportive housing programs.",100,Named_Person,Named_Organization,No,london breed,mayor london breed,80,mayor,,0.0,,,0.0,mayor , ,0.0
"a federal survey released in may counted more than 8,000 unhoused people in the city, which has fewer than 4,000 shelter beds to offer.","a federal survey released in may counted more than 8,000 unhoused people in the city, which has fewer than 4,000 shelter beds to offer.",100,Documents,Named_Organization,No,federal survey,,0,,,0.0,,,0.0, , ,0.0
"according to public works policy, staff are supposed to provide the resident of an encampment a “reasonable amount of time (approximately 30 minutes)” to sort through and collect their belongings before the camp is torn down.","according to public works policy, staff are supposed to provide the resident of an encampment a âreasonable amount of time (approximately 30 minutes)â to sort through and collect their belongings before the camp is torn down.",100,Named_Organization,Documents,No,sf public works,public works,89,,,0.0,,,0.0, , ,0.0
"he was neither detained nor cited for illegal lodging, and told gazetteer he had spoken to a member of the “encampment resolution team,” who offered temporary shelter.",,0,Named_Person,,No,antonio robinson,,0,,,0.0,"the 38-year-old had chosen to set up camp near palou ave. and griffith st. in hunters point, on a dead-end road surrounded by industrial buildings.,when they succeed, they often find important pieces missing from their stash — a problem that has persisted over years of sweeps.,""i had bad experiences,”",,0.0," the 38-year-old had chosen to set up camp near palou ave. and griffith st. in hunters point, on a dead-end road surrounded by industrial buildings.,when they succeed, they often find important pieces missing from their stash — a problem that has persisted over years of sweeps.,""i had bad experiences,”",,0.0
"more than anything, however, he begged for officers to bring over his two neat backpacks, which had his best clothes, documents, and “bits of silver.”","more than anything, however, he begged for officers to bring over his two neat backpacks, which had his best clothes, documents, and âbits of silver.â",100,Named_Person,Anonymous_Groups,No,joey o’brien,officers,30,,,0.0,camping on the sidewalk in hunters point while investigating a homicide that occurred while he was in jail,,0.0, camping on the sidewalk in hunters point while investigating a homicide that occurred while he was in jail, ,0.0
"“the other stuff is under all that over there,” the officer said with a shrug. “you’re going to have to pick it up later.”","âthe other stuff is under all that over there,â the officer said with a shrug.",96,Anonymous_Source,Anonymous_Groups,No,,officer,0,police officer,,0.0,,,0.0,police officer , ,0.0
"as a recent batch of public records secured by city hall watchdog hazel williams shows, public works has bagged medications, wheelchairs, and even a mobility walker from unhoused people, taking them to the city’s storage facility on cesar chavez st.","despite promises from law enforcement and city officials that this property will be preserved, there is plenty of evidence that the cityâs hasty process of clearing encampments has left people without immediate access to essential supplies and equipment; as a recent batch of public records secured by city hall watchdog hazel williams shows, public works has bagged medications, wheelchairs, and even a mobility walker from unhoused people, taking them to the cityâs storage facility on cesar chavez st.",100,Named_Person,Documents,No,hazel williams,,0,,,0.0,city hall watchdog,a recent batch of public records secured by city hall watchdog hazel williams,0.5254534482955933, city hall watchdog, a recent batch of public records secured by city hall watchdog hazel williams,0.5254534482955933
"many unhoused people, including robinson, say it can be challenging to identify and retrieve their belongings at the facility.","many unhoused people, including robinson, say it can be challenging to identify and retrieve their belongings at the facility.",100,Named_Person,Anonymous_Groups,No,antonio robinson,unhoused people,19,,,0.0,"the 38-year-old had chosen to set up camp near palou ave. and griffith st. in hunters point, on a dead-end road surrounded by industrial buildings.,when they succeed, they often find important pieces missing from their stash — a problem that has persisted over years of sweeps.,""i had bad experiences,”",,0.0," the 38-year-old had chosen to set up camp near palou ave. and griffith st. in hunters point, on a dead-end road surrounded by industrial buildings.,when they succeed, they often find important pieces missing from their stash — a problem that has persisted over years of sweeps.,""i had bad experiences,”", ,0.0
