GT_Sentence,LLM_Sentence,Sentence_Match_Score,Source_Type_GT,Source_Type_LLM,Source_Type_Match,Name_GT,Name_LLM,Name_Match_Score,Title_GT,Title_LLM,Title_Match_Score,Justification_GT,Justification_LLM,Justification_Match_Score,Title_and_Justification_GT,Title_and_Justification_LLM,Title_and_Justification_Match_Score
"a senior at north country union high school in newport, wilburn, 17, recalls being in line for the bathroom when the girl in front turned around and reached for her hair. despite telling her not to touch it, wilburn said the girl “grabbed” her hair.",,0,Named_Person,,No,aaliyah wilburn,,0,leader with the vermont student anti-racism network,,0.0,"senior at north country union high school,senior at north country union high school; said in an email",,0.0,"leader with the vermont student anti-racism network senior at north country union high school,senior at north country union high school; said in an email",,0.0
"“she then told me that i felt like a sheep and she imitated the noises of one,” said wilburn, a leader with the vermont student anti-racism network.","âshe then told me that i felt like a sheep and she imitated the noises of one,â said wilburn, a leader with the vermont student anti-racism network.",100,Named_Person,Named_Person,Yes,aaliyah wilburn,aaliyah wilburn,100,leader with the vermont student anti-racism network,"senior at north country union high school in newport, leader with the vermont student anti-racism network",1.0,"senior at north country union high school,senior at north country union high school; said in an email","aaliyah wilburn, 17, recalls being in line for the bathroom when the girl in front turned around and reached for her hair. despite telling her not to touch it, wilburn said the girl âgrabbedâ her hair.",0.3021118640899658,"leader with the vermont student anti-racism network senior at north country union high school,senior at north country union high school; said in an email","senior at north country union high school in newport, leader with the vermont student anti-racism network aaliyah wilburn, 17, recalls being in line for the bathroom when the girl in front turned around and reached for her hair. despite telling her not to touch it, wilburn said the girl âgrabbedâ her hair.",0.7419875860214233
when she was wearing a head covering because she was in the midst of braiding her hair a student pulled it off and ran away in the school hall,"once, when she was wearing a head covering because she was in the midst of braiding her hair, wilburn said a student pulled it off and ran away in the school hall.",75,Named_Person,Named_Person,Yes,aaliyah wilburn,aaliyah wilburn,100,leader with the vermont student anti-racism network,"senior at north country union high school in newport, leader with the vermont student anti-racism network",1.0,"senior at north country union high school,senior at north country union high school; said in an email","aaliyah wilburn, 17, recalls being in line for the bathroom when the girl in front turned around and reached for her hair. despite telling her not to touch it, wilburn said the girl âgrabbedâ her hair.",0.3021118640899658,"leader with the vermont student anti-racism network senior at north country union high school,senior at north country union high school; said in an email","senior at north country union high school in newport, leader with the vermont student anti-racism network aaliyah wilburn, 17, recalls being in line for the bathroom when the girl in front turned around and reached for her hair. despite telling her not to touch it, wilburn said the girl âgrabbedâ her hair.",0.7419875860214233
"when she wore a headwrap another time, students said she looked like marge simpson and that she looked too african for their comfort",students said she looked like marge simpson and that she looked too african for their comfort.,99,Named_Person,Anonymous_Groups,No,aaliyah wilburn,students,17,leader with the vermont student anti-racism network,,0.0,"senior at north country union high school,senior at north country union high school; said in an email",when she was wearing a head covering because she was in the midst of braiding her hair,0.06169722229242325,"leader with the vermont student anti-racism network senior at north country union high school,senior at north country union high school; said in an email", when she was wearing a head covering because she was in the midst of braiding her hair,0.08128947764635086
"“later in the day, someone took it off me,”",someone took it off me.,98,Named_Person,Anonymous_Groups,No,aaliyah wilburn,students,17,leader with the vermont student anti-racism network,,0.0,"senior at north country union high school,senior at north country union high school; said in an email",when she was wearing a head covering because she was in the midst of braiding her hair,0.06169722229242325,"leader with the vermont student anti-racism network senior at north country union high school,senior at north country union high school; said in an email", when she was wearing a head covering because she was in the midst of braiding her hair,0.08128947764635086
"“i wouldn’t be scared of going out with a bonnet or a head wrap if this bill was in place at the time of these incidents,”","âi wouldnât be scared of going out with a bonnet or a head wrap if this bill was in place at the time of these incidents,â she said in an email.",97,Named_Person,Named_Person,Yes,aaliyah wilburn,aaliyah wilburn,100,leader with the vermont student anti-racism network,"senior at north country union high school in newport, leader with the vermont student anti-racism network",1.0,"senior at north country union high school,senior at north country union high school; said in an email","aaliyah wilburn, 17, recalls being in line for the bathroom when the girl in front turned around and reached for her hair. despite telling her not to touch it, wilburn said the girl âgrabbedâ her hair.",0.3021118640899658,"leader with the vermont student anti-racism network senior at north country union high school,senior at north country union high school; said in an email","senior at north country union high school in newport, leader with the vermont student anti-racism network aaliyah wilburn, 17, recalls being in line for the bathroom when the girl in front turned around and reached for her hair. despite telling her not to touch it, wilburn said the girl âgrabbedâ her hair.",0.7419875860214233
"addie lentzner, executive director of the student anti-racism network, said she has seen hair discrimination in schools — not just in policies and norms but also in the form of microaggressions and racial bias.","addie lentzner, executive director of the student anti-racism network, said she has seen hair discrimination in schools â not just in policies and norms but also in the form of microaggressions and racial bias.",100,Named_Person,Named_Person,Yes,addie lentzner,addie lentzner,100,executive director of the student anti-racism network,executive director of the student anti-racism network,1.0,,"addie lentzner, executive director of the student anti-racism network, said she has seen hair discrimination in schools â not just in policies and norms but also in the form of microaggressions and racial bias.",0.0,executive director of the student anti-racism network ,"executive director of the student anti-racism network addie lentzner, executive director of the student anti-racism network, said she has seen hair discrimination in schools â not just in policies and norms but also in the form of microaggressions and racial bias.",1.0
"“i think it’s a huge problem in our schools and this bill would help address it,” lentzner said.","âi think itâs a huge problem in our schools and this bill would help address it,â lentzner said.",95,Named_Person,Named_Person,Yes,addie lentzner,addie lentzner,100,executive director of the student anti-racism network,executive director of the student anti-racism network,1.0,,"addie lentzner, executive director of the student anti-racism network, said she has seen hair discrimination in schools â not just in policies and norms but also in the form of microaggressions and racial bias.",0.0,executive director of the student anti-racism network ,"executive director of the student anti-racism network addie lentzner, executive director of the student anti-racism network, said she has seen hair discrimination in schools â not just in policies and norms but also in the form of microaggressions and racial bias.",1.0
"modeled after language promoted as the crown act and already enacted in 23 other states, including new york and maine, the bill aims to prevent “an erasure and minimization of the experiences of marginalized people,” particularly black and brown people, rep. saudia lamont, d-morristown, said during a preliminary vote on the bill tuesday.","modeled after language promoted as the crown act and already enacted in 23 other states, including new york and maine, the bill aims to prevent âan erasure and minimization of the experiences of marginalized people,â particularly black and brown people, rep. saudia lamont, d-morristown, said during a preliminary vote on the bill tuesday.",100,Named_Person,Named_Person,Yes,saudia lamont,rep. saudia lamont,84,rep. d-morristown,d-morristown,0.8029252886772156,"said during a preliminary vote on the bill,said during a preliminary vote on the bill, comment from daughaters preschool teacher,said during a preliminary vote on the bill; citing surveys","rep. saudia lamont, d-morristown, said during a preliminary vote on the bill tuesday.",0.9348841905593872,"rep. d-morristown said during a preliminary vote on the bill,said during a preliminary vote on the bill, comment from daughaters preschool teacher,said during a preliminary vote on the bill; citing surveys","d-morristown rep. saudia lamont, d-morristown, said during a preliminary vote on the bill tuesday.",0.9348841905593872
"she cited a 2023 study that found 66% of black girls in predominantly white schools and 44% of black girls in all schools report experiencing hair discrimination, and that the experiences typically happen before they are 10.","she cited a 2023 study that found 66% of black girls in predominantly white schools and 44% of black girls in all schools report experiencing hair discrimination, and that the experiences typically happen before they are 10.",100,Named_Person,Documents,No,saudia lamont,,0,rep. d-morristown,,0.0,"said during a preliminary vote on the bill,said during a preliminary vote on the bill, comment from daughaters preschool teacher,said during a preliminary vote on the bill; citing surveys",a 2023 study that found 66% of black girls in predominantly white schools and 44% of black girls in all schools report experiencing hair discrimination,0.18327009677886963,"rep. d-morristown said during a preliminary vote on the bill,said during a preliminary vote on the bill, comment from daughaters preschool teacher,said during a preliminary vote on the bill; citing surveys", a 2023 study that found 66% of black girls in predominantly white schools and 44% of black girls in all schools report experiencing hair discrimination,0.18327009677886963
