GT_Sentence,LLM_Sentence,Sentence_Match_Score,Source_Type_GT,Source_Type_LLM,Source_Type_Match,Name_GT,Name_LLM,Name_Match_Score,Title_GT,Title_LLM,Title_Match_Score,Justification_GT,Justification_LLM,Justification_Match_Score,Title_and_Justification_GT,Title_and_Justification_LLM,Title_and_Justification_Match_Score
"“with all the struggling i was doing, my attitude took a hit,” kahlia said. “the more you witness yourself being down and out, the more you feel down and out, and the more stuck you feel.”","âwith all the struggling i was doing, my attitude took a hit,â kahlia said.",100,Named_Person,Named_Person,Yes,kipp kahlia,kipp kahlia,100,guitarist,,0.0,"but she’s made some progress. normally she’d be stuck in a cycle of teaching guitar lessons to make money, but wouldn’t have time for her business.,now kahlia is taking a step back from teaching and spending time writing new arrangements of music to perform for clients. she’s working on updating her website and making calls to potential clients.,under other circumstances, kahlia would have thought twice before spending that money.,her biggest expense has been a new car she leased after her 28-year-old toyota corolla started breaking down.,kahlia was selected as one of 1,000 participants in l.a. county’s guaranteed income program, called breathe.,the money came at the perfect time. because of the pandemic, kahlia had stopped teaching guitar lessons in person at parks and recreation centers and transitioned to virtual teaching. but one by one, her clients dropped off.,her health deteriorated and visits to doctors drained her savings. recently she decided to start a business performing social justice songs at events. but with no extra funds or time, she had to pause the venture.","the long beach guitarist used to tour the country with reggae artists.; kahlia was selected as one of 1,000 participants in l.a. countyâs guaranteed income program, called breathe.",1.0,"guitarist but she’s made some progress. normally she’d be stuck in a cycle of teaching guitar lessons to make money, but wouldn’t have time for her business.,now kahlia is taking a step back from teaching and spending time writing new arrangements of music to perform for clients. she’s working on updating her website and making calls to potential clients.,under other circumstances, kahlia would have thought twice before spending that money.,her biggest expense has been a new car she leased after her 28-year-old toyota corolla started breaking down.,kahlia was selected as one of 1,000 participants in l.a. county’s guaranteed income program, called breathe.,the money came at the perfect time. because of the pandemic, kahlia had stopped teaching guitar lessons in person at parks and recreation centers and transitioned to virtual teaching. but one by one, her clients dropped off.,her health deteriorated and visits to doctors drained her savings. recently she decided to start a business performing social justice songs at events. but with no extra funds or time, she had to pause the venture."," the long beach guitarist used to tour the country with reggae artists.; kahlia was selected as one of 1,000 participants in l.a. countyâs guaranteed income program, called breathe.",1.0
"the pilot program will allow researchers to track its impact in a large, diverse region, said sean kline, director of the stanford basic income lab, which studies guaranteed income programs across the country.","the pilot program will allow researchers to track its impact in a large, diverse region, said sean kline, director of the stanford basic income lab, which studies guaranteed income programs across the country.",100,Named_Person,Named_Person,Yes,sean kline,sean kline,100,"director, stanford basic income lab",director of the stanford basic income lab,0.8828110694885254,director of the stanford basic income lab. which studies guaranteed income programs across the country.,"director of the stanford basic income lab, which studies guaranteed income programs across the country.",1.0,"director, stanford basic income lab director of the stanford basic income lab. which studies guaranteed income programs across the country.","director of the stanford basic income lab director of the stanford basic income lab, which studies guaranteed income programs across the country.",1.0
"“whenever l.a. city or county or chicago or new york do something bold like this, it’s a really important signal that this big policy idea found its footing during covid and represents a possible way forward in terms of supporting low income people across america,” kline said.","âwhenever l.a. city or county or chicago or new york do something bold like this, itâs a really important signal that this big policy idea found its footing during covid and represents a possible way forward in terms of supporting low income people across america,â kline said.",99,Named_Person,Named_Person,Yes,sean kline,sean kline,100,"director, stanford basic income lab",director of the stanford basic income lab,0.8828110694885254,director of the stanford basic income lab. which studies guaranteed income programs across the country.,"director of the stanford basic income lab, which studies guaranteed income programs across the country.",1.0,"director, stanford basic income lab director of the stanford basic income lab. which studies guaranteed income programs across the country.","director of the stanford basic income lab director of the stanford basic income lab, which studies guaranteed income programs across the country.",1.0
"one question the breathe program raises, kline said, is what does it mean to have extra money for months versus several years? “if you knew the money was coming for three years, it’s a much longer runway. can you go back to school? can you quit your job now and look for a new one? can you care for your aging parents?”","one question the breathe program raises, kline said, is what does it mean to have extra money for months versus several years?",100,Named_Person,Named_Person,Yes,sean kline,sean kline,100,"director, stanford basic income lab",director of the stanford basic income lab,0.8828110694885254,director of the stanford basic income lab. which studies guaranteed income programs across the country.,"director of the stanford basic income lab, which studies guaranteed income programs across the country.",1.0,"director, stanford basic income lab director of the stanford basic income lab. which studies guaranteed income programs across the country.","director of the stanford basic income lab director of the stanford basic income lab, which studies guaranteed income programs across the country.",1.0
"every six months, program participants and members in the control group receive the same survey questions about their wellbeing, financially and mentally, said amy castro, director of penn’s center for guaranteed income research.","every six months, program participants and members in the control group receive the same survey questions about their wellbeing, financially and mentally, said amy castro, director of pennâs center for guaranteed income research.",100,Named_Person,Named_Person,Yes,amy castro,amy castro,100,"director, penn's center for guaranteed income research",director of pennâs center for guaranteed income research,0.9015090465545654,"researchers at the university of pennsylvania are surveying the 1,000 breathe participants, along with a control group of people not receiving funds.",director of pennâs center for guaranteed income research.,0.37948474287986755,"director, penn's center for guaranteed income research researchers at the university of pennsylvania are surveying the 1,000 breathe participants, along with a control group of people not receiving funds.",director of pennâs center for guaranteed income research director of pennâs center for guaranteed income research.,0.7197462320327759
"while there were positive impacts on mental health and wellbeing the first year, when the pandemic broke out, the benefits were less pronounced, according to penn’s research.","while there were positive impacts on mental health and wellbeing the first year, when the pandemic broke out, the benefits were less pronounced, according to pennâs research.",100,Named_Organization,Named_Organization,Yes,penn's center for guaranteed income research,penn,17,,,0.0,that pilot is one of the only experiments with published study results.,,0.0, that pilot is one of the only experiments with published study results., ,0.0
"interest nevertheless grew in the last few years as covid-19 exacerbated income inequality throughout california, researchers said.",,0,Anonymous_Groups,,No,researchers,,0,,,0.0,https://calmatters.org/california-divide/2022/02/california-income-inequality/,,0.0, https://calmatters.org/california-divide/2022/02/california-income-inequality/,,0.0
advocates point to the expansion of the federal child tax credit as proof that direct cash payments to families reduce poverty.,advocates point to the expansion of the federal child tax credit as proof that direct cash payments to families reduce poverty.,100,Anonymous_Groups,Anonymous_Groups,Yes,advocates,advocates,100,,,0.0,in 2021 child poverty decreased to 9% from 17.6% in 2019.,advocates point to the expansion of the federal child tax credit as proof that direct cash payments to families reduce poverty.,0.4261244535446167, in 2021 child poverty decreased to 9% from 17.6% in 2019., advocates point to the expansion of the federal child tax credit as proof that direct cash payments to families reduce poverty.,0.4261244535446167
"still some opponents said these types of programs discourage participation in the labor market, are too costly and fail to sufficiently reform the welfare system to bring working people out of poverty.","still some opponents said these types of programs discourage participation in the labor market, are too costly and fail to sufficiently reform the welfare system to bring working people out of poverty.",100,Anonymous_Groups,Anonymous_Groups,Yes,opponents,opponents,100,,,0.0,some opponents,"still some opponents said these types of programs discourage participation in the labor market, are too costly and fail to sufficiently reform the welfare system to bring working people out of poverty.",0.13505643606185913, some opponents," still some opponents said these types of programs discourage participation in the labor market, are too costly and fail to sufficiently reform the welfare system to bring working people out of poverty.",0.13505643606185913
"“there is so much we don’t know yet,” castro said. “we don’t know how long people need to receive cash to create what level of change.”",âwe donât know how long people need to receive cash to create what level of change.â,93,Named_Person,Named_Person,Yes,amy castro,amy castro,100,"director, penn's center for guaranteed income research",director of pennâs center for guaranteed income research,0.9015090465545654,"researchers at the university of pennsylvania are surveying the 1,000 breathe participants, along with a control group of people not receiving funds.",director of pennâs center for guaranteed income research.,0.37948474287986755,"director, penn's center for guaranteed income research researchers at the university of pennsylvania are surveying the 1,000 breathe participants, along with a control group of people not receiving funds.",director of pennâs center for guaranteed income research director of pennâs center for guaranteed income research.,0.7197462320327759
