GT_Sentence,LLM_Sentence,Sentence_Match_Score,Source_Type_GT,Source_Type_LLM,Source_Type_Match,Name_GT,Name_LLM,Name_Match_Score,Title_GT,Title_LLM,Title_Match_Score,Justification_GT,Justification_LLM,Justification_Match_Score,Title_and_Justification_GT,Title_and_Justification_LLM,Title_and_Justification_Match_Score
"gov. gavin newsom on tuesday declared a state of emergency for the city of rancho palos verdes ""to protect public safety amid ongoing land movement that has resulted in disrupted utility services and evacuation warnings for impacted residents.""","gov. gavin newsom on tuesday declared a state of emergency for the city of rancho palos verdes ""to protect public safety amid ongoing land movement that has resulted in disrupted utility services and evacuation warnings for impacted residents.""",100,Named_Person,Named_Person,Yes,gavin newsom,gavin newsom,100,governor,gov.,0.6401526927947998,,,0.0,governor ,gov. ,0.6401526927947998
"in february, rancho palos verdes mayor john cruikshank said a state of emergency declaration from the governor would allow them to bypass state permit requirements for repair efforts.","in february, rancho palos verdes mayor john cruikshank said a state of emergency declaration from the governor would allow them to bypass state permit requirements for repair efforts.",100,Named_Person,Named_Person,Yes,john cruikshank,john cruikshank,100,mayor,mayor,1.0,,"city's,rancho palos verdes",0.0,mayor ,"mayor city's,rancho palos verdes",0.8062347173690796
a spokesperson for southern california edison on monday said the power outages will impact some homes longer than others: they say 20 will be without power indefinitely and 38 will be without power for one to three weeks. the rest were slated to be without power for 24 hours.,a spokesperson for southern california edison on monday said the power outages will impact some homes longer than others: they say 20 will be without power indefinitely and 38 will be without power for one to three weeks.,100,Named_Organization,Anonymous_Groups,No,southern california edison,,0,,spokesperson,0.0,many impacted residents have purchased generators so they can stay on their properties despite power outages.,for southern california edison,0.24347196519374847, many impacted residents have purchased generators so they can stay on their properties despite power outages.,spokesperson for southern california edison,0.19017572700977325
"on thursday, socalgas announced that it was shutting off gas service to additional 29 homes in the western seaview area and another 25 homes in the portuguese bend beach club starting at 3 p.m. friday. the shut-offs are expected to last indefinitely, the utility added.","on thursday, socalgas announced that it was shutting off gas service to additional 29 homes in the western seaview area and another 25 homes in the portuguese bend beach club starting at 3 p.m. friday.",100,Named_Organization,Named_Organization,Yes,socalgas,socalgas,100,,,0.0,,,0.0, , ,0.0
"“the land movement has created a dangerous situation, and edison is deciding to disconnect to keep that community safe,” said jim hanggi, a spokesperson for the utility. “it is a fluid situation and we’re working on solutions to keep the power flowing but as conditions change we’ll need to adjust to keep the community safe.”","the land movement has created a dangerous situation, and edison is deciding to disconnect to keep that community safe, said jim hanggi, a spokesperson for the utility.",100,Named_Person,Named_Person,Yes,jim hanggi,jim hanggi,100,"spokesperson, southern california edison",spokesperson,1.0,,for the utility,0.0,"spokesperson, southern california edison ",spokesperson for the utility,0.7115476727485657
"impacted residents, many of whom are older, have disabilities and bought their homes decades ago, have experienced a range of difficult emotions as they’ve been displaced in recent months and watched their community dramatically change due to the land movement.","impacted residents, many of whom are older, have disabilities and bought their homes decades ago, have experienced a range of difficult emotions as theyve been displaced in recent months and watched their community dramatically change due to the land movement.",100,Anonymous_Groups,Anonymous_Groups,Yes,,impacted residents,0,,,0.0,,"many of whom are older, have disabilities and bought their homes decades ago",0.0, ," many of whom are older, have disabilities and bought their homes decades ago",0.0
some say they weren’t given sufficient warning about the power shutoffs and aren’t sure where to go.,some say they werent given sufficient warning about the power shutoffs and arent sure where to go.,98,Anonymous_Groups,Anonymous_Groups,Yes,impacted residents,impacted residents,100,,,0.0,"impacted residents, many of whom are older, have disabilities and bought their homes decades ago, have experienced a range of difficult emotions as they’ve been displaced in recent months and watched their community dramatically change due to the land movement.","many of whom are older, have disabilities and bought their homes decades ago",1.0000001192092896," impacted residents, many of whom are older, have disabilities and bought their homes decades ago, have experienced a range of difficult emotions as they’ve been displaced in recent months and watched their community dramatically change due to the land movement."," many of whom are older, have disabilities and bought their homes decades ago",1.0000001192092896
"gordon leon told laist he plans to move into a tiny home on his property and bought four generators to power it. he said he’s had no gas for weeks now, but water is still running. the power in his house has been shut off indefinitely, so his plan is to move off the grid.",gordon leon told laist he plans to move into a tiny home on his property and bought four generators to power it.,100,Named_Person,Named_Person,Yes,gordon leon,gordon leon,100,,,0.0,others plan to stay.,impacted resident,0.17030808329582214, others plan to stay., impacted resident,0.17030808329582214
"leon said he and his neighbors are just trying to ""figure out how to survive.” some, he said, are getting ready to leave permanently.","some, he said, are getting ready to leave permanently.",100,Named_Person,Anonymous_Groups,No,gordon leon,leon and his neighbors,24,,,0.0,others plan to stay.,,0.0, others plan to stay., ,0.0
"leon doesn't want to leave his neighborhood because he loves its beauty and that he gets to look at the ocean every day, he said.","leon doesn't want to leave his neighborhood because he loves its beauty and that he gets to look at the ocean every day, he said.",100,Named_Person,Named_Person,Yes,gordon leon,gordon leon,100,,,0.0,others plan to stay.,impacted resident,0.17030808329582214, others plan to stay., impacted resident,0.17030808329582214
