GT_Sentence,LLM_Sentence,Sentence_Match_Score,Source_Type_GT,Source_Type_LLM,Source_Type_Match,Name_GT,Name_LLM,Name_Match_Score,Title_GT,Title_LLM,Title_Match_Score,Justification_GT,Justification_LLM,Justification_Match_Score,Title_and_Justification_GT,Title_and_Justification_LLM,Title_and_Justification_Match_Score
"it’s the product of a perverse feedback loop that was flagged by a columbia university study undertaken of the 2106 electorate with the support of the poor people’s campaign, which studied the low-wage voter cohort and found a majority of them did not vote and when they were surveyed they explained they didn’t turn out because they didn’t hear candidates discuss issues that had any relevancy to their lives.",,0,Documents,,No,columbia university study,,0,,,0.0,,,0.0, ,,0.0
"columbia university researcher robert paul hartley found that only 46 percent of voters with household income less than twice the federal poverty rate cast a ballot in 2016, as compared to a 68 percent turnout rate for voters who had a household income more than twice the poverty line.",,0,Named_Person,,No,robert paul hartley,,0,columbia university researcher,,0.0,,,0.0,columbia university researcher ,,0.0
"“they’re saying that they’re not voting because people are not speaking to their issues and that they’re just not interested in those candidates,” hartley, told the new york times “but it’s not that they couldn’t be.”","theyre saying that theyre not voting because people are not speaking to their issues and that theyre just not interested in those candidates, hartley, told the new york times but its not that they couldnt be.",98,Named_Person,Named_Person,Yes,robert paul hartley,robert paul hartley,100,columbia university researcher,columbia university researcher,1.0,,,0.0,columbia university researcher ,columbia university researcher ,1.0
"""in 2024, the election is going to be about mobilization,” lake told reporters. “there is no question that the biggest contest between the two parties is going to be who can get their voters out to vote. democrats have an enthusiasm gap today, and the progressive alliance and democrats have fissures within their constituency that makes getting out the vote even more important. the biggest bloc of potential voters by far is low-income, low-wage voters. increased participation even by miniscule percentages could be game changers. it is a massive voter engagement that is being started here today.”","in 2024, the election is going to be about mobilization, lake told reporters. there is no question that the biggest contest between the two parties is going to be who can get their voters out to vote. democrats have an enthusiasm gap today, and the progressive alliance and democrats have fissures within their constituency that makes getting out the vote even more important. the biggest bloc of potential voters by far is low-income, low-wage voters. increased participation even by miniscule percentages could be game changers. it is a massive voter engagement that is being started here today.",100,Named_Person,Named_Person,Yes,celinda lake,celinda lake,100,"president, lake research partners",respected pollster; president of lake research partners,0.6603531837463379,"they were joined by respected pollster celinda lake, president of lake research partners.",joined the poor people's campaign; at the national press club in washington,0.18068154156208038,"president, lake research partners they were joined by respected pollster celinda lake, president of lake research partners.",respected pollster; president of lake research partners joined the poor people's campaign; at the national press club in washington,0.6198939681053162
"the poor people’s campaign is planning simultaneous actions on march 2 at over 30 state capitols to launch “the campaign and highlight the policies being promulgated in state houses across the country that are hurting the poor or distracting from addressing the real issues facing poor and low-wealth people,” according to the ppc",,0,Named_Organization,,No,poor people’s campaign,,0,,,0.0,,,0.0, ,,0.0
"the targeted states include alabama, arizona, california, the district of columbia, delaware, florida, georgia, illinois, indiana, kansas, kentucky, massachusetts, maryland, maine, michigan, missouri, mississippi, nebraska, north carolina, new jersey, new york, ohio, oklahoma, pennsylvania, rhode island, south carolina, tennessee, texas, vermont, washington, wisconsin, and west virginia.",,0,Named_Organization,,No,poor people’s campaign,,0,,,0.0,,,0.0, ,,0.0
"“for far too long extremists have blamed poor people and low wage people for their plight while moderates too often have ignored poor people, appealing instead to the so-called middle class while the poor and low wage people have become nearly half of this country,” barber told reporters. “poor and low wage people have the power to determine and decide the 2024 elections and elections beyond. in the 2016 election there were 34 million poor and low wealth people eligible to vote but didn’t. these voters made up more than a quarter of the electorate.”","for far too long extremists have blamed poor people and low wage people for their plight while moderates too often have ignored poor people, appealing instead to the so-called middle class while the poor and low wage people have become nearly half of this country, barber told reporters. poor and low wage people have the power to determine and decide the 2024 elections and elections beyond. in the 2016 election there were 34 million poor and low wealth people eligible to vote but didnt. these voters made up more than a quarter of the electorate.",100,Named_Person,Named_Person,Yes,barber,william barber,60,,rev. dr.,0.0,,leader of the poor peoples campaign,0.0, ,rev. dr. leader of the poor peoples campaign,0.0
“poor and low wage people have the power to determine and decide the 2024 elections and elections beyond. in the 2016 election there were 34 million poor and low wealth people eligible to vote but didn’t. these voters made up more than a quarter of the electorate.”,"for far too long extremists have blamed poor people and low wage people for their plight while moderates too often have ignored poor people, appealing instead to the so-called middle class while the poor and low wage people have become nearly half of this country, barber told reporters. poor and low wage people have the power to determine and decide the 2024 elections and elections beyond. in the 2016 election there were 34 million poor and low wealth people eligible to vote but didnt. these voters made up more than a quarter of the electorate.",99,Named_Person,Named_Person,Yes,william barber,william barber,100,rev.dr.,rev. dr.,0.8228467702865601,,leader of the poor peoples campaign,0.0,rev.dr. ,rev. dr. leader of the poor peoples campaign,0.8228467702865601
"“poverty is now the fourth leading crisis of death in america, a moral crisis in america taking the lives of 800 people a day and this is before and after covid…these are the issues that must be at the center of the narrative of a democracy in our country. if we are serious about saving the democracy it can’t be some philosophical term. saving the democracy must be a third reconstruction where people are paid a living wage—where people have health care—where public education is fully funded and where voting rights are protected and expanded.”","poverty is now the fourth leading crisis of death in america, a moral crisis in america taking the lives of 800 people a day and this is before and after covid these are the issues that must be at the center of the narrative of a democracy in our country. if we are serious about saving the democracy it cant be some philosophical term. saving the democracy must be a third reconstruction where people are paid a living wagewhere people have health carewhere public education is fully funded and where voting rights are protected and expanded.",99,Named_Person,Named_Person,Yes,william barber,william barber,100,rev.dr.,rev. dr.,0.8228467702865601,,leader of the poor peoples campaign,0.0,rev.dr. ,rev. dr. leader of the poor peoples campaign,0.8228467702865601
barber called out by name eight moderate u.s. senate democrats that in 2021 joined with the republicans to defeat raising the minimum wage to $1 from the $7.25 where it has been stuck since 2009 when obama was president.,,0,Named_Person,,No,william barber,,0,rev.dr.,,0.0,,,0.0,rev.dr. ,,0.0
"speakers at the press conference referenced congress’s decision to roll back the expansion of the earned income child tax credit, which caused a major spike in childhood poverty and the biden administration’s decision to let states “unwind” medicaid when the white house declared the pandemic was over.",,0,Anonymous_Groups,,No,speakers,,0,,,0.0,"as a consequence, several million people lost their subsidized coverage including over three million children.",,0.0," as a consequence, several million people lost their subsidized coverage including over three million children.",,0.0
"“we are mobilizing, organizing, registering and educating people for a movement that votes, votes for healthcare and debt cancellation, votes for living wages and string anti-poverty programs and votes for fair taxes and the demilitarizing of our communities and world,” said rev. dr. liz theoharis who noted that since the last presidential election close to 1,000 voter suppression bills have been introduced “that impacts poor and low income people the most.”","we are mobilizing, organizing, registering and educating people for a movement that votes, votes for healthcare and debt cancellation, votes for living wages and string anti-poverty programs and votes for fair taxes and the demilitarizing of our communities and world, said rev. dr. liz theoharis who noted that since the last presidential election close to 1,000 voter suppression bills have been introduced that impacts poor and low income people the most.",100,Named_Person,Named_Person,Yes,liz theoharis,liz theoharis,100,rev. dr.,rev. dr.,1.0,,leader of the poor peoples campaign,0.0,rev. dr. ,rev. dr. leader of the poor peoples campaign,1.0
"""i work for masshealth as a personal care attendant, helping to take care of people with disabilities and who are sick and need help with their daily activities. but i do not have health insurance myself,” guzman told reporters. “i am an essential worker living paycheck-to-paycheck and i have to make decisions every day. do i put gas in my car or do i pay my bills? or do i put food on my table?,” said janice guzman, an organizer with the. “this is why i am organizing with the massachusetts poor people's campaign. we have got to get our power as people, get back the mic, raise our voices and register voters. forward together!""","""i work for masshealth as a personal care attendant, helping to take care of people with disabilities and who are sick and need help with their daily activities. but i do not have health insurance myself, guzman told reporters. i am an essential worker living paycheck-to-paycheck and i have to make decisions every day. do i put gas in my car or do i pay my bills? or do i put food on my table?, said janice guzman, an organizer with the. this is why i am organizing with the massachusetts poor people's campaign. we have got to get our power as people, get back the mic, raise our voices and register voters. forward together!",100,Named_Person,Named_Person,Yes,janice guzman,janice guzman,100,"organizer, massachusetts poor people's campaign",,0.0,,organizer with the massachusetts poor people's campaign and seiu 1199,0.0,"organizer, massachusetts poor people's campaign ", organizer with the massachusetts poor people's campaign and seiu 1199,0.7377764582633972
