GT_Sentence,LLM_Sentence,Sentence_Match_Score,Source_Type_GT,Source_Type_LLM,Source_Type_Match,Name_GT,Name_LLM,Name_Match_Score,Title_GT,Title_LLM,Title_Match_Score,Justification_GT,Justification_LLM,Justification_Match_Score,Title_and_Justification_GT,Title_and_Justification_LLM,Title_and_Justification_Match_Score
"campa’s next goal? to get her son, sergio, who has been diagnosed with autism spectrum disorder, enrolled in kindergarten.",,0,Named_Person,,No,juanita campa,,0,,,0.0,she doesn’t like to think about how her family used to live in the jungle. now she has less than 90 days remaining at the hotel.,,0.0, she doesn’t like to think about how her family used to live in the jungle. now she has less than 90 days remaining at the hotel.,,0.0
"“he’s a very smart kid,” campa said. “he listens.”","hes a very smart kid, campa said. he listens.",92,Named_Person,Named_Person,Yes,juanita campa,juanita campa,100,,,0.0,she doesn’t like to think about how her family used to live in the jungle. now she has less than 90 days remaining at the hotel.,"after being evicted from her apartment, juanita campa was homeless for years, eventually coming to live with her 4-year-old son and his father in the jungle, an encampment along the edge of san joses coyote creek.;more recently, though, they moved into a hotel that serves as transitional housing for homeless children and their families.;campas next goal? to get her son, sergio, who has been diagnosed with autism spectrum disorder, enrolled in kindergarten.;campa also hopes to move her family into a more permanent living situation. but until then, sergio will be among the rapidly growing ranks of unhoused students in south bay schools.,back on the east side;shes waited for more than two months to get a phone call back from the mckinley-franklin and san jose unified school districts. she started filing sergios paperwork over a year ago.",0.621078372001648, she doesn’t like to think about how her family used to live in the jungle. now she has less than 90 days remaining at the hotel.," after being evicted from her apartment, juanita campa was homeless for years, eventually coming to live with her 4-year-old son and his father in the jungle, an encampment along the edge of san joses coyote creek.;more recently, though, they moved into a hotel that serves as transitional housing for homeless children and their families.;campas next goal? to get her son, sergio, who has been diagnosed with autism spectrum disorder, enrolled in kindergarten.;campa also hopes to move her family into a more permanent living situation. but until then, sergio will be among the rapidly growing ranks of unhoused students in south bay schools.,back on the east side;shes waited for more than two months to get a phone call back from the mckinley-franklin and san jose unified school districts. she started filing sergios paperwork over a year ago.",0.621078372001648
campa also hopes to move her family into a more permanent living situation.,,0,Named_Person,,No,juanita campa,,0,,,0.0,she doesn’t like to think about how her family used to live in the jungle. now she has less than 90 days remaining at the hotel.,,0.0, she doesn’t like to think about how her family used to live in the jungle. now she has less than 90 days remaining at the hotel.,,0.0
"since 2020, the number of homeless students in santa clara county has almost doubled, according to the california department of education.","since 2020, the number of homeless students in santa clara county has almost doubled, according to the california department of education.",100,Named_Organization,Documents,No,california department of education,california department of education,100,,,0.0,among the rapidly growing ranks of unhoused students in south bay schools.,,0.0, among the rapidly growing ranks of unhoused students in south bay schools., ,0.0
"about 1,200 students in the east side union high school district and alum rock union school district were reported to be homeless in 2024 — three times the number of homeless students in 2020.","about 1,200 students in the east side union high school district and alum rock union school district were reported to be homeless in 2024  three times the number of homeless students in 2020.",100,Named_Organization,Documents,No,california department of education,,0,,,0.0,among the rapidly growing ranks of unhoused students in south bay schools.,,0.0, among the rapidly growing ranks of unhoused students in south bay schools., ,0.0
"three other counties in the bay area — alameda, contra costa and san mateo — had between 2,100 and 4,700 homeless students enrolled in their schools in 2023. according to the state, 10% to 12% of those students were living in temporary shelters that year.","three other counties in the bay area  alameda, contra costa and san mateo  had between 2,100 and 4,700 homeless students enrolled in their schools in 2023. according to the state, 10% to 12% of those students were living in temporary shelters that year.",100,Named_Organization,Documents,No,california department of education,,0,,,0.0,among the rapidly growing ranks of unhoused students in south bay schools.,,0.0, among the rapidly growing ranks of unhoused students in south bay schools., ,0.0
"in the alum rock district, superintendent imee almazan said the covid-19 pandemic exacerbated multiple economic issues that were out of the parents’ and the school district’s control, leading to the increase in homeless youth.",,0,Named_Person,,No,imee almazan,,0,"superintendent, alum rock district",,0.0,,,0.0,"superintendent, alum rock district ",,0.0
"“it goes back to economic hardships, loss of jobs, displacement. there’s just a number of reasons why our families are growing in our (homeless youth) population,” almazan said. “and some of our families haven’t bounced back from that yet.”","it goes back to economic hardships, loss of jobs, displacement. theres just a number of reasons why our families are growing in our (homeless youth) population, almazan said. and some of our families havent bounced back from that yet.",100,Named_Person,Named_Person,Yes,imee almazan,imee almazan,100,"superintendent, alum rock district",superintendent,1.0000001192092896,,in the alum rock district,0.0,"superintendent, alum rock district ",superintendent in the alum rock district,0.7487971782684326
"maryam adalat, director of student services at east side union high school district, said many families have lost stable housing, their jobs or loved ones who were the family’s main provider since the covid-19 pandemic.",,0,Named_Person,,No,maryam adalat,,0,"director of student services, east side union high school district",,0.0,,,0.0,"director of student services, east side union high school district ",,0.0
"adalat said district staff have seen many families facing unstable housing and multiple families living in a household. “we have students who are living in shelters. we actually have foster youth that are unhoused as well,” she said.","adalat said district staff have seen many families facing unstable housing and multiple families living in a household. we have students who are living in shelters. we actually have foster youth that are unhoused as well, she said.",100,Named_Person,Named_Person,Yes,maryam adalat,maryam adalat,100,"director of student services, east side union high school district",director of student services at east side union high school district,0.7919358611106873,,,0.0,"director of student services, east side union high school district ",director of student services at east side union high school district ,0.7919358611106873
"out of the 1,974 homeless students enrolled at east side in 2022-2023, 488 were living in temporary shelters, according to the state education department, while 75 students were living in hotels and motels, and 33 students were temporarily unsheltered or living in abandoned buildings, campgrounds, vehicles, trailer parks or train and bus stations.","out of the 1,974 homeless students enrolled at east side in 2022-2023, 488 were living in temporary shelters, according to the state education department, while 75 students were living in hotels and motels, and 33 students were temporarily unsheltered or living in abandoned buildings, campgrounds, vehicles, trailer parks or train and bus stations.",100,Named_Organization,Documents,No,california department of education,state education department,53,,,0.0,among the rapidly growing ranks of unhoused students in south bay schools.,,0.0, among the rapidly growing ranks of unhoused students in south bay schools., ,0.0
"that same year, a majority of homeless students in the district were unable to pass the smarter balanced summative assessments, standardized tests for mathematics and language arts. around 78% of homeless students were unable to meet the standards for mathematics, while 51% were unable to meet the standard for language arts.","that same year, a majority of homeless students in the district were unable to pass the smarter balanced summative assessments, standardized tests for mathematics and language arts. around 78% of homeless students were unable to meet the standards for mathematics, while 51% were unable to meet the standard for language arts.",100,Named_Organization,Named_Organization,Yes,california department of education,smarter balanced summative assessments,19,,,0.0,among the rapidly growing ranks of unhoused students in south bay schools.,,0.0, among the rapidly growing ranks of unhoused students in south bay schools., ,0.0
"annya artigas, the director of social emotional learning at the alum rock district, said homelessness can affect students inside and outside the classroom. for example, many homeless children struggle to find timely transportation to school, and once they arrive at school, the only meal they may eat is their school lunch.",,0,Named_Person,,No,annya artigas,,0,"the director of social emotional learning at the alum rock district,director of social emotional learning, the alum rock district",,0.0,,,0.0,"the director of social emotional learning at the alum rock district,director of social emotional learning, the alum rock district ",,0.0
"“there are a number of kids that we knew who were homeless who would show up late. before we brought them to the classroom, we bring them to the cafeteria and grab them something to eat and grab them some milk so that they can have something in their stomach before they went into the classroom,” she said.","there are a number of kids that we knew who were homeless who would show up late. before we brought them to the classroom, we bring them to the cafeteria and grab them something to eat and grab them some milk so that they can have something in their stomach before they went into the classroom, she said.",100,Named_Person,Named_Person,Yes,annya artigas,annya artigas,100,"the director of social emotional learning at the alum rock district,director of social emotional learning, the alum rock district",director of social emotional learning at the alum rock district,0.9975255131721497,,,0.0,"the director of social emotional learning at the alum rock district,director of social emotional learning, the alum rock district ",director of social emotional learning at the alum rock district ,0.9975255131721497
"as a result of these different stressors, homeless children may also struggle to stay mentally present in school, artigas said. many come to school sleepy, tired and hungry, impacting their ability to function in the classroom.",,0,Named_Person,,No,"annya artigas,",,0,the director of social emotional learning at the alum rock district,,0.0,,,0.0,the director of social emotional learning at the alum rock district ,,0.0
"“whenever a child presents inside a classroom, all of those things come with that child. and all of those things are impacting their ability to engage, their ability to receive information and process it and retain it,” artigas said.",,0,Named_Person,,No,"annya artigas,",,0,the director of social emotional learning at the alum rock district,,0.0,,,0.0,the director of social emotional learning at the alum rock district ,,0.0
"maureen smith, a professor who teaches childhood adolescent development at san jose state university, said children experiencing homelessness without a guardian are also less likely to be enrolled in school. she said some children are forced to leave their homes because of domestic violence or because of their gender or sexual identity.",,0,Named_Person,,No,maureen smith,,0,"professor, san jose state university",,0.0,professor who teaches childhood adolescent development,,0.0,"professor, san jose state university professor who teaches childhood adolescent development",,0.0
"“they leave the home really traumatized to begin with, and then they end up on the streets,” smith said.","they leave the home really traumatized to begin with, and then they end up on the streets, smith said.",100,Named_Person,Named_Person,Yes,maureen smith,maureen smith,100,"professor, san jose state university",professor,1.0,professor who teaches childhood adolescent development,who teaches childhood adolescent development at san jose state university;children experiencing homelessness without a guardian are also less likely to be enrolled in school;some children are forced to leave their homes because of domestic violence or because of their gender or sexual identity,0.5054331421852112,"professor, san jose state university professor who teaches childhood adolescent development",professor who teaches childhood adolescent development at san jose state university;children experiencing homelessness without a guardian are also less likely to be enrolled in school;some children are forced to leave their homes because of domestic violence or because of their gender or sexual identity,0.6951601505279541
"back on the east side, campa said sergio will be able to go to school soon, but she doesn’t know when. she’s waited for more than two months to get a phone call back from the mckinley-franklin and san jose unified school districts. she started filing sergio’s paperwork over a year ago.",,0,Named_Person,,No,juanita campa,,0,,,0.0,she doesn’t like to think about how her family used to live in the jungle. now she has less than 90 days remaining at the hotel.,,0.0, she doesn’t like to think about how her family used to live in the jungle. now she has less than 90 days remaining at the hotel.,,0.0
