GT_Sentence,LLM_Sentence,Sentence_Match_Score,Source_Type_GT,Source_Type_LLM,Source_Type_Match,Name_GT,Name_LLM,Name_Match_Score,Title_GT,Title_LLM,Title_Match_Score,Justification_GT,Justification_LLM,Justification_Match_Score,Title_and_Justification_GT,Title_and_Justification_LLM,Title_and_Justification_Match_Score
"on wednesday, city attorney barbara parker filed a lawsuit in alameda county superior court that accuses the airline of violating oakland and california sick leave laws. according to the complaint, southwest has been denying some of its workers in oakland the right to use earned paid sick leave. the city claims that southwest has also retaliated against workers who tried to use their leave and discouraged them from filing complaints with the city.",,0,Documents,,No,lawsuit,,0,,,0.0,,,0, ,,0.0
the city attorney claims that southwest’s violations have potentially affected thousands of workers.,,0,Named_Person,,No,barbara parker,,0,city attorney,,0.0,,,0,city attorney ,,0.0
"“the city of oakland is committed to protecting workers by ensuring that all employers in oakland are complying with laws that protect their rights,” parker said in a statement.","the city of oakland is committed to protecting workers by ensuring that all employers in oakland are complying with laws that protect their rights, parker said in a statement.",99,Named_Person,Named_Person,Yes,barbara parker,barbara parker,100,city attorney,city attorney,1.0000001192092896,,,0,city attorney ,city attorney ,1.0000001192092896
the lawsuit — filed just a couple days after labor day—claims that southwest has also violated an existing settlement agreement that was supposed to resolve similar problems.,,0,Documents,,No,lawsuit,,0,,,0.0,,,0, ,,0.0
"in 2017, the city received complaints that southwest had a policy whereby it zeroed out unused accumulated sick leave pay on january 1 of every year, rather than carry it forward. in december 2020, the city and southwest signed a settlement in which, among other things, the airline agreed to fully restore the sick leave hours it had canceled for certain workers between 2017 and 2020.",,0,Documents,,No,lawsuit,,0,,,0.0,,,0, ,,0.0
"according to the city attorney, southwest didn’t restore those hours for all workers.",,0,Named_Person,,No,barbara parker,,0,city attorney,,0.0,,,0,city attorney ,,0.0
"the city is demanding that southwest comply with local labor laws and the 2020 settlement agreement; pay restitution, damages and penalties to the affected workers; pay for the cost of the city enforcing the law; and undo any disciplinary actions taken against workers under the allegedly unlawful sick leave policy.",,0,Documents,,No,lawsuit,,0,,,0.0,,,0, ,,0.0
a southwest spokesperson told the oaklandside that the assertion that any oakland employee was forced to work while sick or take unpaid absences is unfounded.,a southwest spokesperson told the oaklandside that the assertion that any oakland employee was forced to work while sick or take unpaid absences is unfounded.,100,Named_Organization,Named_Organization,Yes,southwest airlines,southwest airlines,100,,,0.0,,,0, , ,0.0
"southwest airlines fully complies with applicable sick leave laws in oakland and california, as well as with the terms of a december 2020 settlement agreement with the city, although southwest remains willing to address the city’s concerns about sick leave policies, the airline is prepared to vigorously defend itself against these frivolous claims in court, including by asking the court to address the city’s own breach of the settlement agreement.","southwest airlines fully complies with applicable sick leave laws in oakland and california, as well as with the terms of a december 2020 settlement agreement with the city, the spokesperson said in a statement. although southwest remains willing to address the citys concerns about sick leave policies, the airline is prepared to vigorously defend itself against these frivolous claims in court, including by asking the court to address the citys own breach of the settlement agreement.",100,Named_Organization,Named_Organization,Yes,southwest airlines,southwest airlines,100,,,0.0,,,0, , ,0.0
"in a press release, the city attorney said southwest’s practices were especially detrimental during the covid-19 pandemic, when workers were forced to report to work even when they were sick.",,0,Named_Person,,No,barbara parker,,0,city attorney,,0.0,,,0,city attorney ,,0.0
"“we are grateful that the city of oakland is holding southwest accountable. we hope that southwest policies and practices will finally change for good,” eric swygert, a southwest employee and an elected ramp representative with the transport workers union of america local 555, said in a statement.","we are grateful that the city of oakland is holding southwest accountable. we hope that southwest policies and practices will finally change for good, eric swygert, a southwest employee and an elected ramp representative with the transport workers union of america local 555, said in a statement.",100,Named_Person,Named_Person,Yes,eric swygert,eric swygert,100,elected ramp representative with the transport workers union of america local 555,southwest employee; elected ramp representative with the transport workers union of america local 555,0.884212076663971,southwest employee,,0,elected ramp representative with the transport workers union of america local 555 southwest employee,southwest employee; elected ramp representative with the transport workers union of america local 555 ,0.9813493490219116
"oakland has several laws that protect workers, including measure ff, a 2014 ordinance approved by oakland voters that established a minimum wage and requires employers to provide paid sick leave to employees. the law also authorizes the city attorney to file lawsuits to enforce it",,0,Documents,,No,measure ff,,0,,,0.0,,,0, ,,0.0
