GT_Sentence,LLM_Sentence,Sentence_Match_Score,Source_Type_GT,Source_Type_LLM,Source_Type_Match,Name_GT,Name_LLM,Name_Match_Score,Title_GT,Title_LLM,Title_Match_Score,Justification_GT,Justification_LLM,Justification_Match_Score,Title_and_Justification_GT,Title_and_Justification_LLM,Title_and_Justification_Match_Score
"the decision disappointed the landowners, who were not allowed to speak at the meeting but issued a statement vowing to continue fighting to keep their land by appealing in court.",,0,Anonymous_Groups,,No,landowners,,0,,,0.0,,,0.0, ,,0.0
"the construction would also have an impact on other black residents in the community, who believe it would affect their quality of life.",,0,Anonymous_Groups,,No,other black residents,,0,,,0.0,,,0.0, ,,0.0
"but, some legal experts and landowners told capital b that black communities aren’t experiencing “just” and “fair” processes and say there needs to be more accountability to stop government abuse of eminent domain.",,0,Anonymous_Groups,,No,legal experts and landowners,,0,,,0.0,,,0.0, ,,0.0
"benjamin tarbutton iii, the owner of sandersville railroad, has contended this development is expected to create 20 temporary construction jobs, a dozen permanent jobs with an average salary and benefits package of $90,000, and generate over $1.5 million annually for hancock county.","this development is expected to create 20 temporary construction jobs, a dozen permanent jobs with an average salary and benefits package of $90,000, and generate over $1.5 million annually for hancock county.",100,Named_Person,Named_Organization,No,benjamin tarbutton iii,sandersville railroad,19,"owner, sandersville railroad",,0.0,,"benjamin tarbutton iii, the owner of sandersville railroad, has contended",0.0,"owner, sandersville railroad "," benjamin tarbutton iii, the owner of sandersville railroad, has contended",0.8302291631698608
other residents told capital b they feared potential damage to their homes from the train.,,0,Anonymous_Groups,,No,other residents,,0,,,0.0,,,0.0, ,,0.0
"there are also environmental concerns, said jamie rush, senior staff attorney with the southern poverty law center’s economic justice project who represents the no railroad in our community coalition, a coalition of residents who aren’t losing their property to the railroad but will be affected by the train.",,0,Named_Person,,No,jamie rush,,0,"senior staff attorney, southern poverty law center’s economic justice project",,0.0,who represents the no railroad in our community coalition,,0.0,"senior staff attorney, southern poverty law center’s economic justice project who represents the no railroad in our community coalition",,0.0
"“the reality is if you’ve ever lived near a train, or you’ve ever ridden on a train or been near a train, it’s not the same as trucks driving by,” rush said last year. “even if the train is not going through your property, the fact that a train is near your property — all of the noise pollution, the vibrations of a train … all of that affects your property value, your peace of mind and your home.”",,0,Named_Person,,No,jamie rush,,0,"senior staff attorney, southern poverty law center’s economic justice project",,0.0,who represents the no railroad in our community coalition,,0.0,"senior staff attorney, southern poverty law center’s economic justice project who represents the no railroad in our community coalition",,0.0
"in april, capital b reported that thomas k. bond, a hearing officer with the georgia public service commission, approved sandersville’s request to move forward with condemning properties to construct their railroad spur.",,0,Named_Organization,,No,capital b,,0,,,0.0,,,0.0, ,,0.0
"“the proposed condemnation … serves a legitimate public purpose and is necessary for the proper accommodation of the business,” bond wrote. “the petition of sandersville railroad, as amended, is granted.”","the petition of sandersville railroad, as amended, is granted.",100,Named_Person,Documents,No,thomas k. bond,georgia public service commission,21,"hearing officer, georgia public service commission",,0.0,,"in april, capital b reported that thomas k. bond, a hearing officer with the georgia public service commission, approved sandersvilles request to move forward with condemning properties to construct their railroad spur.",0.0,"hearing officer, georgia public service commission "," in april, capital b reported that thomas k. bond, a hearing officer with the georgia public service commission, approved sandersvilles request to move forward with condemning properties to construct their railroad spur.",0.7363608479499817
"two weeks after the hearing, georgia state rep. spencer fyre sent a letter to the commission describing the land acquisition as a “heist attempt,” where private businesses are looking to increase their profits by taking folks’ land despite their resistance to sell.",,0,Documents,,No,letter,,0,,,0.0,georgia state rep. spencer fyre sent a letter to the commission,,0.0, georgia state rep. spencer fyre sent a letter to the commission,,0.0
"“i truly hate to have to say this, but if david v. goliath had been decided by the ga public service commission, they’d have confiscated david’s slingshot and handed it to the philistines,” fyre wrote.","i truly hate to have to say this, but if david v. goliath had been decided by the ga public service commission, theyd have confiscated davids slingshot and handed it to the philistines.",100,Documents,Named_Person,No,letter,spencer fyre,33,,georgia state rep.,0.0,georgia state rep. spencer fyre sent a letter to the commission,,0.0, georgia state rep. spencer fyre sent a letter to the commission,georgia state rep. ,0.4859668016433716
