GT_Sentence,LLM_Sentence,Sentence_Match_Score,Source_Type_GT,Source_Type_LLM,Source_Type_Match,Name_GT,Name_LLM,Name_Match_Score,Title_GT,Title_LLM,Title_Match_Score,Justification_GT,Justification_LLM,Justification_Match_Score,Title_and_Justification_GT,Title_and_Justification_LLM,Title_and_Justification_Match_Score
some trans voters have expressed confusion and fear of discrimination at the ballot box that could discourage them from participating in public life.,,0,Anonymous_Groups,,No,trans voters,,0,,,0.0,,,0.0, ,,0.0
"“there is a chilling effect,” said lauren kunis, ceo and executive director of voteriders, which helps voters obtain identification. “there is an unsafe and intimidating environment around existing as trans in society, and definitely in being able to go to the polls safely and cast a ballot.”","there is an unsafe and intimidating environment around existing as trans in society, and definitely in being able to go to the polls safely and cast a ballot.",99,Named_Person,Anonymous_Groups,No,lauren kunis,,0,ceo and executive director of voteriders,ceo and executive director,0.6940779685974121,"in eight battleground states, the nonprofit voteriders is on the ground helping voters get the identification they need to cast ballots in the november election — and one that reflects who they are.","voteriders, which helps voters obtain identification",0.6626598834991455,"ceo and executive director of voteriders in eight battleground states, the nonprofit voteriders is on the ground helping voters get the identification they need to cast ballots in the november election — and one that reflects who they are.","ceo and executive director voteriders, which helps voters obtain identification",0.8401658535003662
"“a lot is falling on poll workers to correctly enforce the law,” kunis added. “and i would argue that is less of a solid protection in states where anti-trans rhetoric is skyrocketing.”",and i would argue that is less of a solid protection in states where anti-trans rhetoric is skyrocketing.,99,Named_Person,Anonymous_Groups,No,lauren kunis,,0,ceo and executive director of voteriders,ceo and executive director,0.6940779685974121,"in eight battleground states, the nonprofit voteriders is on the ground helping voters get the identification they need to cast ballots in the november election — and one that reflects who they are.","voteriders, which helps voters obtain identification",0.6626598834991455,"ceo and executive director of voteriders in eight battleground states, the nonprofit voteriders is on the ground helping voters get the identification they need to cast ballots in the november election — and one that reflects who they are.","ceo and executive director voteriders, which helps voters obtain identification",0.8401658535003662
"at least nine states in the past two years have explicitly regulated gender in this way, according to a tally by the movement advancement project (map), which tracks lgbtq+ policy.",,0,Named_Organization,,No,movement advancement project,,0,,,0.0,"the movement advancement project (map), which tracks lgbtq+ policy.",,0.0," the movement advancement project (map), which tracks lgbtq+ policy.",,0.0
"anti-transgender rhetoric was front and center at the republican national convention in july, and trump has taken to verbally targeting transgender people in his campaign.",,0,Documents,,No,19th news,,0,,,0.0,,,0.0, ,,0.0
he described democratic vice presidential nominee tim walz recently as “very heavy into the transgender world.”,,0,Named_Person,,No,former president,,0,,,0.0,"anti-transgender rhetoric was front and center at the republican national convention in july, and trump has taken to verbally targeting transgender people in his campaign.",,0.0," anti-transgender rhetoric was front and center at the republican national convention in july, and trump has taken to verbally targeting transgender people in his campaign.",,0.0
"an analysis released in august of respondents to the 2022 u.s. transgender survey, widely seen as the most comprehensive study of binary and nonbinary transgender americans, found that voting-eligible trans people had cast ballots in the last presidential election at a higher rate than the u.s. population. the study included more than 92,000 respondents, including more than 84,000 adults who were 18 and older.",,0,Documents,,No,2022 u.s. transgender survey,,0,,,0.0,,,0.0, ,,0.0
"forcing a person to show identification that does not align with their gender identity could out them to people in their community, as lucas cameron-vaughn, an attorney for the aclu of tennessee, explained.",,0,Named_Person,,No,lucas cameron-vaughn,,0,"attorney, aclu of tennessee",,0.0,"those that intentionally target government identification that people use in everyday life, like driver’s licenses, are particularly challenging.",,0.0,"attorney, aclu of tennessee those that intentionally target government identification that people use in everyday life, like driver’s licenses, are particularly challenging.",,0.0
"last year, tennessee gov. bill lee, a republican, signed a bill into law that defines sex as “determined by anatomy and genetics existing at the time of birth.”",,0,Documents,,No,bill,,0,,,0.0,,,0.0, ,,0.0
"the aclu sued the agency for discrimination, claiming the rule was adopted illegally because it didn’t follow proper administrative procedure.",,0,Named_Organization,,No,aclu tennessee,,0,,,0.0,,,0.0, ,,0.0
