GT_Sentence,LLM_Sentence,Sentence_Match_Score,Source_Type_GT,Source_Type_LLM,Source_Type_Match,Name_GT,Name_LLM,Name_Match_Score,Title_GT,Title_LLM,Title_Match_Score,Justification_GT,Justification_LLM,Justification_Match_Score,Title_and_Justification_GT,Title_and_Justification_LLM,Title_and_Justification_Match_Score
the council approved that motion and called for a study to “conclude within 3 months.”,the council approved that motion and called for a study to conclude within 3 months.,98,Named_Organization,Named_Person,No,l.a. city council,l.a. city council,100,,councilmembers,0.0,,,0.0, ,councilmembers ,0.0
"the independent analysis found some of the city’s rules governing rent increases have favored landlords over tenants. the report recommends changes that could lower the rent hikes tenants face each year, setting up what is sure to be a fierce debate at city hall.",,0,Documents,,No,economic roundtable,,0,,,0.0,"four months later, the city still has not released it publicly. laist obtained the report through a public records request.",,0.0," four months later, the city still has not released it publicly. laist obtained the report through a public records request.",,0.0
"over the course of 193 pages, the report offers an extensive analysis of the l.a. rental housing market, challenges facing both tenants and landlords, and the impact of the city’s rent stabilization ordinance.",,0,Documents,,No,economic roundtable,,0,,,0.0,"four months later, the city still has not released it publicly. laist obtained the report through a public records request.",,0.0," four months later, the city still has not released it publicly. laist obtained the report through a public records request.",,0.0
"about 35% of the rent l.a. tenants pay goes to operating expenses for apartment buildings, on average. this includes maintenance, utilities, insurance, payroll and other routine costs. landlords can use the remainder to cover mortgages and turn a profit.",,0,Documents,,No,economic roundtable,,0,,,0.0,"four months later, the city still has not released it publicly. laist obtained the report through a public records request.",,0.0," four months later, the city still has not released it publicly. laist obtained the report through a public records request.",,0.0
"from january 2020 through january 2023, 4 in 10 rent-controlled l.a. apartments became vacant. when a tenant leaves a rent-controlled unit, the city’s rules allow landlords to raise rents to market rates. these higher rents helped landlords absorb the impact of a nearly four-year freeze on rent hikes.",,0,Documents,,No,economic roundtable,,0,,,0.0,"four months later, the city still has not released it publicly. laist obtained the report through a public records request.",,0.0," four months later, the city still has not released it publicly. laist obtained the report through a public records request.",,0.0
"many expenses have risen sharply for landlords in recent years, outpacing inflation. property insurance costs have roughly doubled since 2020. however, the report notes these expenses make up a relatively small portion of overall costs.",,0,Documents,,No,economic roundtable,,0,,,0.0,"four months later, the city still has not released it publicly. laist obtained the report through a public records request.",,0.0," four months later, the city still has not released it publicly. laist obtained the report through a public records request.",,0.0
"about one-fifth of l.a. renters are living below the federal poverty line. according to u.s. census data, just over half of those renters spend 90% of their income or more on rent. rent increases can leave these low-income renters vulnerable to displacement and homelessness.","according to u.s. census data, just over half of those renters spend 90% of their income or more on rent.",100,Documents,Documents,Yes,economic roundtable,u.s. census,20,,,0.0,"four months later, the city still has not released it publicly. laist obtained the report through a public records request.",u.s. census data,0.17010457813739777," four months later, the city still has not released it publicly. laist obtained the report through a public records request.", u.s. census data,0.17010457813739777
the city’s current range of allowable annual rent increases — anywhere from 3% to 8% depending on inflation — is higher than the increases permitted in most other california cities with rent control.,,0,Documents,,No,economic roundtable,,0,,,0.0,"four months later, the city still has not released it publicly. laist obtained the report through a public records request.",,0.0," four months later, the city still has not released it publicly. laist obtained the report through a public records request.",,0.0
"either eliminate a provision allowing landlords to raise rents an extra 1% per year if they pay for a tenant’s gas, plus another 1% if they pay for electricity — or replace it. the report estimates each 1% increase could raise rents an additional $150 to $240 per month after 10 years, more than the actual cost of providing those utilities. one option, the report says, would be to instead use a surcharge that better captures the increased costs of providing those utilities.",,0,Documents,,No,economic roundtable,,0,,,0.0,"four months later, the city still has not released it publicly. laist obtained the report through a public records request.",,0.0," four months later, the city still has not released it publicly. laist obtained the report through a public records request.",,0.0
"the report recommends considering changing which version of the consumer price index is used to calculate allowable increased to one that excludes housing costs, shown as ""less shelter"" in the chart above.",,0,Documents,,No,economic roundtable,,0,,,0.0,"four months later, the city still has not released it publicly. laist obtained the report through a public records request.",,0.0," four months later, the city still has not released it publicly. laist obtained the report through a public records request.",,0.0
"change how annual rent increases are calculated. instead of using a version of the consumer price index driven to a large degree by housing cost inflation, the report recommends a different index that excludes housing costs. the report argues this would stop the feedback loop of allowing high housing inflation to create further housing inflation.",,0,Documents,,No,economic roundtable,,0,,,0.0,"four months later, the city still has not released it publicly. laist obtained the report through a public records request.",,0.0," four months later, the city still has not released it publicly. laist obtained the report through a public records request.",,0.0
"daniel yukelson with the apartment association of greater los angeles pointed to recent data from the national apartment association, a trade group for property owners, concluding that california landlords earn 7 cents of profit on average for every dollar of rent.",california landlords earn 7 cents of profit on average for every dollar of rent.,91,Named_Person,Documents,No,daniel yukelson,national apartment association,36,,,0.0,daniel yukelson with the apartment association of greater los angeles.,"recent data from the national apartment association, a trade group for property owners",0.46971753239631653, daniel yukelson with the apartment association of greater los angeles.," recent data from the national apartment association, a trade group for property owners",0.46971753239631653
"“what [the report] is trying to do is make a pr effort to lay the groundwork to chip away at what little ability landlords have in l.a. to be able to raise rents and be able to keep up with their costs,” yukelson said.","what [the report] is trying to do is make a pr effort to lay the groundwork to chip away at what little ability landlords have in l.a. to be able to raise rents and be able to keep up with their costs, yukelson said.",100,Named_Person,Named_Person,Yes,daniel yukelson,daniel yukelson,100,,,0.0,daniel yukelson with the apartment association of greater los angeles.,"with the apartment association,with the apartment association of greater los angeles",0.6545259952545166, daniel yukelson with the apartment association of greater los angeles.," with the apartment association,with the apartment association of greater los angeles",0.6545259952545166
"he said the report takes a macroeconomic view of the city’s rental market, but fails to capture the unique struggles facing many small landlords.",,0,Named_Person,,No,daniel yukelson,,0,,,0.0,daniel yukelson with the apartment association of greater los angeles.,,0.0, daniel yukelson with the apartment association of greater los angeles.,,0.0
