GT_Sentence,LLM_Sentence,Sentence_Match_Score,Source_Type_GT,Source_Type_LLM,Source_Type_Match,Name_GT,Name_LLM,Name_Match_Score,Title_GT,Title_LLM,Title_Match_Score,Justification_GT,Justification_LLM,Justification_Match_Score,Title_and_Justification_GT,Title_and_Justification_LLM,Title_and_Justification_Match_Score
"u.s. customs and border protection plans to spend about $67.8 million acquiring 277 new surveillance towers and upgrading 191 existing towers along the entire 2,000-mile-long border over the next 14 years, the most recent federal contracts show.","u.s. customs and border protection plans to spend about $67.8 million acquiring 277 new surveillance towers and upgrading 191 existing towers along the entire 2,000-mile-long border over the next 14 years, the most recent federal contracts show.",100,Documents,Named_Organization,No,federal contracts,u.s. customs and border protection,27,,,0.0,the spending comes as the biden administration is facing increased political pressure — from leaders in the republican and democratic parties — to take action at the border after illegal crossings soared to record highs last year.,"its website,the most recent federal contracts",0.3254282772541046, the spending comes as the biden administration is facing increased political pressure — from leaders in the republican and democratic parties — to take action at the border after illegal crossings soared to record highs last year.," its website,the most recent federal contracts",0.3254282772541046
"the agency has received more than $700 million in funding for surveillance since fiscal year 2017, according to a 2021 report by the office of inspector general.","the agency has received more than $700 million in funding for surveillance since fiscal year 2017, according to a 2021 report by the office of inspector general.",100,Documents,Named_Organization,No,2021 report,office of inspector general,21,,,0.0,according to a 2021 report by the office of inspector general.,a 2021 report,0.610988974571228, according to a 2021 report by the office of inspector general., a 2021 report,0.610988974571228
"border advocates are urging the state and federal governments to spend more on humanitarian aid, but state officials say they can’t afford to while facing a budget deficit.",,0,Anonymous_Groups,,No,border advocates,,0,,,0.0,,,0.0, ,,0.0
privacy and human rights advocates also are asking for more transparency about the capabilities of the towers and are questioning why so much money is going toward monitoring migrants.,,0,Anonymous_Groups,,No,privacy and human rights advocates,,0,,,0.0,some of the towers can track movement miles away.,,0.0, some of the towers can track movement miles away.,,0.0
"customs and border protection says the surveillance equipment is necessary to monitor remote, rugged areas like jacumba hot springs and the otay mountain wilderness in san diego county, which are increasingly becoming destinations for migrants from around the world to cross into the united states.",,0,Named_Organization,,No,customs and border protection,,0,,,0.0,"powered by solar panels, the autonomous surveillance towers can detect humans from a mile and a half away and operate around the clock.",,0.0," powered by solar panels, the autonomous surveillance towers can detect humans from a mile and a half away and operate around the clock.",,0.0
"activists say they are concerned with the militarization of california’s border, especially because the state already has one of the most heavily-equipped sections of the u.s. southern border.",,0,Anonymous_Groups,,No,activists,,0,,,0.0,,,0.0, ,,0.0
"according to an anduril promotional video, the system alerts border agents on their devices when it detects an object and shows them an image highlighting the item.",,0,Named_Organization,,No,anduril,,0,,,0.0,,,0.0, ,,0.0
privacy and human rights advocates say the towers pick up more than just the movement of migrants; some are pointed directly into residents’ backyards. advocates said they’re concerned about the potential monitoring of some 7.3 million people who live on both sides of the 150-mile international border between california and baja california.,,0,Anonymous_Groups,,No,privacy and human rights advocates,,0,,,0.0,some of the towers can track movement miles away.,,0.0, some of the towers can track movement miles away.,,0.0
an anduril official said in its promotion video that its autonomous towers on private property can be programmed to exclude a person’s home or farm from monitoring.,an anduril official said in its promotion video that its autonomous towers on private property can be programmed to exclude a persons home or farm from monitoring.,99,Named_Organization,Named_Person,No,anduril,anduril official,61,,official,0.0,,anduril,0.0, ,official anduril,0.0
"customs and border protection says the surveillance equipment is necessary to monitor remote, rugged areas that are increasingly becoming destinations for migrants from around the world to cross into the united states.",,0,Named_Organization,,No,customs and border protection,,0,,,0.0,"powered by solar panels, the autonomous surveillance towers can detect humans from a mile and a half away and operate around the clock.",,0.0," powered by solar panels, the autonomous surveillance towers can detect humans from a mile and a half away and operate around the clock.",,0.0
"other advocates noted that migrants sometimes huddle under the towers for protection from the elements, while nonprofits are the only groups providing food, water and blankets amid dropping temperatures.",,0,Anonymous_Groups,,No,advocates,,0,,,0.0,,,0.0, ,,0.0
