GT_Sentence,LLM_Sentence,Sentence_Match_Score,Source_Type_GT,Source_Type_LLM,Source_Type_Match,Name_GT,Name_LLM,Name_Match_Score,Title_GT,Title_LLM,Title_Match_Score,Justification_GT,Justification_LLM,Justification_Match_Score,Title_and_Justification_GT,Title_and_Justification_LLM,Title_and_Justification_Match_Score
,"for years, kipp kahlia felt stuck.",0,,Named_Person,No,,kipp kahlia,0,,,0.0,,"the long beach guitarist used to tour the country with reggae artists. but 20 years ago, after contracting intestinal parasites on a trip abroad, kahlia had to take a step back from gigging.,the long beach guitarist,kahlia was selected as one of 1,000 participants in l.a. countys guaranteed income program, called breathe.",0.0,," the long beach guitarist used to tour the country with reggae artists. but 20 years ago, after contracting intestinal parasites on a trip abroad, kahlia had to take a step back from gigging.,the long beach guitarist,kahlia was selected as one of 1,000 participants in l.a. countys guaranteed income program, called breathe.",0.0
,"her health deteriorated and visits to doctors drained her savings. recently she decided to start a business performing social justice songs at events. but with no extra funds or time, she had to pause the venture.",0,,Named_Person,No,,kipp kahlia,0,,,0.0,,"the long beach guitarist used to tour the country with reggae artists. but 20 years ago, after contracting intestinal parasites on a trip abroad, kahlia had to take a step back from gigging.,the long beach guitarist,kahlia was selected as one of 1,000 participants in l.a. countys guaranteed income program, called breathe.",0.0,," the long beach guitarist used to tour the country with reggae artists. but 20 years ago, after contracting intestinal parasites on a trip abroad, kahlia had to take a step back from gigging.,the long beach guitarist,kahlia was selected as one of 1,000 participants in l.a. countys guaranteed income program, called breathe.",0.0
,now kahlia is getting a chance to get unstuck.,0,,Named_Person,No,,kipp kahlia,0,,,0.0,,"the long beach guitarist used to tour the country with reggae artists. but 20 years ago, after contracting intestinal parasites on a trip abroad, kahlia had to take a step back from gigging.,the long beach guitarist,kahlia was selected as one of 1,000 participants in l.a. countys guaranteed income program, called breathe.",0.0,," the long beach guitarist used to tour the country with reggae artists. but 20 years ago, after contracting intestinal parasites on a trip abroad, kahlia had to take a step back from gigging.,the long beach guitarist,kahlia was selected as one of 1,000 participants in l.a. countys guaranteed income program, called breathe.",0.0
,"if you knew the money was coming for three years, its a much longer runway. can you go back to school? can you quit your job now and look for a new one? can you care for your aging parents?",0,,Named_Person,No,,sean kline,0,,director of the stanford basic income lab,0.0,,which studies guaranteed income programs across the country,0.0,,director of the stanford basic income lab which studies guaranteed income programs across the country,0.0
,"she figured $1,000 a month for three years would be enough to start investing in her business. she performed in a few experimental shows in 2017 when she sang about social justice issues and got positive responses from audiences.",0,,Named_Person,No,,kipp kahlia,0,,,0.0,,"the long beach guitarist used to tour the country with reggae artists. but 20 years ago, after contracting intestinal parasites on a trip abroad, kahlia had to take a step back from gigging.,the long beach guitarist,kahlia was selected as one of 1,000 participants in l.a. countys guaranteed income program, called breathe.",0.0,," the long beach guitarist used to tour the country with reggae artists. but 20 years ago, after contracting intestinal parasites on a trip abroad, kahlia had to take a step back from gigging.,the long beach guitarist,kahlia was selected as one of 1,000 participants in l.a. countys guaranteed income program, called breathe.",0.0
,singing about social justice allows kahlia to be a performer again and return to her roots as a reggae artist. she promised herself she would make this business work and focus on her health.,0,,Named_Person,No,,kipp kahlia,0,,,0.0,,"the long beach guitarist used to tour the country with reggae artists. but 20 years ago, after contracting intestinal parasites on a trip abroad, kahlia had to take a step back from gigging.,the long beach guitarist,kahlia was selected as one of 1,000 participants in l.a. countys guaranteed income program, called breathe.",0.0,," the long beach guitarist used to tour the country with reggae artists. but 20 years ago, after contracting intestinal parasites on a trip abroad, kahlia had to take a step back from gigging.,the long beach guitarist,kahlia was selected as one of 1,000 participants in l.a. countys guaranteed income program, called breathe.",0.0
,her biggest expense has been a new car she leased after her 28-year-old toyota corolla started breaking down.,0,,Named_Person,No,,kipp kahlia,0,,,0.0,,"the long beach guitarist used to tour the country with reggae artists. but 20 years ago, after contracting intestinal parasites on a trip abroad, kahlia had to take a step back from gigging.,the long beach guitarist,kahlia was selected as one of 1,000 participants in l.a. countys guaranteed income program, called breathe.",0.0,," the long beach guitarist used to tour the country with reggae artists. but 20 years ago, after contracting intestinal parasites on a trip abroad, kahlia had to take a step back from gigging.,the long beach guitarist,kahlia was selected as one of 1,000 participants in l.a. countys guaranteed income program, called breathe.",0.0
,"he assists them in applying for state programs, such as calfresh, and helps some enroll in schools or colleges. he even has helped families sign their kids up on sports teams with the extra funds.",0,,Named_Person,No,,brian arredondo,0,,a coach for program participants,0.0,,,0.0,,a coach for program participants ,0.0
,"a year and a half into the program, kahlias business isnt off the ground yet. but shes made some progress. the program funds have given her time, she said. normally shed be stuck in a cycle of teaching guitar lessons to make money, but wouldnt have time for her business.",0,,Named_Person,No,,kipp kahlia,0,,,0.0,,"the long beach guitarist used to tour the country with reggae artists. but 20 years ago, after contracting intestinal parasites on a trip abroad, kahlia had to take a step back from gigging.,the long beach guitarist,kahlia was selected as one of 1,000 participants in l.a. countys guaranteed income program, called breathe.",0.0,," the long beach guitarist used to tour the country with reggae artists. but 20 years ago, after contracting intestinal parasites on a trip abroad, kahlia had to take a step back from gigging.,the long beach guitarist,kahlia was selected as one of 1,000 participants in l.a. countys guaranteed income program, called breathe.",0.0
,now kahlia is taking a step back from teaching and spending time writing new arrangements of music to perform for clients. shes working on updating her website and making calls to potential clients.,0,,Named_Person,No,,kipp kahlia,0,,,0.0,,"the long beach guitarist used to tour the country with reggae artists. but 20 years ago, after contracting intestinal parasites on a trip abroad, kahlia had to take a step back from gigging.,the long beach guitarist,kahlia was selected as one of 1,000 participants in l.a. countys guaranteed income program, called breathe.",0.0,," the long beach guitarist used to tour the country with reggae artists. but 20 years ago, after contracting intestinal parasites on a trip abroad, kahlia had to take a step back from gigging.,the long beach guitarist,kahlia was selected as one of 1,000 participants in l.a. countys guaranteed income program, called breathe.",0.0
