GT_Sentence,LLM_Sentence,Sentence_Match_Score,Source_Type_GT,Source_Type_LLM,Source_Type_Match,Name_GT,Name_LLM,Name_Match_Score,Title_GT,Title_LLM,Title_Match_Score,Justification_GT,Justification_LLM,Justification_Match_Score,Title_and_Justification_GT,Title_and_Justification_LLM,Title_and_Justification_Match_Score
the 4 percentage point advantage among registered voters was wider than a 1 point lead harris held over the former president in a late july reuters/ipsos poll,the 4 percentage point advantage among registered voters was wider than a 1 point lead harris held over the former president in a late july reuters/ipsos poll.,100,Named_Organization,Documents,No,reuters/ipsos,reuters/ipsos poll,84,,,0.0,"which was conducted in the eight days ended wednesday and had a 2 percentage point margin of error,,the poll was conducted nationally and gathered responses from 4,253 u.s. adults, including 3,562 registered voters.",,0.0," which was conducted in the eight days ended wednesday and had a 2 percentage point margin of error,,the poll was conducted nationally and gathered responses from 4,253 u.s. adults, including 3,562 registered voters.", ,0.0
"the new poll, which was conducted in the eight days ended wednesday and had a 2 percentage point margin of error, showed harris picking up support among women and hispanics.","the new poll, which was conducted in the eight days ended wednesday and had a 2 percentage point margin of error, showed harris picking up support among women and hispanics.",100,Named_Organization,Documents,No,reuters/ipsos,reuters/ipsos poll,84,,,0.0,"which was conducted in the eight days ended wednesday and had a 2 percentage point margin of error,,the poll was conducted nationally and gathered responses from 4,253 u.s. adults, including 3,562 registered voters.",,0.0," which was conducted in the eight days ended wednesday and had a 2 percentage point margin of error,,the poll was conducted nationally and gathered responses from 4,253 u.s. adults, including 3,562 registered voters.", ,0.0
"harris led trump by 49% to 36% - or 13 percentage points - among both women voters and hispanic voters. across four reuters/ipsos polls conducted in july, harris had a 9 point lead among women and a 6 point lead among hispanics.","harris led trump by 49% to 36% - or 13 percentage points - among both women voters and hispanic voters..across four reuters/ipsos polls conducted in july, harris had a 9 point lead among women and a 6 point lead among hispanics.",100.0,Named_Organization,Documents,No,reuters/ipsos,reuters/ipsos poll,84,,,0.0,"which was conducted in the eight days ended wednesday and had a 2 percentage point margin of error,,the poll was conducted nationally and gathered responses from 4,253 u.s. adults, including 3,562 registered voters.",,0.0," which was conducted in the eight days ended wednesday and had a 2 percentage point margin of error,,the poll was conducted nationally and gathered responses from 4,253 u.s. adults, including 3,562 registered voters.", ,0.0
"trump led among white voters and men, both by similar margins as in july, though his lead among voters without a college degree narrowed to 7 points in the latest survey, down from 14 points in july.","trump led among white voters and men, both by similar margins as in july, though his lead among voters without a college degree narrowed to 7 points in the latest survey, down from 14 points in july.",100,Named_Organization,Documents,No,reuters/ipsos,reuters/ipsos poll,84,,,0.0,"which was conducted in the eight days ended wednesday and had a 2 percentage point margin of error,,the poll was conducted nationally and gathered responses from 4,253 u.s. adults, including 3,562 registered voters.",,0.0," which was conducted in the eight days ended wednesday and had a 2 percentage point margin of error,,the poll was conducted nationally and gathered responses from 4,253 u.s. adults, including 3,562 registered voters.", ,0.0
"in the seven states where the 2020 election was closest - wisconsin, pennsylvania, georgia, arizona, north carolina, michigan and nevada - trump had a 45% to 43% lead over harris among registered voters in the poll.","in the seven states where the 2020 election was closest - wisconsin, pennsylvania, georgia, arizona, north carolina, michigan and nevada - trump had a 45% to 43% lead over harris among registered voters in the poll.",100,Named_Organization,Documents,No,reuters/ipsos,reuters/ipsos poll,84,,,0.0,"which was conducted in the eight days ended wednesday and had a 2 percentage point margin of error,,the poll was conducted nationally and gathered responses from 4,253 u.s. adults, including 3,562 registered voters.",,0.0," which was conducted in the eight days ended wednesday and had a 2 percentage point margin of error,,the poll was conducted nationally and gathered responses from 4,253 u.s. adults, including 3,562 registered voters.", ,0.0
a separate bloomberg news/morning consult poll published later on thursday showed that harris was either leading or tied with trump in each of those states.,a separate bloomberg news/morning consult poll published later on thursday showed that harris was either leading or tied with trump in each of those states.,100,Named_Organization,Documents,No,bloomberg news/morning consult,bloomberg news/morning consult poll,92,,,0.0,published later on thursday,,0.0, published later on thursday, ,0.0
that poll showed harris led trump by 2 percentage points among registered voters across the seven states and was ahead by 1 point — a statistical tie — among likely voters. the margin of error was 1 percentage point across the seven states.,the margin of error was 1 percentage point across the seven states.that poll showed harris led trump by 2 percentage points among registered voters across the seven states and was ahead by 1 point â a statistical tie â among likely voters.,100,Named_Organization,Documents,No,bloomberg news/morning consult,bloomberg news/morning consult poll,92,,,0.0,published later on thursday,,0.0, published later on thursday, ,0.0
"some 73% of democratic registered voters in the reuters/ipsos poll said they were more excited about voting in november after harris entered the race. and while a march reuters/ipsos poll found that 61% respondents who intended to vote for biden were doing so mainly to stop trump, 52% of harris voters in the august poll were voting to support her as a candidate rather than primarily to oppose trump.","some 73% of democratic registered voters in the reuters/ipsos poll said they were more excited about voting in november after harris entered the race..and while a march reuters/ipsos poll found that 61% respondents who intended to vote for biden were doing so mainly to stop trump, 52% of harris voters in the august poll were voting to support her as a candidate rather than primarily to oppose trump.",100.0,Named_Organization,Documents,No,reuters/ipsos,reuters/ipsos poll,84,,,0.0,"which was conducted in the eight days ended wednesday and had a 2 percentage point margin of error,,the poll was conducted nationally and gathered responses from 4,253 u.s. adults, including 3,562 registered voters.",,0.0," which was conducted in the eight days ended wednesday and had a 2 percentage point margin of error,,the poll was conducted nationally and gathered responses from 4,253 u.s. adults, including 3,562 registered voters.", ,0.0
"but trump voters also voiced enthusiasm about their candidate, with 64% saying their choice was more motivated by backing trump than opposing harris.",,0,Named_Organization,,No,reuters/ipsos,,0,,,0.0,"which was conducted in the eight days ended wednesday and had a 2 percentage point margin of error,,the poll was conducted nationally and gathered responses from 4,253 u.s. adults, including 3,562 registered voters.",,0.0," which was conducted in the eight days ended wednesday and had a 2 percentage point margin of error,,the poll was conducted nationally and gathered responses from 4,253 u.s. adults, including 3,562 registered voters.",,0.0
"harris, by contrast, had a 47% to 31% advantage on abortion policy. the issue is salient for democrats after the conservative u.s. supreme court in 2022 struck down women's national right to abortion. trump nominated three conservative justices to the court during his 2017-2021 presidency. some 41% of voters in the poll - and 70% of democrats - said they were worried the next president might sign a national ban on abortions.","harris, by contrast, had a 47% to 31% advantage on abortion policy..some 41% of voters in the poll - and 70% of democrats - said they were worried the next president might sign a national ban on abortions.",100.0,Named_Organization,Documents,No,reuters/ipsos,reuters/ipsos poll,84,,,0.0,"which was conducted in the eight days ended wednesday and had a 2 percentage point margin of error,,the poll was conducted nationally and gathered responses from 4,253 u.s. adults, including 3,562 registered voters.",,0.0," which was conducted in the eight days ended wednesday and had a 2 percentage point margin of error,,the poll was conducted nationally and gathered responses from 4,253 u.s. adults, including 3,562 registered voters.", ,0.0
"the latest poll's survey period partially overlapped with the aug. 19-22 democratic national convention in chicago where harris formally accepted her party's nomination, and it remains to be seen whether the same level of enthusiasm for harris will continue.",,0,Named_Organization,,No,reuters/ipsos,,0,,,0.0,"which was conducted in the eight days ended wednesday and had a 2 percentage point margin of error,,the poll was conducted nationally and gathered responses from 4,253 u.s. adults, including 3,562 registered voters.",,0.0," which was conducted in the eight days ended wednesday and had a 2 percentage point margin of error,,the poll was conducted nationally and gathered responses from 4,253 u.s. adults, including 3,562 registered voters.",,0.0
"independent candidate robert f. kennedy jr., who suspended his campaign on aug. 23 while the poll was still being conducted, had the support of 6% of voters in the survey.","independent candidate robert f. kennedy jr., who suspended his campaign on aug. 23 while the poll was still being conducted, had the support of 6% of voters in the survey.",100,Named_Organization,Documents,No,reuters/ipsos,reuters/ipsos poll,84,,,0.0,"which was conducted in the eight days ended wednesday and had a 2 percentage point margin of error,,the poll was conducted nationally and gathered responses from 4,253 u.s. adults, including 3,562 registered voters.",,0.0," which was conducted in the eight days ended wednesday and had a 2 percentage point margin of error,,the poll was conducted nationally and gathered responses from 4,253 u.s. adults, including 3,562 registered voters.", ,0.0
