GT_Sentence,LLM_Sentence,Sentence_Match_Score,Source_Type_GT,Source_Type_LLM,Source_Type_Match,Name_GT,Name_LLM,Name_Match_Score,Title_GT,Title_LLM,Title_Match_Score,Justification_GT,Justification_LLM,Justification_Match_Score,Title_and_Justification_GT,Title_and_Justification_LLM,Title_and_Justification_Match_Score
"despite public works’ policy and procedure for documenting, bagging, and tagging most belongings","robinsonâs last encampment was swept about a month ago, and ânearly everythingâ was taken, including his state id card, he said. despite public worksâ policy and procedure for documenting, bagging, and tagging most belongings, robinson said he was unable to find any of his property at the cityâs mandated storage facility at 2323 cesar chavez st.",100,Documents,Named_Person,No,public works policy,antonio robinson,17,,,0.0,,"on thursday morning, as the laughter of department workers and police swirled around him, robinson packed his things into a jumble of luggage, awkwardly piled up on a too-small wagon.,the 38-year-old had chosen to set up camp near palou ave. and griffith st. in hunters point, on a dead-end road surrounded by industrial buildings.",0.0, ," on thursday morning, as the laughter of department workers and police swirled around him, robinson packed his things into a jumble of luggage, awkwardly piled up on a too-small wagon.,the 38-year-old had chosen to set up camp near palou ave. and griffith st. in hunters point, on a dead-end road surrounded by industrial buildings.",0.0
robinson said he was unable to find any of his property at the city’s mandated storage facility at 2323 cesar chavez st.,,0,Named_Person,,No,antonio robinson,,0,,,0.0,"when they succeed, they often find important pieces missing from their stash — a problem that has persisted over years of sweeps.,the 38-year-old had chosen to set up camp near palou ave. and griffith st. in hunters point, on a dead-end road surrounded by industrial buildings.,""i had bad experiences,”",,0.0," when they succeed, they often find important pieces missing from their stash — a problem that has persisted over years of sweeps.,the 38-year-old had chosen to set up camp near palou ave. and griffith st. in hunters point, on a dead-end road surrounded by industrial buildings.,""i had bad experiences,”",,0.0
"but in june, the supreme court green-lit such penalties, prompting gov. gavin newsom to order california city officials to “move urgently” to clear illegal encampments around the state.",,0,Named_Person,,No,gavin newsom,,0,gov.,,0.0,,,0.0,gov. ,,0.0
"after listening for about two minutes, an officer told him that he was being detained for illegal lodging, then put o’brien in cuffs and led him to a patrol vehicle away from his camp.",,0,Anonymous_Person,,No,,,100,police officer,,0.0,,,0.0,police officer ,,0.0
"“the other stuff is under all that over there,” the officer said with a shrug. “you’re going to have to pick it up later.”","âthe other stuff is under all that over there,â the officer said with a shrug. âyouâre going to have to pick it up later.â",96,Anonymous_Source,Anonymous_Person,No,,,100,police officer,officer,0.8823047876358032,,,0.0,police officer ,officer ,0.8823047876358032
"as a recent batch of public records secured by city hall watchdog hazel williams shows, public works has bagged medications, wheelchairs, and even a mobility walker from unhoused people, taking them to the city’s storage facility on cesar chavez st.","as a recent batch of public records secured by city hall watchdog hazel williams shows, public works has bagged medications, wheelchairs, and even a mobility walker from unhoused people, taking them to the cityâs storage facility on cesar chavez st.",100,Named_Person,Documents,No,hazel williams,public records,21,,,0.0,city hall watchdog,secured by city hall watchdog hazel williams,0.63286292552948, city hall watchdog, secured by city hall watchdog hazel williams,0.63286292552948
"many unhoused people, including robinson, say it can be challenging to identify and retrieve their belongings at the facility.","many unhoused people, including robinson, say it can be challenging to identify and retrieve their belongings at the facility. when they succeed, they often find important pieces missing from their stash â a problem that has persisted over years of sweeps.",100,Named_Person,Anonymous_Groups,No,antonio robinson,unhoused people,19,,,0.0,"when they succeed, they often find important pieces missing from their stash — a problem that has persisted over years of sweeps.,the 38-year-old had chosen to set up camp near palou ave. and griffith st. in hunters point, on a dead-end road surrounded by industrial buildings.,""i had bad experiences,”",,0.0," when they succeed, they often find important pieces missing from their stash — a problem that has persisted over years of sweeps.,the 38-year-old had chosen to set up camp near palou ave. and griffith st. in hunters point, on a dead-end road surrounded by industrial buildings.,""i had bad experiences,”", ,0.0
"instead, a small group of protesters regrouped at city hall for a series of chants and short speeches, holding a symbolic police citation for breed that accused her of violating human rights.",,0,Anonymous_Groups,,No,protesters,,0,,,0.0,regrouped at city hall for a series of chants and short speeches,,0.0, regrouped at city hall for a series of chants and short speeches,,0.0
"“it’s quiet here,” he said.",,0,Named_Person,,No,antonio robinson,,0,,,0.0,"when they succeed, they often find important pieces missing from their stash — a problem that has persisted over years of sweeps.,the 38-year-old had chosen to set up camp near palou ave. and griffith st. in hunters point, on a dead-end road surrounded by industrial buildings.,""i had bad experiences,”",,0.0," when they succeed, they often find important pieces missing from their stash — a problem that has persisted over years of sweeps.,the 38-year-old had chosen to set up camp near palou ave. and griffith st. in hunters point, on a dead-end road surrounded by industrial buildings.,""i had bad experiences,”",,0.0
there were 178 people on the department of homelessness and supportive housing’s online waitlist for shelter on monday afternoon.,there were 178 people on the department of homelessness and supportive housingâs online waitlist for shelter on monday afternoon.,98,Documents,Named_Organization,No,online waitlist,department of homelessness and supportive housing,12,,,0.0,,,0.0, , ,0.0
